iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.01661234161390073,0.0,0.01655866718620494,1.9682233766385618e-10,16.999999722980725,PASS,no_biactive,none,Solve_Succeeded,0.01027292100025079,0,initial,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.331036132960744e-13,0.00788252015546276,5.332050191195346e-13,0.6706464891730884
2,0.008306170806950366,0.0,0.008276688179212673,2.968799722074632e-10,16.99999985495053,PASS,no_biactive,none,Solve_Succeeded,0.011278011000285915,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.66427470331309e-13,0.007937274179964215,2.664274067099955e-13,0.6706759778197717
3,0.004153085403475183,0.0,0.004133356535613551,5.821879245289742e-11,16.99999992104717,PASS,no_biactive,none,Solve_Succeeded,0.011051559999941674,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3301603281057695e-13,0.009111812783996035,1.330137522947786e-13,0.6712828104808551
4,0.0020765427017375914,0.0,0.002061731807891355,1.0130654185578402e-10,16.999999954093667,PASS,no_biactive,none,Solve_Succeeded,0.012122879000344255,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.626852659169789e-14,0.010652340286505298,6.626847671236984e-14,0.6720769327450216
5,0.0010382713508687957,0.0,0.0016109395688440273,6.689614764402657e-11,16.9999999706617,PASS,no_biactive,none,Solve_Succeeded,0.0125908089994482,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.2826761050194304e-14,0.013272777607735327,3.2826701895245726e-14,0.6734548151832624
6,0.0005191356754343979,0.0,0.001617952521724211,3.85301157277955e-11,16.999999978898213,PASS,no_biactive,none,Solve_Succeeded,0.011080450000008568,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6116443967736856e-14,0.014285497865749917,1.611637678406394e-14,0.6740051722803418
7,0.00025956783771719893,0.0,0.0016233427070924487,2.0149917808308616e-11,16.999999982993614,PASS,no_biactive,none,Solve_Succeeded,0.011712139999872306,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.778430377706568e-15,0.0143149336565606,7.778365806969694e-15,0.6740299974135507
8,0.00012978391885859947,0.0,0.0016264897692076278,1.029197615303162e-11,16.999999985035828,PASS,no_biactive,none,Solve_Succeeded,0.011268821000157914,0,post_stagnation_fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.615921144835732e-15,0.014157835578953802,3.61586944553291e-15,0.6739520878033157
9,6.489195942929973e-05,0.0,0.0015826724098594303,2.9103830456733704e-11,16.99999998660866,PASS,no_biactive,none,Solve_Succeeded,0.011881440000252042,0,post_stagnation_fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.317511714516081e-16,0.032894218183968905,8.316496430670341e-16,0.6840881983794028
10,1.6222989857324933e-05,0.0,0.001571194843247079,3.3497050570878936e-12,16.999999987529463,PASS,no_biactive,none,Solve_Succeeded,0.01230143999964639,0,adaptive_jump,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.538301365139005e-16,0.03904065890290402,-9.539464583264565e-16,0.6875549386003345
11,8.111494928662467e-06,0.0,0.0015383973005864528,3.0536774281411644e-12,16.99999998806421,PASS,no_biactive,none,Solve_Succeeded,0.011354019999998854,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.743264652676242e-15,0.05470459212435011,-1.7434327876546427e-15,0.6967742147915281
12,4.055747464331233e-06,0.0,0.0015279241426316124,2.9103830456733704e-11,16.99999998829044,PASS,no_biactive,none,Solve_Succeeded,0.009943721999661648,0,post_stagnation_fast,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.931244402163572e-15,0.060795337209310046,-1.9376170318836143e-15,0.7029116078286997
