iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0020304685353303422,0.0,0.0020304685353302932,1.1865134180203725e-15,28.250000168699312,PASS,no_biactive,none,Solve_Succeeded,0.002745538000453962,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.0010152342676651711,0.0,0.0010152342676652058,1.186864964711382e-15,28.250000168749295,PASS,no_biactive,none,Solve_Succeeded,0.0019429490002949024,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.0005076171338325856,0.0,0.0005076171338325444,1.7763568394002505e-15,28.25000016877429,PASS,no_biactive,none,Solve_Succeeded,0.001915967999593704,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0002538085669162928,0.0,0.0002538085669162723,1.1871286247296391e-15,28.250000168786784,PASS,no_biactive,none,Solve_Succeeded,0.001961717999620305,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0001269042834581464,0.0,0.000126904283458195,1.187172568066015e-15,28.25000016879303,PASS,no_biactive,none,Solve_Succeeded,0.0017854289999377215,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,6.34521417290732e-05,0.0,6.345214172915633e-05,1.1871945397342022e-15,28.250000168796156,PASS,no_biactive,none,Solve_Succeeded,0.0019011379999938072,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,3.17260708645366e-05,0.0,3.172607086440176e-05,1.1872055255682952e-15,28.25000016879772,PASS,no_biactive,none,Solve_Succeeded,0.0019576080003389507,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,7.93151771613415e-06,0.0,7.931517716100444e-06,1.1872137649438654e-15,28.250000168798888,PASS,no_biactive,none,Solve_Succeeded,0.0017998389994318131,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,1.9828794290335373e-06,0.0,1.9828794289663075e-06,1.1872158247877565e-15,28.250000168799183,PASS,no_biactive,none,Solve_Succeeded,0.00204509900049743,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,4.957198572583843e-07,0.0,4.957198571533702e-07,1.7763568394002505e-15,28.250000168799254,PASS,no_biactive,none,Solve_Succeeded,0.0019190479997632792,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
