iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0,1.0,1.5166172452702656e-16,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.3154486969999653,16,initial,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.371105573753031e-22,1.4215220758791081e-22,0.0,0.0
2,0.5,0.0,0.5000000000000133,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.2453508669998428,14,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4567670931308066e-20,4.64694670577163e-20,0.0,0.0
3,0.25,0.0,0.25000000000000006,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.1843870390000575,11,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.019903245460551e-20,0.0,0.0
4,0.125,0.0,0.12500000000000053,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.5130541369999264,9,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.7083994268365e-20,0.0,0.0
5,0.0625,0.0,0.06250000000000006,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.1896188040000197,6,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.6222731200772118e-20,1.1830393628417765e-20,0.0,0.0
6,0.03125,0.0,0.03125000000000004,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.2360059439999986,5,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.168097529290823e-21,5.028798942934102e-23,0.0,0.0
7,0.015625,0.0,0.01562500997082441,8.458848056490971e-10,0.0009877692668518016,PASS,PASS,none,Solve_Succeeded,0.13015343899996878,5,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.341667885744689e-14,0.05709446326906444,1.7708036561845332e-12,5.573454685564546
8,0.0078125,0.0,0.007812509974304846,6.832401311385183e-10,0.01351126953837893,PASS,PASS,none,Solve_Succeeded,0.12238655500004825,4,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.226150478041956e-14,0.08400160759783028,1.7706910419513458e-12,7.917443890632261
9,0.00390625,0.0,0.003906250000000276,30.653267047219746,0.07136261171071537,PASS,PASS,none,Search_Direction_Becomes_Too_Small,4.554775288999963,2,slow,46,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.6153778262691092,0.0,0.0
10,0.001953125,0.0,0.00195312500000045,65.76416570747308,0.18046880489896605,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.007668760000115,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,5.974334883815514,0.0,0.0
