iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.868390291113326e-05,0.0,1.869390257259303e-05,2.918454811151605e-09,0.35531817547111383,PASS,no_biactive,none,Solve_Succeeded,0.11761765599999308,0,initial,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2394029928557844e-14,6.608252399829038,1.769749507746275e-12,95.94883220595695
2,9.34195145556663e-06,0.0,9.351951117389179e-06,5.360050181479892e-10,0.3568050160592677,PASS,no_biactive,none,Solve_Succeeded,0.12033973300003709,0,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2393172754053396e-14,6.609427489658514,1.7697507872945775e-12,95.97440129880147
3,4.670975727783315e-06,0.0,4.680975389786744e-06,5.135881413079538e-10,0.3575489806090075,PASS,no_biactive,none,Solve_Succeeded,0.114635878999934,0,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239334855880227e-14,6.610021835102063,1.7697514268536506e-12,95.98724143841704
4,2.3354878638916576e-06,0.0,2.3454875259861223e-06,2.0689962408810582e-10,0.35792109954145435,PASS,no_biactive,none,Solve_Succeeded,0.1260609899999281,0,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239352080897345e-14,6.61032824367323,1.769751746657381e-12,95.99370995104215
5,1.1677439319458288e-06,0.0,1.8682860200378078e-06,1.1566588442243897e-10,0.35810719323684925,PASS,no_biactive,none,Solve_Succeeded,0.1299277959999472,0,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239355134707271e-14,6.61049805617904,1.769751906545969e-12,95.99699534257562
6,5.838719659729144e-07,0.0,1.8682861210958199e-06,8.123933601626007e-13,0.3582002486473092,PASS,no_biactive,none,Solve_Succeeded,0.15026635500009888,0,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239354946564648e-14,6.610612970558962,1.7697519864890425e-12,95.99868250455707
7,2.919359829864572e-07,0.0,1.8682877405734817e-06,1.4699352846037073e-12,0.35824677849751113,PASS,no_biactive,none,Solve_Succeeded,0.14461504999997032,0,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2393439780667085e-14,6.61072064827473,1.769752026460141e-12,95.99955448199852
8,1.459679914932286e-07,0.0,1.868291513271884e-06,3.7400057812005116e-10,0.3582700439618714,PASS,no_biactive,none,Solve_Succeeded,0.13706548599998314,0,post_stagnation_fast,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239345532682895e-14,6.610847411161956,1.7697520464453882e-12,96.00000382139791
9,7.29839957466143e-08,0.0,1.8682987047806939e-06,2.564106232026686e-10,0.35828167682916057,PASS,no_biactive,none,Solve_Succeeded,0.2230724649999729,0,post_stagnation_fast,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2393315175744925e-14,6.610995799915314,1.7697520564383492e-12,96.0002334004044
10,1.8245998936653575e-08,0.0,1.8683289659676404e-06,6.83339192522614e-11,0.35829040153860775,PASS,no_biactive,none,Solve_Succeeded,0.1667729020000479,0,adaptive_jump,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.239275978167298e-14,6.611264399376943,1.7697520639330688e-12,96.00040830342657
