iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,7302.546070096758,2.4930217727377314e-13,-2.5922000171333114e-07,PASS,no_biactive,none,Solve_Succeeded,0.029263645999890286,0,initial,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.839308197285604e-14,2.8363192634850948e-14,-9.770816971508011e-14,3.8208319805733165e-14
2,0.5,0.0,7302.574419772183,2.505244738359855e-13,-2.5921999253544117e-07,PASS,no_biactive,none,Solve_Succeeded,0.028262155999982497,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.944159552116694e-14,2.7380967379661208e-14,-9.8419709214663e-14,3.7622961607351595e-14
3,0.25,0.0,7302.602764998496,2.5114639733570005e-13,-2.5922000595993077e-07,PASS,no_biactive,none,Solve_Succeeded,0.030905153000276187,0,post_stagnation_fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.997548967529912e-14,2.6880763673382826e-14,-9.87839622654141e-14,3.732369115297622e-14
4,0.125,0.0,7302.631108106223,2.5145971674702245e-13,-2.592200116542515e-07,PASS,no_biactive,none,Solve_Succeeded,0.0310283740000159,0,post_stagnation_fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.02448075868958e-14,2.662832870143424e-14,-9.896811318755547e-14,3.717226686386016e-14
5,0.03125,0.0,0.03125000968243571,3.887980264344684e-11,44.2329743617251,PASS,PASS,none,Solve_Succeeded,2.2153245050003534,13,adaptive_jump,416,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.655085020535287e-13,1.2218747146739717,2.3743345553484794e-13,0.5001448118519483
6,0.015625,0.0,0.015625009642809468,1.0279425485294758e-08,44.24084230121433,PASS,PASS,none,Solve_Succeeded,0.16042587499941874,11,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0855321781958468e-12,1.2219334595729872,2.6656683564757984e-13,0.5000724060089472
7,0.0078125,0.0,0.007812509807224463,3.773656340038108e-09,33.87870893273798,PASS,PASS,none,Solve_Succeeded,26.357635932999983,2,slow,4328,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9333234788987866e-13,0.8103079412991665,-1.3319027697751328e-10,0.5000000164462161
8,0.00390625,0.0,0.013146032289765056,0.0006162135414993745,33.879226189057455,PASS,PASS,none,Solved_To_Acceptable_Level,25.214871830999982,1,slow,3680,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.36941840497591e-11,25905.794708982165,-3.1807886231939232e-09,0.5000014501023777
9,0.001953125,0.0,0.009971085166233816,0.00023365020752953125,33.87930094785869,PASS,PASS,none,Solved_To_Acceptable_Level,0.9031936860001224,1,slow,144,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9126672336653037e-13,8980.601386468314,-4.284809367892306e-09,0.4999993289118533
10,0.0009765625,0.0,0.0061812768101427535,7.086143457789756e-09,33.87948622368492,PASS,PASS,none,Solve_Succeeded,1.52191415300058,1,slow,263,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9114655847977847e-13,0.8103325368577134,-1.9446917990151057e-10,0.49999701754954273
11,0.00048828125,0.0,0.009417172691508623,1.0706816864806778e-08,33.87962534420302,PASS,PASS,none,Solve_Succeeded,5.672283263999816,1,slow,901,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.1303392995135845e-13,70.96318038504872,-2.6264779416941944e-10,0.5000003201297911
12,0.000244140625,0.0,0.005703433344693237,5.0857838411659814e-11,33.879729366262396,PASS,PASS,none,Solve_Succeeded,1.7905870840004354,1,slow,249,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911371440884264e-13,0.8103362147965935,-5.085780793244082e-11,0.5000005229054877
13,0.0001220703125,0.0,0.010311242019903868,7.306236263076811e-07,33.87975495797186,PASS,PASS,none,Solve_Succeeded,6.217342688999452,1,slow,971,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.26828204540324e-13,2742.3302130295233,-4.246048550146844e-11,0.5000027675939004
14,6.103515625e-05,0.0,0.0003293889868007139,5.4121017446054684e-05,33.87983441360768,PASS,PASS,none,Solved_To_Acceptable_Level,1.3883168360007403,1,slow,210,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911363860386793e-13,47917.97903644568,-6.591751347997382e-10,0.5000020032555683
