iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9711289859344231,1.6414523620622555e-11,-1.2960999983593245e-07,PASS,PASS,none,Solve_Succeeded,0.12857000700000754,18,initial,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.469182516290724e-12,6.508434829497691e-10,2.3011672897580625e-12,3.711086929265394e-09
2,0.5,0.0,0.5000000000000001,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.690411213999937,11,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.118326737145219e-21,3.900924797564353e-21,0.0,0.0
3,0.25,0.0,0.25000000000000006,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.5903359940000428,10,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.243912897891165e-22,8.528587098376315e-21,0.0,0.0
4,0.125,0.0,0.12500000000008693,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.369426831999931,10,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.0279147261153356e-20,0.0,0.0
5,0.0625,0.0,0.06250000000000243,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.6112945869999749,8,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4069723847240616e-21,5.645059885359287e-21,0.0,0.0
6,0.03125,0.0,0.031250000000001055,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.4684621119999974,8,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.8138567747687856e-19,0.0,0.0,0.0
7,0.015625,0.0,0.015625000000001436,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.4443552510000472,4,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.716550176982835e-21,0.0,0.0
8,0.0078125,0.0,0.007812500000039028,1.0,1.9515640665715792e-18,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.7074425310000834,2,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.0655637281285145e-23,1.8076746657063354e-21,-5.296747876576658e-24,1.1220289828631959e-20
9,0.00390625,0.0,0.003906250000000113,23.84585723746683,0.03186784785027132,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.6280348940000522,2,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.3179132353038048,0.0,0.0
10,0.001953125,0.0,0.0019531250000004714,30.230786488737653,0.09003785968911156,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.7644879340000443,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.579285316174665,0.0,0.0
11,0.0009765625,0.0,0.000976572497296362,8.530839710479123e-12,0.09735748326018599,PASS,PASS,none,Solve_Succeeded,0.2546250449998979,2,slow,52,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.223754498213835e-14,1.3395134077733533,1.7697146304961014e-12,12.241083865100183
12,0.00048828125,0.0,0.0004882912486498556,1.488572958473211e-11,0.14559624242178967,PASS,PASS,none,Solve_Succeeded,0.8480596470000137,9,slow,180,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3006321200734604e-14,3.1542312554433303,1.775866170971024e-12,38.2167136521141
13,0.000244140625,0.0,0.0002441506241302434,7.607501000784935e-10,0.1711422640866453,PASS,PASS,none,Solve_Succeeded,1.5584350929999573,14,slow,316,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.737096531706808e-14,3.9581986537667873,1.7702263866504784e-12,44.24033051586321
14,0.0001220703125,0.0,0.00012208031195142432,3.822200944690688e-11,0.13684419060080624,PASS,PASS,none,Solve_Succeeded,4.044909259000065,4,slow,810,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.2943131265242756e-14,2.1190864545977757,1.772644998997529e-12,63.7890876687386
15,6.103515625e-05,0.0,6.104515566591195e-05,2.1150920015983898e-10,0.18092890739510561,PASS,PASS,none,Solve_Succeeded,1.8082129220000525,8,slow,362,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5832289162346823e-14,3.89341681501489,1.778825995574644e-12,63.9012175906947
16,3.0517578125e-05,0.0,3.052757761288422e-05,4.6394718291762824e-10,1.1176041560697194,PASS,PASS,none,Solve_Succeeded,4.830078886000024,6,slow,930,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.1382203686802506e-14,1.2423446649767327,1.8126267959866765e-12,63.93602015505077
17,1.52587890625e-05,0.0,1.5268788554467258e-05,4.2800782767960215e-11,1.1670949539790518,PASS,PASS,none,Solve_Succeeded,3.425115629000061,9,slow,704,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.887780571548138e-14,1.728574192536972,1.7698430110526898e-12,297.2985087457885
18,7.62939453125e-06,0.0,7.639393212582392e-06,9.410955490216189e-11,1.2290759549948964,PASS,PASS,none,Solve_Succeeded,2.963875561000009,14,slow,490,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7346615834622392e-13,7.733443779461703,4.065517508044634e-12,49.004947464825634
19,3.814697265625e-06,0.0,3.8246967295965665e-06,8.158213124725831e-12,1.2295108939466566,PASS,PASS,none,Solve_Succeeded,1.2344829649999838,14,slow,258,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.048244555855698e-14,7.732924640612255,1.65167451352428e-12,51.975209509341184
20,1.9073486328125e-06,0.0,1.9173480449593784e-06,8.858251376343572e-12,0.18670531479661898,PASS,PASS,none,Solve_Succeeded,4.315497437999966,10,slow,914,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.72631184878986e-14,3.963095991349068,1.7697813268121741e-12,167.09733157058642
21,9.5367431640625e-07,0.0,1.6086793789762555e-06,9.278277321791983e-11,0.09663613933307727,PASS,no_biactive,none,Solve_Succeeded,14.968477074999896,0,slow,2739,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.792881032560343e-14,0.9119075465876223,1.7697518866922843e-12,63.998525273586104
22,4.76837158203125e-07,0.0,4.013401764096131e-06,9.920626687536974e-07,0.1863272189506749,PASS,PASS,none,Solved_To_Acceptable_Level,18.537041635000037,4,slow,4339,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.4915217030065467e-14,3.9637108786120514,1.7697582324126035e-12,63.999695961992344
23,2.384185791015625e-07,0.0,0.0005145503772443177,0.33381017085399206,184079.89627350043,PASS,no_biactive,none,Solve_Succeeded,15.012810402000014,0,slow,2080,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.344572512613229e-07,2059.059390950817,-0.00045804195517206857,871.4929936083063
24,1.1920928955078125e-07,0.0,269517182549.0488,43.809703767961764,1.742360456085469e-05,PASS,no_biactive,none,Solved_To_Acceptable_Level,0.707867879999867,0,post_stagnation_fast,150,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0772131126496787e-11,5.502528566573102e-07,-1.9188468576759688e-10,2.433379472797634e-12
