iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.014994415407360493,0.0,0.014994425215660493,7.412210765176789e-10,24.183255189816755,PASS,PASS,none,Solve_Succeeded,0.2965383380005733,1,initial,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911362990424346e-13,0.706975012489561,-8.658179134392832e-14,0.37499543785819917
2,0.0074972077036802465,0.0,0.007497217511980255,2.0490279984652823e-07,24.183751532130938,PASS,PASS,none,Solve_Succeeded,0.2614511080000739,1,slow,40,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9113631571017616e-13,0.7069733072500332,8.859074262002247e-16,0.37499773175900625
3,0.0037486038518401233,0.0,0.004378112080198671,1.3236887763009796e-05,24.18399969395883,PASS,PASS,none,Solved_To_Acceptable_Level,0.5138532949995351,1,slow,65,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9113630667446914e-13,12.796807780614428,1.138743049661044e-13,0.3749988913505133
4,0.0018743019259200616,0.0,0.0018743117342200997,1.471154049612631e-07,24.184123771221206,PASS,PASS,none,Solved_To_Acceptable_Level,1.7061109630003557,1,slow,219,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911363056081197e-13,0.706972209676572,-6.75348616495628e-16,0.37499949665454935
5,0.0009371509629600308,0.0,0.0015585638491313932,1.1831135248474659e-07,24.184185812648177,PASS,PASS,none,Solved_To_Acceptable_Level,1.6970029399999476,1,slow,226,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.9113630608103874e-13,0.7069722683457388,-1.0097550038427983e-16,0.374999850174526
6,0.0004685754814800154,0.0,0.002292447053844864,9.022087441588448e-10,24.184216833347197,PASS,PASS,none,Solve_Succeeded,0.6167773669994858,1,slow,92,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911363063775954e-13,0.7069727115010149,-7.737193618963886e-15,0.37500012954099304
7,0.0002342877407400077,0.0,0.0020120089662198745,1.0349219502498776e-10,24.18423234424674,PASS,PASS,none,Solve_Succeeded,0.38333304499974474,1,slow,59,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.693929790051135e-13,0.7069758921827419,-5.86901019623944e-15,0.37500101269540703
8,0.00011714387037000385,0.0,0.0003922311072533766,3.6670726375485465e-09,24.184240100574296,PASS,PASS,none,Solve_Succeeded,0.24139104499954556,1,slow,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911362889421682e-13,3.0871911857180034,-1.8704067676144594e-12,0.37500105260162203
9,5.8571935185001926e-05,0.0,0.000408599130820256,4.516913486885081e-08,24.184243978099747,PASS,PASS,none,Solve_Succeeded,0.6218916130001162,1,slow,83,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.911363064820542e-13,29.764093528389978,-1.4339585607984607e-11,0.37500215405723963
10,2.9285967592500963e-05,0.0,0.0004809016940885683,0.01257324218751,24.184245916862043,PASS,PASS,none,Solve_Succeeded,4.41044127799978,1,slow,600,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.529207030458579e-11,7438502.81243095,-1.5213196781211873e-06,0.37501802866405304
