iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.8129783691298553,1.1247304351824815e-11,-1.2960990294126554e-07,PASS,PASS,none,Solve_Succeeded,0.4222651420004695,3,initial,83,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5301228169697724e-14,1.3354396722842062e-09,1.468297093634611e-13,7.434674645481797e-09
2,0.5,0.0,0.5000000000000031,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.4691936430008354,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.715377796257125e-22,0.0,0.0,0.0
3,0.25,0.0,0.25000000000001676,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.54791855700023,2,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.2866905196955213e-20,0.0,0.0
4,0.125,0.0,0.12500000000000377,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.4139465300013399,3,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.239677834005799e-19,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000000958,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.462789719000284,2,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.370878572349988e-18,0.0,0.0,0.0
6,0.03125,0.0,0.03125000000001365,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.4673759149991383,3,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.220762494754593e-19,0.0,0.0
7,0.015625,0.0,0.015625000000006318,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.3835767559994565,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.368894472816792e-20,6.456036408870506e-20,0.0,0.0
8,0.0078125,0.0,0.007812500000006084,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.2592401520014391,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.6418215579094344e-18,0.0,0.0,0.0
9,0.00390625,0.0,0.003906250000002602,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.3847816050001711,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.792176805937703e-18,0.0,0.0
10,0.001953125,0.0,0.0018471765993704537,2.649257740883247e-10,-1.29609987557671e-07,PASS,no_biactive,none,Solve_Succeeded,0.06310884699996677,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.559828499812331e-14,6.936616424500991e-07,1.472801148121433e-13,3.7536824666584926e-06
11,0.00048828125,0.0,0.0004882812500063866,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.2826689720004651,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.582185942928063e-19,8.381138159660725e-21,0.0,0.0
12,0.0001220703125,0.0,0.00012207031253213033,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.1970668640005897,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1887493703951578e-18,0.0,0.0,0.0
13,3.0517578125e-05,0.0,3.051757813126305e-05,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.2317020450009295,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.489334488549826e-18,0.0,0.0
14,7.62939453125e-06,0.0,7.629394562512644e-06,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.2187186850005673,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3839568267187665e-18,6.346253381548195e-18,0.0,0.0
15,1.9073486328125e-06,0.0,1.907348700319819e-06,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.1924506990017107,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.53048737881365e-18,0.0,0.0,0.0
16,4.76837158203125e-07,0.0,4.76837168269917e-07,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,1.1140949849996105,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.2173515457756864e-18,2.9815231252204107e-19,0.0,0.0
