iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9932244425173246,6.135873273566128e-05,-4.985000008295745e-08,PASS,PASS,none,Solve_Succeeded,9.075568694999674,3,initial,1883,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.178294138175133e-13,2.491287312890136e-07,-2.8365738730986754e-13,2.484464885076426e-09
2,0.5,0.0,0.48600414853092005,4.8540115205053525e-08,-4.984999999059742e-08,PASS,PASS,none,Solve_Succeeded,0.3821192400000655,10,slow,80,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1090481028549716e-12,4.868433434787814e-07,-1.3549166135313843e-14,8.426219152657703e-10
3,0.25,0.0,0.24972530661846087,1.7531164242523545e-08,-4.985000037172491e-08,PASS,PASS,none,Solve_Succeeded,0.31508330999986356,11,slow,65,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2154698251819706e-12,9.341255111309088e-07,-2.0718752347804844e-13,1.633870999217626e-08
4,0.125,0.0,0.12334181142207465,1.0745318885091448e-06,-4.985000026189095e-08,PASS,PASS,none,Solve_Succeeded,1.2980103869999766,9,slow,282,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2395639137799213e-12,1.9519010227601778e-06,-5.5003213389149655e-14,7.475048777015971e-09
5,0.0625,0.0,0.061542263077698264,8.28888336332949e-11,-4.985000005888642e-08,PASS,PASS,none,Solve_Succeeded,0.2879727039999125,7,slow,58,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.302999107220457e-12,3.975640367126373e-06,-1.3505418454941304e-13,3.733416769779722e-09
6,0.03125,0.0,0.030950806413583005,2.1212984743779195e-08,-4.9850018309093346e-08,PASS,PASS,none,Solve_Succeeded,0.16770211099992594,2,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.000531348722833e-12,8.242502734344268e-06,-2.902268630623571e-13,1.0812923970521337e-08
7,0.015625,0.0,0.015608056303525988,1.4802370605290771e-09,-4.984999998402289e-08,PASS,PASS,none,Solve_Succeeded,0.25850062000017715,2,slow,54,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.9574242643668186e-11,1.6676352418665676e-05,-2.7012525633525853e-11,1.6753230423668405e-07
8,0.0078125,0.0,0.005730741345401287,2.0068126934530417e-10,-4.984999993764663e-08,PASS,PASS,none,Solve_Succeeded,0.17464403399981165,2,slow,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.875530564888911e-13,3.211624864781119e-05,-5.491282047651097e-13,1.8838961029408115e-08
9,0.00390625,0.0,0.0037557096862899375,2.8192527249358557e-08,-4.985000054883783e-08,PASS,no_biactive,none,Solve_Succeeded,0.05334854300008374,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.021938124903198e-13,6.320192849440951e-05,-6.005137445456831e-13,4.160212594307308e-08
10,0.001953125,0.0,0.0018795898652013109,3.6363512431226985e-09,-4.985000024016312e-08,PASS,no_biactive,none,Solve_Succeeded,0.0576307389997055,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0082209009927713e-12,0.00012239475280163785,-3.9086340570124817e-13,8.390419004426273e-08
