iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000002,1.0,1.6653448730342626e-16,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.14028388800034,24,initial,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.5730913458313146e-21,4.519523320046614e-24,-7.92930135350645e-24,2.743588049472005e-22
2,0.5,0.0,0.5000000000000021,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.3110302909999518,7,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.079694398508846e-22,9.883692779616093e-21,0.0,0.0
3,0.25,0.0,0.2500000000000135,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.0522560499994142,5,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.433810157751548e-21,1.1254705759450865e-18,-2.137752548133809e-24,3.657949932365679e-25
4,0.125,0.0,0.12500000000016026,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.0801697260003493,3,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3550761003787099e-21,7.921944885279886e-20,0.0,0.0
5,0.0625,0.0,0.06250000000000178,29.760471845241373,0.020703524361900098,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.9303551960001641,4,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.06428243384782063,0.0,0.1066679411064925
6,0.03125,0.0,0.031250000000003324,30.867696801545907,0.09986516255242782,PASS,PASS,none,Search_Direction_Becomes_Too_Small,2.5047119900000325,4,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.484936630062251e-25,0.004118574933675444,0.0,0.007740467254170641
7,0.015625,0.0,0.01562500999066155,0.00011920007720944703,0.1441280130916321,PASS,PASS,none,Solve_Succeeded,0.1673347180003475,3,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.3079573564784265e-13,0.0013660760169688683,1.4728405913228325e-12,15.898530750732611
8,0.0078125,0.0,0.007812500000001813,32.231056324436125,0.16906879163752925,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.1118460390007385,4,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0062434135367432034,0.0,0.0
9,0.00390625,0.0,0.0039062500000009255,32.094686609910745,0.1817101329982477,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.0533388889998605,3,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.00254671675522253,0.0,0.0
10,0.001953125,0.0,0.001953125000000533,32.043359202302454,0.18789604580121905,PASS,PASS,none,Search_Direction_Becomes_Too_Small,1.2255742719999034,2,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0011637549793166078,0.0,0.0
