iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.810999587254684e-05,0.0,1.8119988542969878e-05,2.6874076297644933e-09,0.0018754209904777715,PASS,no_biactive,none,Solve_Succeeded,0.10720998900001177,0,initial,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183827630137033e-14,0.04295218413183691,1.7697511117050987e-12,10.558197798976883
2,9.05499793627342e-06,0.0,9.064990609168733e-06,1.6381719940251286e-10,0.0019398875030188758,PASS,no_biactive,none,Solve_Succeeded,0.11245125599998573,0,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183773015535678e-14,0.04293271913879394,1.7697516026279814e-12,10.558652020012328
3,4.52749896813671e-06,0.0,4.537491642285555e-06,3.9824441352065074e-10,0.0019721282636131023,PASS,no_biactive,none,Solve_Succeeded,0.10559748999997964,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183840853167393e-14,0.042942029460689875,1.769751848049e-12,10.55891889162398
4,2.263749484068355e-06,0.0,2.2737421588806675e-06,1.5746258463789076e-12,0.0019882505122308524,PASS,no_biactive,none,Solve_Succeeded,0.09919653500003278,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183845296516195e-14,0.042949736800849604,1.769751970738122e-12,10.559101456529229
5,1.1318747420341775e-06,0.0,1.8103218364005823e-06,1.7623402737143579e-13,0.0019963173742309228,PASS,no_biactive,none,Solve_Succeeded,0.10011497400000735,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183843851886339e-14,0.04295956010950799,1.7697519929702942e-12,10.559238912728578
6,5.659373710170888e-07,0.0,1.8103278792823278e-06,6.559052888495398e-12,0.0020003808295425457,PASS,no_biactive,none,Solve_Succeeded,0.12471767699997827,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.1838333085608945e-14,0.04297590613913641,1.7697520098783994e-12,10.559339027985159
7,2.829686855085444e-07,0.0,1.810340757447559e-06,1.1940258894463374e-12,0.0020024216395177893,PASS,no_biactive,none,Solve_Succeeded,0.12394771900000023,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.1838108056985874e-14,0.04300513681119528,1.7697520300501456e-12,10.559404630439081
8,1.414843427542722e-07,0.0,1.8103660730717955e-06,2.567775805352446e-10,0.002003442042585567,PASS,no_biactive,none,Solve_Succeeded,0.13757019899998113,0,post_stagnation_fast,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183766285654926e-14,0.04305571418982676,1.7697520443987513e-12,10.559443367148925
9,7.07421713771361e-08,0.0,1.8104125489938852e-06,2.05665727504023e-11,0.0020039522438924672,PASS,no_biactive,none,Solve_Succeeded,0.1410831270000017,0,post_stagnation_fast,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.18368463527793e-14,0.0431349029453845,1.769752052540454e-12,10.559464626342809
10,1.7685542844284024e-08,0.0,1.8106062869229432e-06,2.842170943040401e-14,0.002004334884008165,PASS,no_biactive,none,Solve_Succeeded,0.16980781799998113,0,adaptive_jump,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.183344513473142e-14,0.04335363911280604,1.7697520586830948e-12,10.55948152257989
