iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000002,1.0,2.3178223017038536e-16,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.2417703230000825,2,initial,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.066443526798374e-24,0.0,0.0
2,0.5,0.0,0.5000000000000175,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1359204929999578,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.3384881034948107e-20,0.0,0.0
3,0.25,0.0,0.2500000000000152,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.12404988400021466,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.262621728299694e-20,0.0,0.0
4,0.125,0.0,0.12500000000003186,1.0,5.0323518140817295e-31,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.12257417499995427,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.83449225246743e-20,0.0,0.0
5,0.0625,0.0,0.06250000000000208,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.12584259200002634,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.3298506377638162e-20,0.0,0.0
6,0.03125,0.0,0.03125000000001165,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.135787093999852,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.2504471297143328e-20,0.0,0.0
7,0.015625,0.0,0.01562500000000265,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.12268439500007844,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.730671791984413e-20,0.0,0.0,0.0
8,0.0078125,0.0,0.007812500000041802,1.0,5.9155257197313605e-30,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.11438036200001989,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.09625956353045e-20,0.0,0.0
9,0.00390625,0.0,0.003906250000139511,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.11256803399987803,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.614346462507668e-21,0.0,0.0
10,0.001953125,0.0,0.0019531250000515282,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10862261700003728,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6872616186312832e-20,0.0,0.0
11,0.00048828125,0.0,0.000488281250000005,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.11026192600002105,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.318291946501646e-20,0.0,0.0
12,0.0001220703125,0.0,0.0001220703125173112,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.11280728399992768,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.9829399786088018e-20,0.0,0.0
13,3.0517578125e-05,0.0,3.051757812588562e-05,1.0,2.1981557875577144e-36,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.1086813469999015,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6395322494306248e-21,7.720380166137051e-21,0.0,0.0
14,7.62939453125e-06,0.0,7.629394550221903e-06,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.1190787680000085,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.859303511056633e-20,0.0,0.0,0.0
15,1.9073486328125e-06,0.0,1.9073510447372346e-06,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10966359600001852,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.493947819312874e-20,0.0,0.0,0.0
16,4.76837158203125e-07,0.0,4.768860416746788e-07,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.12259979500004192,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.407321706166145e-21,0.0,0.0,0.0
