iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000009,1.0,1.7910801846478633e-16,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.5376459049999767,1,initial,37,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.9363881484736877e-21,0.0,3.0543560164535134e-18
2,0.5,0.0,0.5000000000000004,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.12490407799998593,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6506762907756583e-20,0.0,0.0,0.0
3,0.25,0.0,0.25,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.11123450600001661,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.5012860270587764e-21,0.0,0.0
4,0.125,0.0,0.12500000000012068,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.12648790699995516,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7564647916643968e-20,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000012591,1.0,0.0,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.11584347399997341,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.843632418527833e-21,0.0,0.0
6,0.03125,0.0,0.03125000000000001,1.0,1.427330036608924e-34,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09976184399999966,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.953343023219949e-22,0.0,0.0
7,0.015625,0.0,0.015625,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10697798899997224,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.749548166797748e-21,0.0,0.0,0.0
8,0.0078125,0.0,0.007812500000024055,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.12012864999996964,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.3402468560015226e-21,0.0,0.0,0.0
9,0.00390625,0.0,0.003906250000002057,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09770115499998155,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.659872699279052e-21,0.0,0.0
10,0.0009765625,0.0,0.0009765625000006523,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10533408000003419,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.8137597142193967e-20,0.0,0.0
11,0.000244140625,0.0,0.000244140625,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.12519691699998248,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.464621315586126e-21,0.0,0.0
12,6.103515625e-05,0.0,6.103515625000001e-05,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09731880600003251,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.1733874700254306e-21,0.0,0.0
13,1.52587890625e-05,0.0,1.525878927883119e-05,1.0,4.5585188499865996e-35,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10146110300001965,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.095570931209183e-21,0.0,0.0
14,3.814697265625e-06,0.0,3.814697265625e-06,1.0,2.4384704860875246e-38,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10325373199998467,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.1399362249450714e-21,0.0,0.0,0.0
15,9.5367431640625e-07,0.0,9.5367431640625e-07,1.0,0.0,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.11105107699995642,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.968128467305831e-20,0.0,0.0
