iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000081526639,4.263256414560601e-14,2.367106576398861,PASS,PASS,none,Solve_Succeeded,0.9386740750005629,1,initial,458,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0037930538825963e-14,0.0005118956802715408,1.3593541550582965e-12,0.701023223635444
2,0.5,0.0,0.5,1.4021959001669981,2.373735507726022,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1081140989999767,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005088597854188416,0.0,0.0
3,0.25,0.0,0.2500000000000535,1.4022496084622063,2.377071310266996,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09653378799976053,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005074641005703592,0.0,0.0
4,0.125,0.0,0.12500000000018172,1.4022707226953917,2.3787449896674,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10332523299985041,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005068009527159522,0.0,0.0
5,0.0625,0.0,0.06250000000060088,1.4022797784283885,2.3795833305972027,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09915093499967043,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005064786223069949,0.0,0.0
6,0.03125,0.0,0.03125000000001862,1.4022839222475647,2.380002883662767,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10790218900001491,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005063198428522337,0.0,0.0
7,0.0078125,0.0,0.007812500000084167,1.4022868600008178,2.38031771758503,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09983683500013285,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.000506201820038517,0.0,0.0
8,0.001953125,0.0,0.0019531250001819326,1.4022875715099001,2.3803964488370157,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.10005304600053933,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061724578005315,0.0,0.0
9,0.00048828125,0.0,0.0004882812500068809,1.4022877479494122,2.3804161330770826,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0837882890000401,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061651262480068,0.0,0.0
10,0.0001220703125,0.0,0.00012207031263337936,1.402287791969357,2.380421054226353,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08535560800009989,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061632939234444,0.0,0.0
11,3.0517578125e-05,0.0,3.051757833029416e-05,1.4022878029687214,2.380422284519249,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08415740899999946,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.000506162835877537,0.0,0.0
12,7.62939453125e-06,0.0,7.629394531265665e-06,1.4022878057182109,2.380422592092822,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08598180799981492,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061627213682629,0.0,0.0
13,1.9073486328125e-06,0.0,1.9073490315472464e-06,1.4022878064055613,2.3804226689862364,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.09094789299979311,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061626927410818,0.0,0.0
14,4.76837158203125e-07,0.0,4.768373556760003e-07,1.4022878065773976,2.3804226882095922,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08950976500000252,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0005061626855842951,0.0,0.0
