iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.018043751197129622,0.0,0.018047463317521932,1.5769387573527638e-08,50170.002236164175,PASS,no_biactive,none,Solve_Succeeded,15.530949288000102,0,initial,1394,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.307802459514117e-13,59699.09161153529,-3.659653582114087e-13,59132.875094778785
2,0.009021875598564811,0.0,0.009022232586755755,1.0153811246401701e-08,50268.56834645453,PASS,no_biactive,none,Solve_Succeeded,21.983756058999916,0,slow,1651,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.97691471065847e-13,73111.73017129916,-1.618172631648168e-12,59192.28398682357
3,0.0045109377992824055,0.0,0.004511497555423261,19.57910098274624,50318.076843801886,PASS,no_biactive,none,Solved_To_Acceptable_Level,24.612691292999898,0,slow,2263,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3985596537389493e-12,1735493.5723251952,-7.58278728309275e-12,59222.377053006705
4,0.0022554688996412027,0.0,20396686.37900858,0.001867907273634728,-703.1166840498336,PASS,PASS,none,Solved_To_Acceptable_Level,1.111648667999816,1,slow,58,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.32880548752533e-07,0.017502096834180105,-1.0401873940807823e-07,9.673190946209369
5,0.0011277344498206014,0.0,0.0011277444491968052,3.994858451210501e-09,-517.4960708551578,PASS,PASS,none,Solve_Succeeded,11.238204403000054,19,slow,935,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.173741874775594e-12,48.98843001706443,5.744470177539465e-13,8.597361123268033
6,0.0005638672249103007,0.0,0.0005638772237429033,3.941015305728603e-12,-517.4785895136679,PASS,PASS,none,Solve_Succeeded,0.46219828400012375,18,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.08079532839075e-12,48.98758621777814,1.0184312876564123e-12,8.597698853043692
7,0.00028193361245515034,0.0,0.0002819436113162316,3.400662929640823e-10,-517.4698492239207,PASS,PASS,none,Solve_Succeeded,0.4332391400000688,18,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.080775430373118e-12,48.98713751337354,1.0184476985695558e-12,8.597867685830828
8,0.00014096680622757517,0.0,0.00014097680509109317,6.885079994672132e-11,-517.4654791738404,PASS,PASS,none,Solve_Succeeded,0.3539555769998515,18,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0833483319237023e-12,48.98686160829335,1.0193179171304126e-12,8.597952094206924
9,7.048340311378759e-05,0.0,7.049340196852873e-05,7.187177949048283e-10,-517.4632941720221,PASS,PASS,none,Solve_Succeeded,0.43046925100020417,18,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0807582705320057e-12,48.986646293663014,-2.885472062993848e-10,8.597994296387771
10,3.524170155689379e-05,0.0,3.525170041257079e-05,3.2557483452373233e-10,-517.4622012782075,PASS,PASS,none,Solve_Succeeded,0.3377620910000587,18,fast,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0800683614541524e-12,48.118316230367874,1.018463217349875e-12,8.598015678261854
11,1.7620850778446896e-05,0.0,1.7630849601306465e-05,9.79216220371922e-10,-517.461653963486,PASS,PASS,none,Solve_Succeeded,0.28493154600005255,18,fast,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0478369070437524e-12,48.03751527861476,1.018464968150019e-12,8.598026287810738
12,8.810425389223448e-06,0.0,8.820424213802092e-06,1.6978475876198723e-11,-517.4613802636508,PASS,PASS,none,Solve_Succeeded,0.45208427300008225,18,fast,39,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.08075275184691e-12,48.03739609183576,1.018465609416087e-12,8.59803159445997
13,4.405212694611724e-06,0.0,4.415211578176769e-06,9.664618104435597e-13,-517.4612301580881,PASS,PASS,none,Solve_Succeeded,0.3585983529999339,21,fast,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0807536326249098e-12,45.1083859396041,1.0184658387189969e-12,8.598043703188912
14,2.202606347305862e-06,0.0,2.2126063718112396e-06,2.1799683974643713e-08,-517.1806974950472,PASS,PASS,none,Solve_Succeeded,0.9233025989999533,21,slow,66,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0807694829604004e-12,1003198.7933823651,-2.1523968186131656e-09,9.141886969860813
15,1.101303173652931e-06,0.0,1.111340525070078e-06,0.0005159158859967476,-142.7765022212588,PASS,PASS,none,Solved_To_Acceptable_Level,15.631334418999813,11,slow,1125,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.0164875090328767e-08,27709918.523997325,-3.408951292815458e-06,249.9390384441944
16,5.506515868264655e-07,0.0,1.111340525070078e-06,0.0005159158859967476,inf,N/A,,none,Infeasible_Problem_Detected,0.0,0,slow,2546,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
