iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.2044101793347615,0.0,0.18846401438975158,8.529741016154294e-11,-3.1904000164620343e-07,PASS,PASS,none,Solve_Succeeded,8.949966846999814,930,initial,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.51053324427513e-11,8.3980327249143e-10,2.506813546581587e-12,1.2171520042305626e-09
2,0.10220508966738075,0.0,0.09704963885327964,0.00012519993142283414,-3.190400034841718e-07,PASS,PASS,none,Solve_Succeeded,6.714449473000059,339,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.8390817699287253e-11,1.7409520291021953e-09,1.51067754908306e-11,2.4081436350253e-09
3,0.05110254483369037,0.0,0.048890131660928184,2.802717679312933e-10,-3.190400003419359e-07,PASS,PASS,none,Solve_Succeeded,22.254676074000145,242,slow,77,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.756956760672336e-10,2.6133273413907643e-08,7.33385653658848e-12,5.0695227050883065e-09
4,0.025551272416845187,0.0,0.025508192489114432,2.983648901627495e-10,-3.19040035246694e-07,PASS,PASS,none,Solve_Succeeded,4.876905666000312,165,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1618152686856913e-10,1.7454663879296235e-07,-2.1735337556635332e-10,2.9171133864231476e-07
5,0.012775636208422593,0.0,0.012116455775642862,7.854096901083068e-10,-3.190399992348338e-07,PASS,PASS,none,Solve_Succeeded,11.518800243999976,740,slow,40,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.114652914266716e-11,1.7396640381758303e-07,-2.1418397174968126e-11,2.0498340526060153e-08
6,0.006387818104211297,0.0,0.006376279492889753,8.294214313607697e-10,-3.190399312588805e-07,PASS,PASS,none,Solve_Succeeded,11.761997178000001,708,slow,39,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.870594921742442e-10,7.250308387764964e-07,-2.2402028447455186e-11,2.3252833301427834e-06
7,0.0031939090521056483,0.0,0.00314362734885513,1.3876871997418189e-09,-3.190400018338049e-07,PASS,PASS,none,Solve_Succeeded,20.723882624999987,322,slow,72,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.396212260265769e-10,5.704531368083425e-07,-1.0278414586561813e-10,9.017900987482466e-07
8,0.0015969545260528242,0.0,0.0015813511589471427,0.00044425546537832264,-3.1904000334328375e-07,PASS,PASS,none,Solved_To_Acceptable_Level,27.109244381999815,301,slow,90,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.2371920762188504e-10,3.132114977948032e-07,3.8809253691293095e-11,2.898832513271749e-06
9,0.0007984772630264121,0.0,0.0007984872628413266,7.127757518488693e-07,0.015210422334655662,PASS,PASS,none,Solve_Succeeded,292.30558586999996,277,slow,994,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.7358645833312535e-12,0.5028024338085723,3.8740048990973226e-11,23.17025320010064
10,0.00039923863151320604,0.0,0.0003992486313264024,2.4431517054195517e-06,0.22687091875157264,PASS,PASS,none,Solve_Succeeded,78.51097518999995,207,slow,285,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.754341293919734e-12,0.3763350345334642,5.8041771329086984e-11,23.196533458290904
11,0.00019961931575660302,0.0,0.0001996293156622363,5.767479304251156e-07,0.36109153486645884,PASS,PASS,none,Solve_Succeeded,63.933878418000404,669,slow,233,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.152772981911858e-14,0.26546480831823105,4.087563532858527e-11,23.212563990504187
12,9.980965787830151e-05,0.0,9.981965780317692e-05,1.9351752947647074e-07,0.44334368951204517,PASS,PASS,none,Solve_Succeeded,85.51869409100027,164,slow,321,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5914384676195787e-13,0.1756563371058245,4.083885123609862e-11,23.222176996132397
13,4.9904828939150755e-05,0.0,4.991482893779168e-05,1.1558205727250556e-09,0.8543002010091074,PASS,PASS,none,Solve_Succeeded,36.1584352079999,123,slow,134,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.6776380035613363e-13,340.63970141519627,4.100343996677164e-11,41.7641875703445
14,2.4952414469575378e-05,0.0,2.4962414469162698e-05,6.837819990908008e-10,2.8151165060983,PASS,PASS,none,Solve_Succeeded,49.694676358999914,113,slow,166,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.88550598701115e-13,752.1969272551479,4.102848371057971e-11,41.76499623003829
15,1.2476207234787689e-05,0.0,1.2486207234125526e-05,6.344252063629388e-10,3.8049430267181164,PASS,PASS,none,Solve_Succeeded,131.65859096699978,77,slow,439,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.340823370068686e-13,162.47091348455265,4.1080952787522e-11,41.765187835816505
16,6.238103617393844e-06,0.0,6.248103617201464e-06,6.295558667564568e-08,4.55332932519453,PASS,PASS,none,Solve_Succeeded,611.314559375,468,slow,554,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.2309821780708255e-13,1495.214549231615,4.1744382940576e-11,79.52605405860955
17,3.119051808696922e-06,0.0,3.1290518086121693e-06,1.584094013595957e-10,7.503937512242291,PASS,PASS,none,Solve_Succeeded,1586.5363233080006,56,slow,678,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.453885309680334e-13,2925.700177531662,4.2591710972954856e-11,121.54584927259434
