iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.20359840609260993,0.0,0.1659486928524831,3.5448211582838e-10,-3.190399988448102e-07,PASS,PASS,none,Solve_Succeeded,13.72621297600017,534,initial,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.757582935060516e-10,3.138994703869454e-10,-1.6721272012371965e-12,1.6338199034951774e-06
2,0.10179920304630496,0.0,0.09158643394339537,1.2849710613464054e-10,-3.190400002355639e-07,PASS,PASS,none,Solve_Succeeded,5.260934306999843,993,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.5288256013511486e-12,1.2005949493132418e-09,5.828834182613179e-12,2.292505409497243e-08
3,0.05089960152315248,0.0,0.05060832267962998,6.934443408379565e-09,-3.1904000143786424e-07,PASS,PASS,none,Solved_To_Acceptable_Level,9.912053501000628,366,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.5366922767872363e-11,3.8444937674565175e-09,2.0017692185290736e-11,2.6201770051014907e-08
4,0.02544980076157624,0.0,0.02519521346714015,9.639927610327614e-08,-3.19040003265192e-07,PASS,PASS,none,Solved_To_Acceptable_Level,10.693031219001568,562,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.648139603782503e-12,2.6793643883403953e-08,2.2585284034578322e-11,3.938047666556694e-08
5,0.01272490038078812,0.0,0.011609398285332868,7.319667419183991e-10,-3.190402219196854e-07,PASS,PASS,none,Solve_Succeeded,6.603021209000872,822,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6183361813503657e-12,1.60748236556344e-08,1.0106621660256042e-11,1.0033957796877404e-07
6,0.00636245019039406,0.0,0.006265886036646113,7.250044196938088e-09,-3.190400037590717e-07,PASS,PASS,none,Solved_To_Acceptable_Level,10.556941154000015,701,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.99396613153437e-11,1.4560395397813303e-07,-1.2780080205620658e-11,1.2664206620138734e-06
7,0.00318122509519703,0.0,0.0031696231200829704,7.736498988409344e-08,-3.190400047250001e-07,PASS,PASS,none,Solved_To_Acceptable_Level,19.703750214999673,593,slow,54,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4592357559897977e-09,2.0706981793055104e-07,-2.7543727104183995e-11,3.554172769967814e-05
8,0.001590612547598515,0.0,0.0015618828721719149,6.457596671391084e-07,-3.1904000490019214e-07,PASS,PASS,none,Solved_To_Acceptable_Level,31.432809744001133,532,slow,83,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.4635641508830077e-09,1.1246607751901192e-07,-9.968132579365375e-11,2.3035183044496514e-05
9,0.0007953062737992575,0.0,0.0007534471818082787,6.28887186500732e-10,-3.190400264145416e-07,PASS,PASS,none,Solve_Succeeded,13.717399852999733,425,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7591806459235827e-10,3.249048217133149e-07,2.0036011938235627e-11,3.2400289245507457e-06
10,0.00039765313689962877,0.0,0.0003967072392330303,8.28595814184041e-09,-3.1904000322212363e-07,PASS,PASS,none,Solved_To_Acceptable_Level,17.140973858000507,290,slow,48,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.728537725968804e-10,1.2296291165531532e-06,-5.8200576679484905e-12,2.6557569712216767e-05
