iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000031015,4.503920353829832e-09,-18.401551175656028,PASS,PASS,none,Solve_Succeeded,0.004918652000014845,1,initial,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
2,0.5,0.0,0.4999998694954124,2.2561524424939297e-09,-18.40077558430374,PASS,PASS,none,Solve_Succeeded,0.003232960000332241,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
3,0.25,0.0,0.24999996707754785,1.1281143719592209e-09,-18.400387792149424,PASS,PASS,none,Solve_Succeeded,0.003369734999978391,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
4,0.125,0.0,0.1249999917736121,5.640667612924699e-10,-18.400193896074722,PASS,PASS,none,Solve_Succeeded,0.0031400499997289444,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
5,0.0625,0.0,0.06249999796398645,2.8203577429440924e-10,-18.400096948037366,PASS,PASS,none,Solve_Succeeded,0.003157701999953133,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
6,0.03125,0.0,0.031249999515138318,1.41018485292847e-10,-18.4000484740187,PASS,no_biactive,none,Solve_Succeeded,0.0031759280000187573,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
7,0.015625,0.0,0.015624999886239051,7.05093924774666e-11,-18.400024237009337,PASS,no_biactive,none,Solve_Succeeded,0.0030080239998824254,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
8,0.0078125,0.0,0.007812499993752826,3.5254733905672446e-11,-18.400012118504662,PASS,no_biactive,none,Solve_Succeeded,0.003911185000106343,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
9,0.00390625,0.0,0.0039062499864524693,5.820766091346741e-11,-18.40000605925232,PASS,no_biactive,none,Solve_Succeeded,0.003727637999872968,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
10,0.001953125,0.0,0.0019531249932114312,8.813690399194802e-12,-18.400003029626177,PASS,no_biactive,none,Solve_Succeeded,0.0038736989999961224,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
11,0.0009765625,0.0,0.0009765625350526019,3.5052601880108947e-11,-18.400001514813074,PASS,no_biactive,none,Solve_Succeeded,0.004008665000128531,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
12,0.00048828125,0.0,0.0004882812861177719,5.820766091346741e-11,-18.40000075740655,PASS,no_biactive,none,Solve_Succeeded,0.003424068000185798,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
13,0.000244140625,0.0,0.0002441406258321604,5.820766091346741e-11,-18.40000037870326,PASS,no_biactive,none,Solve_Succeeded,0.003987502000200038,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
14,0.0001220703125,0.0,0.00012207031247348216,5.508557849605089e-13,-18.400000189351623,PASS,no_biactive,none,Solve_Succeeded,0.0033233009999094065,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
15,6.103515625e-05,0.0,6.103519309364409e-05,3.6843644088857715e-11,-18.400000094675807,PASS,no_biactive,none,Solve_Succeeded,0.005318799999713519,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
16,3.0517578125e-05,0.0,3.0517578118069068e-05,1.3771400843651202e-13,-18.40000004733791,PASS,no_biactive,none,Solve_Succeeded,0.003726786999777687,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
17,1.52587890625e-05,0.0,1.5258858287683325e-05,6.922518332489695e-11,-18.40000002366897,PASS,no_biactive,none,Solve_Succeeded,0.0030026160002307734,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
18,7.62939453125e-06,0.0,7.62940115025372e-06,5.820766091346741e-11,-18.40000001183444,PASS,no_biactive,none,Solve_Succeeded,0.0030943509996177454,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
19,3.814697265625e-06,0.0,3.814720547650416e-06,2.328202541561087e-11,-18.400000005917224,PASS,no_biactive,none,Solve_Succeeded,0.004408653000155027,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
20,1.9073486328125e-06,0.0,1.9073486325527624e-06,2.842170943040401e-14,-18.400000002958627,PASS,no_biactive,none,Solve_Succeeded,0.00306389700017462,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
