iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011731449999388133,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010900580000452464,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001103817000057461,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010539519998928881,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.03125,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010553609999988112,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.015625,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010190150001108123,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0078125,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001310442999965744,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.00390625,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010473659999661322,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.0009765625,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010982980002154363,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.00048828125,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.00104892400031531,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
