iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.000000009996786,3.232969447708456e-13,-12.262385480550847,PASS,no_biactive,none,Solve_Succeeded,0.0163848810007039,0,initial,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2388838870486112e-11,2.6037602959237096e-11,3.840484353946556e-12,8.071615949066722e-12
2,0.5,0.0,0.5000000099971644,2.333103203369921e-10,-8.18113409646081,PASS,no_biactive,none,Solve_Succeeded,0.01183059899994987,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.9504499338023905e-12,4.936325600447731e-11,-6.934385157015101e-11,2.2330248598451993e-11
3,0.25,0.0,0.2500000099978396,2.9388047551037744e-11,-6.019283609941454,PASS,no_biactive,none,Solve_Succeeded,0.010989166999934241,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0358521209145235e-11,6.616682049044118e-11,6.045216193891315e-12,1.9647594405708867e-11
4,0.125,0.0,0.1250000099975883,6.270539643082884e-13,-4.891210779643193,PASS,no_biactive,none,Solve_Succeeded,0.01121459100068023,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.1450935530693576e-11,1.1598828094172542e-10,6.897141182717755e-12,2.5436260902166762e-11
5,0.0625,0.0,0.0625000099976612,1.0436096431476471e-13,-4.312613425072164,PASS,no_biactive,none,Solve_Succeeded,0.011296026999843889,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.3879977206878393e-11,2.13896047536093e-10,7.480162774556868e-12,2.969547011204192e-11
6,0.03125,0.0,0.03125000999769223,1.3094235912653148e-10,-4.019353720466319,PASS,no_biactive,none,Solve_Succeeded,0.014063609000004362,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.801876430005407e-11,4.0913159391063305e-10,-1.9716602406604198e-11,3.504748102260339e-11
7,0.015625,0.0,0.015625009997711166,1.1752765999027758e-10,-3.8717045606312315,PASS,no_biactive,none,Solve_Succeeded,0.014800973998717382,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.884796060165537e-10,7.976553661011824e-10,-1.854883082738437e-11,3.693465321735839e-11
8,0.0078125,0.0,0.007812509997720343,1.4086033207905135e-10,-3.797622863911426,PASS,no_biactive,none,Solve_Succeeded,0.012664543999562738,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.6899400146316475e-10,1.5747820474356105e-09,-2.3662311457292114e-11,3.838250753388122e-11
9,0.00390625,0.0,0.00390625999772508,9.790958774977623e-11,-3.7605175651315657,PASS,no_biactive,none,Solve_Succeeded,0.013571784998930525,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.29870367371046e-10,3.1289547387422116e-09,-1.381241832721271e-11,3.764653170783807e-11
10,0.001953125,0.0,0.001953134997787236,3.5793590313915047e-12,-3.74194879014347,PASS,no_biactive,none,Solve_Succeeded,0.00938636399951065,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.448316688381594e-09,6.1830787832046355e-09,8.208256395234591e-12,3.5277447639388576e-11
11,0.0009765625,0.0,0.000976572497728668,3.593072312764914e-11,-3.732660370192684,PASS,no_biactive,none,Solve_Succeeded,0.01220190599997295,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8939081465131366e-09,1.2454082790927551e-08,4.4042413277369377e-13,3.624538920360027e-11
12,0.00048828125,0.0,0.0004882912477291943,8.742313439749687e-10,-3.728015152008694,PASS,no_biactive,none,Solve_Succeeded,0.011971694000749267,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.778966123772054e-09,2.4887166981627716e-08,-1.7989681196912147e-10,5.824330728455703e-11
13,0.000244140625,0.0,0.00024415062272929256,9.087668224244028e-11,-3.7256922908549295,PASS,no_biactive,none,Solve_Succeeded,0.01137652900069952,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1549206443172397e-08,4.9751457293496695e-08,-1.2125555753135735e-11,3.785313675237544e-11
14,0.0001220703125,0.0,0.0001220803102297038,7.870511728197846e-10,-3.724530797261565,PASS,no_biactive,none,Solve_Succeeded,0.010762623000118765,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3088423609713596e-08,9.947278301423525e-08,-1.6822654546625003e-10,5.600381389172268e-11
15,6.103515625e-05,0.0,6.104515397969069e-05,9.083908235986788e-11,-3.723950034710639,PASS,no_biactive,none,Solve_Succeeded,0.013315479000084451,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6163593897938325e-08,1.9889025634439188e-07,-1.1843480559809188e-11,3.779177431154951e-11
16,3.0517578125e-05,0.0,3.052757585475385e-05,8.32222126092132e-11,-3.7236596494966028,PASS,no_biactive,none,Solve_Succeeded,0.013231924000137951,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.229915089862173e-08,3.9761588040548194e-07,-1.0135521995757614e-11,3.759422837815644e-11
17,1.52587890625e-05,0.0,1.5268786792343764e-05,8.400380821915169e-10,-3.723514455904938,PASS,no_biactive,none,Solve_Succeeded,0.01090814999952272,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.845118603799748e-07,7.946396445087138e-07,-1.8339228760382836e-10,5.707887629083357e-11
18,7.62939453125e-06,0.0,7.639392261054694e-06,4.693750961198415e-10,-3.723441858862944,PASS,no_biactive,none,Solve_Succeeded,0.01091076000011526,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.687061973188802e-07,1.5869697943942495e-06,-9.904629118998927e-11,4.760417548275833e-11
19,3.814697265625e-06,0.0,3.824694995284461e-06,3.572743346319407e-10,-3.7234055602804066,PASS,no_biactive,none,Solve_Succeeded,0.010578147001069738,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.361684349616127e-07,3.1648203595451187e-06,-7.35532525946313e-11,4.4295734769395556e-11
20,1.9073486328125e-06,0.0,1.917346362300113e-06,1.80405646956121e-10,-3.7233874109737495,PASS,no_biactive,none,Solve_Succeeded,0.011428791000071215,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.4673100541730587e-06,6.2917668042979836e-06,-3.5508624288305785e-11,3.892997512889023e-11
