iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000099962314,3.9427964600632103e-10,9.694626633416053,PASS,PASS,none,Solve_Succeeded,0.034573822999846016,1,initial,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5943765665663685e-12,2.377716282373625,2.0148617817677286e-16,13.613323074342901
2,0.5,0.0,0.5000000099961344,1.5764837373463748e-10,11.914114957129645,PASS,no_biactive,none,Solve_Succeeded,0.0958359040000687,0,slow,57,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5733604188052584e-12,2.3486251224194015,3.265752157160503e-14,17.411658799304085
3,0.25,0.0,0.250000000000024,3.937602897390783,13.576671172274098,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.010246848999940994,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.738684314330424,0.0,22.89136777521519
4,0.125,0.0,0.12500000000000003,4.042193748317144,14.529311100364952,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011655765999876166,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.7583056132954706,0.0,30.909155302275458
5,0.0625,0.0,0.06250000999779595,1.2065853461858816e-05,15.042281663335107,PASS,no_biactive,none,Solve_Succeeded,0.021597928000119282,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.644236731719893e-12,0.23160050766831758,3.7697170436941325e-14,37.025563518050795
6,0.03125,0.0,0.03125,4.132959042584378,15.30687213185453,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.013586400999884063,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.32895463485731,0.0,18.401215420530956
7,0.015625,0.0,0.015625009998271152,7.31059657255173e-12,15.460346156962682,PASS,no_biactive,none,Solve_Succeeded,0.016055310999945505,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.069557061441989e-12,4.632113870629414,3.5966869153286806e-14,8.41028337148758
8,0.0078125,0.0,0.007812509998256247,5.9521505037716e-10,15.538865669309253,PASS,no_biactive,none,Solve_Succeeded,0.01780233399995268,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.77066146922492e-12,4.633959526977446,3.591357941147021e-14,8.602421181193153
9,0.00390625,0.0,0.0039062599982494645,1.3778518241724155e-05,15.578267539169941,PASS,no_biactive,none,Solve_Succeeded,0.017640905999996903,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.760662850358637e-12,4.634787898097732,3.531513211503254e-14,8.700511117858506
10,0.001953125,0.0,0.001953134998246107,1.0250168696679269e-10,15.598005447443139,PASS,no_biactive,none,Solve_Succeeded,0.02621733600017251,0,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.411703611210608e-11,4.635179214224459,8.137462571682244e-14,8.75007818096146
11,0.0009765625,0.0,0.000976562500000003,5.562638409887213,15.607884170248917,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.014756505000150355,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.474760370388469e-25,4.635369253302582,0.0,8.774994761913169
12,0.00048828125,0.0,0.00048828125,5.562653000323245,15.612825733351082,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.014740797999820643,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.63546286821979,0.0,8.78748620269005
13,0.000244140625,0.0,0.00024414062500000005,5.562659948845779,15.615297111682915,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011877712000114116,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635509327651953,0.0,8.793740302338676
14,0.0001220703125,0.0,0.0001220803107429501,3.13805822871987e-11,15.616532600231361,PASS,no_biactive,none,Solve_Succeeded,0.01623217399992427,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.2741488904834093e-12,4.63553260315432,7.469737612522592e-14,8.796869044190034
15,6.103515625e-05,0.0,6.103515625000004e-05,5.56266500882221,15.617150907151167,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011130962000152067,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635544020265476,0.0,8.798434550286238
16,3.0517578125e-05,0.0,3.051757813160541e-05,5.562665839544606,15.617459894898603,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.01041076699993937,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.248604744165141e-23,4.635549789716836,0.0,8.79921723134807
17,1.52587890625e-05,0.0,1.5258789081276206e-05,5.562666253555639,15.617614391113296,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.014837945999715885,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635552673087731,0.0,8.799608604724192
18,7.62939453125e-06,0.0,7.629394531478094e-06,5.562666460223649,15.617691639805965,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.024597061999884318,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.716997257626828e-23,4.635554114434521,-3.395582199487675e-28,8.7998042996245
19,3.814697265625e-06,0.0,3.814697265689326e-06,5.5626665634732815,15.617730264298647,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012342615999841655,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.153593676647027e-22,4.635554835023258,0.0,8.799902149127833
20,1.9073486328125e-06,0.0,1.9073486328124864e-06,5.562666615077004,15.61774957658157,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.01516746500010413,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635555195296461,0.0,8.799951074392814
21,9.5367431640625e-07,0.0,9.53674316406679e-07,5.562666640873594,15.617759232732183,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011885533000167925,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.285233260778466e-24,4.6355553754277725,0.0,8.79997553715363
