iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.2562175694946768e-06,4.4986236957811343e-13,0.01698430599101077,PASS,PASS,none,Solve_Succeeded,0.8074177250000503,5,initial,46,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012211363076,9.094574564679489,7.949443587948935e-14,1.0905703393160649e-10
2,0.5,0.0,1.256223780691575e-06,2.7764457399825915e-12,0.016984306144305454,PASS,PASS,none,Solve_Succeeded,0.250457711999843,5,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901229539321,9.094575687650488,7.955800593081206e-14,1.091525857671145e-10
3,0.25,0.0,1.2562099979172531e-06,2.7704061267286306e-11,0.016984306218232645,PASS,PASS,none,Solve_Succeeded,0.28064530400024523,3,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012335631116,9.09457606884658,7.980732981098494e-14,1.0960526200648992e-10
4,0.125,0.0,1.2562108507025686e-06,5.197264840717253e-11,0.01698430622219068,PASS,PASS,none,Solve_Succeeded,0.3284109979999812,3,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012338055355,9.094576040294552,7.984986651715885e-14,1.0968871408197637e-10
5,0.0625,0.0,1.2562159089693789e-06,7.853095951304567e-11,0.016984306114339594,PASS,PASS,none,Solve_Succeeded,0.3233237240001472,1,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012279799638,9.094575267191686,7.975334594018731e-14,1.0952438226771557e-10
6,0.015625,0.0,1.2562293926902207e-06,1.865174681370263e-13,0.01698430582783759,PASS,PASS,none,Solve_Succeeded,0.34720842000024277,1,adaptive_jump,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901212758625,9.094573307132386,7.949453897135791e-14,1.0905721217768936e-10
7,0.0078125,0.0,1.2562265994675372e-06,5.375788703076978e-11,0.016984305922405685,PASS,no_biactive,none,Solve_Succeeded,0.29171422399986113,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012185279596,9.094574113967276,7.951842029553017e-14,1.0909314437963267e-10
8,0.00390625,0.0,1.256229414839724e-06,3.197442310920451e-14,0.01698430582771103,PASS,no_biactive,none,Solve_Succeeded,0.3368032480002512,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012145116046,9.094573542672508,7.949442851324914e-14,1.090570163038429e-10
9,0.001953125,0.0,1.256229399095202e-06,2.7755575615628914e-14,0.016984305827692184,PASS,no_biactive,none,Solve_Succeeded,0.2795780870001181,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901216857086,9.094573857597798,7.949442830303764e-14,1.0905701590508268e-10
10,0.00048828125,0.0,1.2562293990956325e-06,3.3306690738754696e-14,0.016984305827692323,PASS,no_biactive,none,Solve_Succeeded,0.3523263649999535,0,adaptive_jump,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012309359282,9.094575743823974,7.949442830299034e-14,1.0905701590493543e-10
11,0.000244140625,0.0,1.2562294130477909e-06,3.2085445411667024e-14,0.016984305827691157,PASS,no_biactive,none,Solve_Succeeded,0.35222354799998357,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012497069324,9.094578247641714,7.949442830425147e-14,1.0905701590744695e-10
12,0.0001220703125,0.0,1.256229043677566e-06,5.06437558556172e-10,0.016984305833772195,PASS,no_biactive,none,Solve_Succeeded,0.35779668900022443,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012875733174,9.094583256022828,7.949774942471621e-14,1.0906249572186944e-10
13,6.103515625e-05,0.0,1.256229399109783e-06,3.730349362740526e-14,0.016984305827690088,PASS,no_biactive,none,Solve_Succeeded,0.37393628300014825,0,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339013623161668,9.094593008373531,7.949442831210239e-14,1.0905701592107352e-10
14,1.52587890625e-05,0.0,1.2562294130424448e-06,3.26405569239796e-14,0.016984305827680922,PASS,no_biactive,none,Solve_Succeeded,0.34820263099982185,0,adaptive_jump,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901812459168,9.094647883948362,7.949442830223298e-14,1.0905701590348611e-10
15,7.62939453125e-06,0.0,1.256229413045889e-06,1.794120407794253e-13,0.016984305827668376,PASS,no_biactive,none,Solve_Succeeded,0.36919381600000634,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339024119176559,9.094712086384567,7.949442830452642e-14,1.090570159079395e-10
16,3.814697265625e-06,0.0,1.2562293764589392e-06,2.367848139783746e-10,0.016984305828130097,PASS,no_biactive,none,Solve_Succeeded,0.3441018400003486,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339036083136984,9.094816765199598,7.94945186509653e-14,1.0905717583973444e-10
17,1.9073486328125e-06,0.0,1.2562294130424052e-06,3.042011087472929e-14,0.01698430582762024,PASS,no_biactive,none,Solve_Succeeded,0.38448257499976535,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339059910535724,9.094964352298472,7.94944283023402e-14,1.0905701590245936e-10
18,4.76837158203125e-07,0.0,1.2562294130422009e-06,2.3092638912203256e-13,0.016984305827529293,PASS,no_biactive,none,Solve_Succeeded,0.4305103589999817,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833920009080309,9.095289791776374,7.949442830254616e-14,1.0905701589698624e-10
19,2.384185791015625e-07,0.0,1.2562294269905794e-06,4.900080341485591e-12,0.016984305827457018,PASS,no_biactive,none,Solve_Succeeded,0.3956694669996068,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833937985128036,9.095405158700778,7.949442830319106e-14,1.0905701589234727e-10
20,1.1920928955078125e-07,0.0,1.256229428020567e-06,6.230083116065543e-11,0.016984305827544045,PASS,no_biactive,none,Solve_Succeeded,0.3567917140003374,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339716720715582,9.095477902491393,7.94944485901864e-14,1.0905705236597359e-10
21,5.960464477539063e-08,0.0,1.2562294137469446e-06,5.4781068570264324e-11,0.01698430582739053,PASS,no_biactive,none,Solve_Succeeded,0.3902132230000461,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18340312307601234,9.095519305771365,7.9494442279691e-14,1.0905704163189405e-10
