iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.5536950370527206,2.9103830456733704e-11,-827.8594914933626,PASS,no_biactive,none,Solve_Succeeded,0.13176653099981195,0,initial,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.2070442799767424e-16,18.011527329670894,2.7889963570452925e-13,147.03916422743592
2,0.5,0.0,0.2769363145099989,7.293934345398156e-10,-827.859491493275,PASS,no_biactive,none,Solve_Succeeded,0.2898428750004314,0,slow,65,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0695610864400356e-16,18.011527329940773,3.4838264629057553e-13,147.03941071817323
3,0.25,0.0,0.1391601300095009,5.093170329928398e-11,-827.8594915000793,PASS,no_biactive,none,Solve_Succeeded,0.11367031800000404,0,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.796361465381928e-13,18.01152733105934,6.072344631692846e-13,147.04898446626697
4,0.125,0.0,0.0692501350534713,5.437958450995556e-10,-827.8594914933419,PASS,no_biactive,none,Solve_Succeeded,0.12245779699969717,0,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.571375008138955e-17,18.0115273309317,2.788999990023184e-13,147.03916390664227
5,0.0625,0.0,0.03462638720892673,2.990888310801243e-08,-827.8594914933432,PASS,no_biactive,none,Solved_To_Acceptable_Level,0.17961420200026623,0,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.566437445240638e-17,18.011527332372612,2.788999990023184e-13,147.03916295404605
6,0.03125,0.0,0.017313529964311503,8.096922420736119e-10,-827.8594914933423,PASS,no_biactive,none,Solve_Succeeded,0.0809105999996973,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.56833007079855e-17,18.011527335254428,2.788999990016649e-13,147.03915931775174
7,0.015625,0.0,0.008656836584327218,2.3283064365386963e-10,-827.8594914929962,PASS,no_biactive,none,Solve_Succeeded,0.09558642499996495,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7239486908731568e-16,18.011527355758812,6.355532522160737e-13,147.07094991388087
8,0.0078125,0.0,0.00432845143539332,2.3283064365386963e-10,-827.8594914804485,PASS,no_biactive,none,Solve_Succeeded,0.11212103999969258,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.602953594031206e-15,18.01152843192013,1.3336629010105779e-11,147.0785594963186
9,0.00390625,0.0,0.003783211696775692,5.820766091346741e-11,-827.8594914838994,PASS,no_biactive,none,Solve_Succeeded,0.11433740100073919,0,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.604638402071619e-15,18.011528958537497,9.853997196144347e-12,146.86020482951875
10,0.001953125,0.0,0.0019457394327161534,7.275957614183426e-11,-827.8594914267478,PASS,no_biactive,none,Solve_Succeeded,0.08302121500037174,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.875612084809257e-14,18.01153063232138,9.989749941404755e-12,144.3007040906555
11,0.0009765625,0.0,0.0013046863978733317,5.820766091346741e-11,-827.8594914825198,PASS,no_biactive,none,Solve_Succeeded,0.10110840100060159,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.339315764496072e-14,18.01152801264807,1.0332424042075995e-12,144.14364358355573
12,0.00048828125,0.0,0.0004861105596399265,5.820766091346741e-11,-827.8594914933424,PASS,no_biactive,none,Solve_Succeeded,0.6012871370003268,0,slow,130,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.282438875965702e-13,18.0115276982233,2.788999990023187e-13,147.03333032359598
13,0.000244140625,0.0,0.0003841849329630937,8.01314570253453e-10,-827.8594903542821,PASS,no_biactive,none,Solve_Succeeded,0.10951594000016485,0,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7496494176389076e-10,18.01152806684944,2.7889881127952164e-13,78.000002448653
14,0.0001220703125,0.0,0.0009553303579397652,3.395985714860217e-10,-827.8594873742201,PASS,no_biactive,none,Solve_Succeeded,0.4790007420006077,0,slow,96,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.489769541277761e-12,18.011528802700948,2.788999998532801e-13,78.00000488394627
15,6.103515625e-05,0.0,5.503801336502836e-05,7.085254865452084e-11,-827.8594914933944,PASS,no_biactive,none,Solve_Succeeded,0.6302579829998649,0,slow,149,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.569331955222673e-19,18.011530271336508,2.788999990023133e-13,167.10320154620342
16,3.0517578125e-05,0.0,0.00024077863733245534,1.9042967203120043e-10,-827.8594856852227,PASS,no_biactive,none,Solve_Succeeded,0.6341299519999666,0,slow,130,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0337891047257615e-12,18.011533194969974,2.7889999988390336e-13,78.0000192308354
17,1.52587890625e-05,0.0,4.3510766473184836e-05,6.812786375082376e-10,-827.8594914933419,PASS,no_biactive,none,Solve_Succeeded,1.9284165360004408,0,slow,412,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.091501467378491e-17,18.01153898827162,2.788999990023199e-13,147.03384209171205
18,7.62939453125e-06,0.0,9.784455152680782e-06,8.905451476862e-11,-827.8594914040902,PASS,no_biactive,none,Solve_Succeeded,0.11882798400074535,0,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3948181741241794e-11,18.011550363608855,2.7889993985707263e-13,144.24202875998085
19,3.814697265625e-06,0.0,2.1437055556634253e-05,3.857110186800128e-10,-827.8594840538832,PASS,no_biactive,none,Solve_Succeeded,0.36453444000017043,0,slow,83,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.416591058858417e-14,18.011572304310786,2.788999999195089e-13,78.0001349943636
20,1.9073486328125e-06,0.0,8.663676100107748e-06,8.815850272014814e-10,-827.8594839395463,PASS,no_biactive,none,Solve_Succeeded,0.4499641900001734,0,slow,95,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0709697514504632e-13,18.011613202783522,2.7889999992183775e-13,78.0002373760464
21,9.5367431640625e-07,0.0,1.07229153380755e-06,5.820766091346741e-11,-827.8594839234402,PASS,no_biactive,none,Solve_Succeeded,0.101502513000014,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.78982203746841e-15,18.021265136102517,1.7237148153808437e-11,78.02364303078947
22,4.76837158203125e-07,0.0,7.956951076623277e-07,1.1641532182693481e-10,-827.8594839188754,PASS,no_biactive,none,Solve_Succeeded,0.05637477899927035,0,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.9843510965552345e-15,18.021171392154283,9.954704193818688e-12,78.01966144518073
