iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.06818213899987313,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.840819825200121e-14,5.84031970505475e-14,0.0,0.15722419063698148
2,0.5,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.047002868999697967,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0344203222006247e-13,1.0344037960848756e-13,0.0,0.1572241906380073
3,0.25,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04625419499916461,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.1723913333047906e-14,5.1723053467003787e-14,0.0,0.15722419063852225
4,0.125,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.0447474679995139,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.5864854107169707e-14,2.5864390621588508e-14,0.0,0.1572241906387797
5,0.03125,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.048284686999977566,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.06542608132949e-17,0.0,0.15722419063897317
6,0.015625,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04471360800016555,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.025237766970585e-17,0.0,0.15722419063900503
7,0.0078125,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04691850800008979,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.614425625618284e-17,0.0,0.1572241906390211
8,0.00390625,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.043402546999459446,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.087686039505328e-17,0.0,0.15722419063902912
9,0.0009765625,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04296091000014712,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0023564355912015e-13,0.0,0.1572241906390352
10,0.00048828125,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04297115800000029,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0234928887300719e-17,0.0,0.15722419063903617
11,0.000244140625,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.0447029550005027,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,5.072524213345776e-18,0.0,0.1572241906390367
12,0.0001220703125,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.0493933690004269,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.4913290877087152e-18,0.0,0.15722419063903695
13,3.0517578125e-05,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04657195499930822,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,5.554323622520543e-19,0.0,0.15722419063903711
14,1.52587890625e-05,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04233494799973414,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.328000098874786e-19,0.0,0.15722419063903717
15,7.62939453125e-06,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04311907300052553,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.147031157515989e-20,0.0,0.15722419063903714
16,3.814697265625e-06,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04300778000015271,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.186329321366952e-21,0.0,0.0,0.15722419063903717
17,9.5367431640625e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.042564628000036464,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.67458264501661e-20,0.0,0.0,0.15722419063903717
18,4.76837158203125e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04169046900005924,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.324979045746694e-20,0.0,0.0,0.1572241906390372
19,2.384185791015625e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.07933292100005929,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.154158285996931e-20,0.0,0.0,0.15722419063903717
20,1.1920928955078125e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.0453668509999261,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.573964414913044e-20,0.0,0.0,0.15722419063903717
21,2.9802322387695312e-08,0.0,0.0004261390662547733,1.4551915228366852e-11,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.03505081999992399,0,adaptive_jump,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.563649903285096e-16,0.0018012121438286742,2.7717223552470784e-13,0.158230688871789
22,1.4901161193847656e-08,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.04319986300015444,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.716774439589066e-19,0.0,0.0,0.1572241906392166
23,7.450580596923828e-09,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.04175560800013045,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0668379970667913e-18,0.0,0.15722419063921664
24,3.725290298461914e-09,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.04263424600048893,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.370668948770108e-18,0.0,0.15722419063921664
25,9.313225746154785e-10,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.043053349999354396,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.209425405825212e-17,0.0,0.15722419063921664
26,4.656612873077393e-10,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.04191659400021308,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.2883794644211535e-17,0.0,0.15722419063921664
27,2.3283064365386963e-10,0.0,0.0004261390662547733,9.936815807449796e-09,114.72423775723934,PASS,no_biactive,none,Solve_Succeeded,0.04484502299965243,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.327914727234248e-17,0.0,0.15722419063921664
