iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09312946075437134,0.0,0.09312946790815164,2.2737367544323206e-13,10166.348644929534,PASS,no_biactive,none,Solve_Succeeded,0.09085124800003541,0,initial,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6490944252244785e-09,835.697951175431,5.014544175154938e-12,12.908442078421686
2,0.04656473037718567,0.0,0.0465647303771857,782.641749958782,10166.46074250852,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011566078000043944,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7121623993224,0.0,12.908465836778534
3,0.023282365188592835,0.0,0.023282365188592932,782.6478227084268,10166.51677221956,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011780004999991434,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7192681974573,0.0,12.908477745355324
4,0.011641182594296418,0.0,0.011641182594296385,782.650859102347,10166.544787286859,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011014962999979616,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7228211256802,0.0,12.908483699399248
5,0.005820591297148209,0.0,0.00582059129714817,782.6523773040814,10166.55879487345,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011222529999997732,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7245975970804,0.0,12.908486676360093
6,0.0029102956485741044,0.0,0.0029102956485741864,782.6531364061426,10166.565798679985,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011833652999996502,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7254858346031,0.0,12.908488164825238
7,0.0014551478242870522,0.0,0.0014551478242871019,782.6535159574711,10166.56930058656,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012163749999956508,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7259299538196,0.0,12.908488909053988
8,0.0007275739121435261,0.0,0.0007275739121435004,782.6537057332102,10166.571051540675,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011225326999976915,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7261520135421,0.0,12.908489281167409
9,0.00018189347803588152,0.0,0.00018189347803596073,782.6538480650472,10166.572364756625,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011530992000018614,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7263185583837,0.0,12.908489560252056
10,4.547336950897038e-05,0.0,4.547336950906697e-05,782.6538836480107,10166.572693060662,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011385971999970934,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7263601946006,0.0,12.908489630023162
11,1.1368342377242595e-05,0.0,1.1368342383958247e-05,782.6538925437518,10166.572775136672,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.008412802000009378,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7263706036553,0.0,12.908489647465935
12,2.842085594310649e-06,0.0,2.842085594818515e-06,782.6538947676871,10166.572795655675,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.00844404599996551,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7263732059191,0.0,12.908489651826628
13,7.105213985776622e-07,0.0,7.105213986478375e-07,782.6538953236711,10166.572800785425,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.008348398000009638,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,835.7263738564848,0.0,12.908489652916801
