iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9999999999999979,1.0786022533483286,16.24171376056625,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.009126464000473788,0,initial,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.103588000981786
2,0.5,0.0,0.4999999999999999,1.2039790902550087,16.61998539424335,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.005485939999744005,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.053071707170092366
3,0.25,0.0,0.2500000000000004,1.2681263509273912,16.809762478993612,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.006475180000052205,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.02686865566549905
4,0.125,0.0,0.1250000000000001,1.3005931281937269,16.90482210583686,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.005652405000546423,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.013519283229138684
5,0.0625,0.0,0.06250000000000004,1.3169285102438506,16.952396069717672,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.005600743999821134,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.006781105319204908
6,0.03125,0.0,0.03124999999833963,1.325122173196449,16.976194263933046,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.005002760000024864,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.003395947046178064
7,0.0078125,0.0,0.0078124999994788474,1.3312788954075185,16.994047856176785,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.005056375000094704,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.000850001343016953
8,0.001953125,0.0,0.0019531249999978327,1.332819620605683,16.99851191958861,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.004713054999228916,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.00021256385242249864
9,0.00048828125,0.0,0.00048828124999995506,1.3332048986945821,16.99962797711724,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.004436823000105505,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,5.314493454392844e-05
10,0.0001220703125,0.0,0.0001220703125005283,1.3333012242700324,16.999906994105544,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0045388919998003985,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,1.3286481876451296e-05
11,3.0517578125e-05,0.0,3.0517578124967687e-05,1.3333253060422807,16.99997674851553,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.004403269000249566,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,3.3216359845457706e-06
12,7.62939453125e-06,0.0,7.629394532295039e-06,1.333331326508993,16.999994187128202,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.004414336999616353,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,8.304099659883215e-07
13,1.9073486328125e-06,0.0,1.9073484073360513e-06,1.3333328316272235,16.99999854678218,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.003025883000191243,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,2.0760252753468117e-07
14,4.76837158203125e-07,0.0,4.768371437777787e-07,1.333333207906786,16.999999636695506,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0032310490005329484,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,5.19006402369612e-08
