iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09588310114083952,0.0,13.799999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0039608719998796005,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.04794155057041976,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018685129998630146,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.02397077528520988,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018088510000779934,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.01198538764260494,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018612420003591978,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.002996346910651235,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018447820002620574,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.0014981734553256175,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017695639999146806,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0007490867276628087,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001781482000296819,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.00037454336383140437,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018077790000461391,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,9.363584095785109e-05,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0020865019996563205,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,4.6817920478925546e-05,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018837340003301506,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,2.3408960239462773e-05,0.0,13.799999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018418099998598336,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,1.1704480119731387e-05,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018541949998507334,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,2.9261200299328466e-06,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018257780002386426,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,1.4630600149664233e-06,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017834370000855415,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,7.315300074832117e-07,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0019151359997522377,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,3.6576500374160583e-07,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001768138999977964,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,9.144125093540146e-08,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018485900000086986,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
18,4.572062546770073e-08,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0021771260003333737,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
19,2.2860312733850364e-08,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017835690000538307,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
20,1.1430156366925182e-08,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.00174043500010157,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
21,2.8575390917312956e-09,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0019019749997823965,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
22,1.4287695458656478e-09,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018515829997340916,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
23,7.143847729328239e-10,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017848920001597435,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
24,3.5719238646641194e-10,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017358629997943353,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
25,8.929809661660299e-11,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017867669998850033,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
26,4.464904830830149e-11,0.0,13.799999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017927849999068712,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
27,2.2324524154150747e-11,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017944829996849876,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
28,1.1162262077075373e-11,0.0,13.799999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017783309999686026,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
29,2.7905655192688433e-12,0.0,13.8,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.05269759199973123,0,adaptive_jump,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
30,1.3952827596344217e-12,0.0,13.8,256.4444444443447,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0023496699996030657,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
31,6.976413798172108e-13,0.0,13.8,256.44444444439455,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0023958919996402983,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
32,3.488206899086054e-13,0.0,13.8,256.4444444444195,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001827393999974447,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
33,8.720517247715135e-14,0.0,13.8,256.4444444444382,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001729814999634982,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
34,4.3602586238575677e-14,0.0,13.8,256.4444444444413,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017501030001767504,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
35,2.1801293119287838e-14,0.0,13.8,256.44444444444287,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.002611827000237099,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
36,1.0900646559643919e-14,0.0,13.8,256.44444444444366,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017549690001033014,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
37,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016980300001705473,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
38,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018001499997808423,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
39,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017584490001354425,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
40,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017043130001184181,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
41,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017207669998242636,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
42,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017586760000085633,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
43,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017564959998708218,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
44,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017797790001168323,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
45,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017164000000775559,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
46,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0021860050001123454,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
47,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0026620980002007855,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
48,1e-14,0.0,13.8,256.44444444444326,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018589450000945362,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
