iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9802993334988984,3.2604671899338943e-10,5.869028354814738e-17,PASS,PASS,none,Solve_Succeeded,24.033405915999538,250,initial,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.052996836239263e-11,2.921799039577181e-09,-1.561792275636655e-10,3.3462293813688744e-10
2,0.5,0.0,0.32367732788792547,7.102031900128956e-10,1.0363927872173128e-21,PASS,no_biactive,none,Solve_Succeeded,24.494235969001238,0,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.511235677832393e-11,1.4559127005115552e-09,2.7319941309325587e-13,4.525209844263136e-12
3,0.25,0.0,0.19943450835085566,9.02976582395354e-11,9.628592434697358e-19,PASS,no_biactive,none,Solve_Succeeded,38.785641845999635,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.110898385894367e-10,4.271696801594345e-08,-1.3294502206676596e-12,8.544758451946539e-11
4,0.125,0.0,0.08935647678225256,9.387626371001307e-11,5.97731433901867e-21,PASS,no_biactive,none,Solve_Succeeded,14.770531870000923,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.313451780955126e-11,5.482587306645052e-09,-5.829700139660871e-13,1.6924989162219126e-11
5,0.0625,0.0,0.05878871284835347,9.034334208641157e-10,1.5215961533089852e-20,PASS,no_biactive,none,Solve_Succeeded,14.946086387000832,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.27121785789376e-11,1.0435948251586889e-08,3.0584976477288373e-13,3.4092823220311714e-11
6,0.03125,0.0,0.023621310310306745,2.1842691732347646e-10,3.105575195521365e-20,PASS,PASS,none,Solve_Succeeded,18.863806061001014,7,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.93445151242309e-11,3.9224122707762176e-08,-2.936311881080712e-12,6.805526024860007e-11
7,0.015625,0.0,0.014157804303020329,2.795561141923159e-10,3.043752900416204e-20,PASS,PASS,none,Solve_Succeeded,16.36772644800112,26,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.727155817645605e-11,3.6971866848972334e-08,-8.965020684925358e-12,1.4076739216151652e-10
8,0.0078125,0.0,0.007583040652665527,1.614311220674618e-10,6.144886845656944e-19,PASS,PASS,none,Solve_Succeeded,18.667291736999687,52,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.898856236427577e-11,2.9952289150196155e-07,-1.1150976690226001e-11,3.347291241217585e-10
9,0.00390625,0.0,0.003142554542059992,1.1989884692666096e-10,2.807519938215626e-19,PASS,PASS,none,Solve_Succeeded,39.297955502999685,57,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.236197002299745e-11,1.5408790364395557e-07,-1.0848488536979376e-11,5.470431859647422e-10
10,0.001953125,0.0,0.0018975312619518795,1.5262336049567652e-10,4.240584354300926e-17,PASS,PASS,none,Solve_Succeeded,17.103639426999507,53,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.658484094875729e-11,7.187704282357535e-07,-6.535597244733711e-11,1.0908325090827682e-09
11,0.0009765625,0.0,0.0009765724950132303,9.782323332687246e-10,0.0025849007867078735,PASS,PASS,none,Solve_Succeeded,37.857864588000666,50,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.410843502168732e-11,5.090727078990848,-9.145937652528844e-10,0.005850471596004244
12,0.00048828125,0.0,0.0004882912481760518,3.6126263059602787e-11,0.012373116202260481,PASS,PASS,none,Solve_Succeeded,43.87306870500106,43,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.394361811970099e-11,11.776871864358599,3.4273454701257234e-13,0.013611201296987079
13,0.000244140625,0.0,0.0002441506238168391,3.0508640905634716e-07,0.02195914001575802,PASS,PASS,none,Solve_Succeeded,29.29005394900014,34,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.395724572609162e-11,14.663344851179128,3.430590069762841e-13,0.019221326483989346
14,0.0001220703125,0.0,0.0001220803117463147,8.754557260644779e-09,0.03599669358680764,PASS,PASS,none,Solve_Succeeded,28.1164753310004,28,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.389051707063795e-11,32.01343989790168,3.4304908825068197e-13,0.029100943725888076
15,6.103515625e-05,0.0,6.104515595196247e-05,2.0104856152491197e-09,0.057192976981169985,PASS,PASS,none,Solve_Succeeded,29.325280566999936,21,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.364292209267165e-11,49.92596840040676,3.431919900778661e-13,0.045216013065172325
16,3.0517578125e-05,0.0,3.0527577895833035e-05,2.8988319056172406e-10,0.07322732307302751,PASS,PASS,none,Solve_Succeeded,31.77202524400127,15,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.351852888702679e-11,59.74221651235437,3.4332602617148226e-13,0.05410816010380613
17,1.52587890625e-05,0.0,1.5268788887384847e-05,4.0651970678595717e-10,0.08286575271120987,PASS,PASS,none,Solve_Succeeded,29.487390308000613,11,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.345706558987548e-11,64.9223849252432,3.434583687200929e-13,0.05887485721681192
18,7.62939453125e-06,0.0,7.639394405705672e-06,6.246720918312576e-10,0.08827406613794346,PASS,PASS,none,Solve_Succeeded,29.55728233100126,10,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.342576234666587e-11,67.62237373038892,3.435897683937776e-13,0.06140077774533789
19,3.814697265625e-06,0.0,3.824697163282053e-06,1.8838708371049506e-10,0.09121060949120711,PASS,PASS,none,Solve_Succeeded,30.636296738000965,7,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.340934814412676e-11,68.99969601885353,3.437139282331516e-13,0.06270940534231728
20,1.9073486328125e-06,0.0,1.9173485397092044e-06,4.63742821921187e-10,0.09276525659237969,PASS,PASS,none,Solve_Succeeded,38.90814313300143,6,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.340117060281899e-11,69.7789896972294,3.437910359118524e-13,0.0634523454001916
21,9.5367431640625e-07,0.0,9.636742275768307e-07,3.305806175676884e-10,0.09357386812297326,PASS,PASS,none,Solve_Succeeded,33.14324567600124,4,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.339763591642567e-11,70.31345209152217,3.4382513124266905e-13,0.06395610316726125
