iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.9965250403077986,0.0,0.6136084508462953,5.7922891871786675e-08,-6600.000061599901,PASS,no_biactive,none,Solve_Succeeded,0.02970434100006969,0,initial,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.918517254332961e-13,139.99999956017157,2.5565179629337324e-12,1.1557190160408108e-09
2,0.4982625201538993,0.0,0.49826246351352194,5.975380190648139e-10,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.007542252999883203,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,0.0,0.0
3,0.24913126007694966,0.0,0.24913126593206167,5.855112006347696e-09,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.007218064999960916,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,0.0,3.614475406905578e-15
4,0.12456563003847483,0.0,0.12456563015899814,1.205233135515016e-10,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.009272392999719159,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,0.0,7.422374515323502e-15
5,0.062282815019237416,0.0,0.06228276794628455,2.67115751739766e-09,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.0072162769997703435,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.136368332972238e-14,140.0,-2.6927668983664403e-14,0.0
6,0.031141407509618708,0.0,0.031141407529733055,2.0114347687449907e-11,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.008981812999991234,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,0.0,0.0
7,0.015570703754809354,0.0,0.01557070372901633,4.04156708100345e-11,-6599.999999999999,PASS,no_biactive,none,Solve_Succeeded,0.007129252000140696,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,0.0,0.0
8,0.0038926759387023385,0.0,0.003892675959244441,3.412026217120001e-10,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.007818573999884393,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.254652855464023e-15,140.00000000000003,0.0,5.727581242471524e-17
9,0.0009731689846755846,0.0,0.0009731689846751615,2.842170943040401e-14,-6600.000000000001,PASS,no_biactive,none,Solve_Succeeded,0.008946770999955334,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.00000000000003,-3.60548304029466e-15,1.4464534212996845e-15
10,0.00024329224616889615,0.0,0.00024329224614326727,1.2448708730516955e-11,-6600.000000000001,PASS,no_biactive,none,Solve_Succeeded,0.007681999999931577,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,-7.013179274757087e-18,2.9266296086105754e-15
11,6.082306154222404e-05,0.0,3.0366544915563193e-05,6.882787186406635e-07,-6600.00006159993,PASS,no_biactive,none,Solve_Succeeded,0.020892044999982318,0,superlinear,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.801298682336588e-13,140.00000124135835,1.913110720764744e-12,1.3353382683103455e-05
12,1.520576538555601e-05,0.0,1.5205765385556049e-05,3.552713678800501e-15,-6600.0,PASS,no_biactive,none,Solve_Succeeded,0.009006396000131645,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,140.0,-1.6565169523823255e-15,0.0
13,7.602882692778005e-06,0.0,7.602882929808974e-06,2.3703096912542146e-13,-6600.000000000001,PASS,no_biactive,none,Solve_Succeeded,0.006663728000148694,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.131489785057402e-14,140.0,-3.925282254797989e-15,4.949271042852432e-15
14,3.8014413463890024e-06,0.0,2.071255530808547e-14,5.684341886080802e-14,-6599.999999999999,PASS,no_biactive,none,Solve_Succeeded,0.007004007999967143,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.085032774430282e-14,140.0,-6.427580248810722e-15,8.10433995804454e-15
