iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09588310114083952,0.0,0.09588310114083952,3.552713678800501e-15,-12.841475127949739,PASS,no_biactive,none,Solve_Succeeded,0.019085936999545083,0,initial,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.541037524671692,0.0,0.0
2,0.04794155057041976,0.0,0.04794155057041979,7.944421787087208e-09,-12.762369831744214,PASS,no_biactive,none,Solve_Succeeded,0.08565800299948023,0,slow,47,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.5926436275674345,0.0,0.0
3,0.02397077528520988,0.0,0.02397077528521055,4.33271551969483e-09,-12.721147403269615,PASS,no_biactive,none,Solve_Succeeded,0.0069804980003027595,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.620665145345126,0.0,0.0
4,0.01198538764260494,0.0,0.011985390456610139,2.814005198997771e-09,-12.700086128991718,PASS,no_biactive,none,Solve_Succeeded,0.00543640200066875,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.635302857772839,0.0,0.0
5,0.00599269382130247,0.0,0.005992693821302472,9.416740720524786e-09,-12.689438453180983,PASS,no_biactive,none,Solve_Succeeded,0.09694840600059251,0,slow,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6427888795098278,0.0,0.0
6,0.002996346910651235,0.0,0.0029963469226697128,1.2018477792835602e-11,-12.684084763418626,PASS,no_biactive,none,Solve_Succeeded,0.005688139000085357,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6465750746286156,0.0,0.0
7,0.0014981734553256175,0.0,0.0014981734553256177,8.064722001321911e-09,-12.681400378557822,PASS,no_biactive,none,Solve_Succeeded,0.0412311989994123,0,fast,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6484791581925315,0.0,0.0
8,0.00037454336383140437,0.0,0.00037454336407433526,3.459454944731988e-13,-12.679383773006387,PASS,no_biactive,none,Solve_Succeeded,0.005163537000044016,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.649912061533566,0.0,0.0
9,9.363584095785109e-05,0.0,9.363584095785109e-05,9.198433126300642e-09,-12.67887917612016,PASS,no_biactive,none,Solve_Succeeded,0.0462743739999496,0,superlinear,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.650270944857568,0.0,0.0
10,2.3408960239462773e-05,0.0,2.3411736992780294e-05,2.7767533175205206e-09,-12.678753003308742,PASS,no_biactive,none,Solve_Succeeded,0.0033703980006976053,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6503606991714974,0.0,0.0
11,5.852240059865693e-06,0.0,5.852414174636485e-06,1.741147707918578e-10,-12.678721453265513,PASS,no_biactive,none,Solve_Succeeded,0.00327306100007263,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6503831437450214,0.0,0.0
12,1.4630600149664233e-06,0.0,1.4630709869709408e-06,1.0972004517428779e-11,-12.678713566398297,PASS,no_biactive,none,Solve_Succeeded,0.0032728790001783636,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6503887546989295,0.0,0.0
13,3.6576500374160583e-07,0.0,3.65765712669325e-07,7.089277191624545e-13,-12.678711594721882,PASS,no_biactive,none,Solve_Succeeded,0.003377226000338851,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6503901574255246,0.0,0.0
