iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000004916,30.843341272810868,-37.59476274192602,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.011311674999888055,3,initial,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.710835318202717,0.0,3.4491922200365286
2,0.5,0.0,0.5000000000000002,23.279714387147354,-31.57963024907554,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.011656778000087797,3,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,10.120387617442871,0.0,1.091252982302568
3,0.25,0.0,0.25000000000145034,21.535888284486916,-30.035696665047908,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.00830886699986877,2,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,12.344151613910618,0.0,0.3781716882553807
4,0.125,0.0,0.12500000000000025,17.050746016093612,-29.034846689109877,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.00802958399981435,1,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,16.83064686900352,0.0,1.131526235743925
5,0.0625,0.0,0.06249999113601319,5.684341886080802e-14,-25.904792681792536,PASS,PASS,none,Solve_Succeeded,0.00636615100029303,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999992,0.0,3.239555627065912
6,0.03125,0.0,0.030315325054968114,2.966235035373188e-10,-21.761859078933327,PASS,PASS,none,Solve_Succeeded,0.0035308000001350592,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.999999999526125,0.0,1.3359306175049743
7,0.015625,0.0,0.015610829343067435,3.607614207368215e-12,-20.178136899691395,PASS,PASS,none,Solve_Succeeded,0.0034935379999296856,1,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999438,0.0,0.7039661691743812
8,0.0078125,0.0,0.0077869280088006,6.611017289159804e-12,-19.28010937384139,PASS,PASS,none,Solve_Succeeded,0.0035435089998827607,1,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999998956,0.0,0.3462141360840214
9,0.001953125,0.0,0.001940630838544819,3.091679690037097e-12,-18.617993846804268,PASS,PASS,none,Solve_Succeeded,0.0034567279999464517,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999513,0.0,0.08542274045118042
10,0.00048828125,0.0,0.0004876018306956389,1.655290488011829e-13,-18.454941820955973,PASS,PASS,none,Solve_Succeeded,0.003458223000052385,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999974,0.0,0.021510096456953495
11,0.0001220703125,0.0,0.00012202354277062487,1.4210854715202004e-14,-18.413756637388946,PASS,PASS,none,Solve_Succeeded,0.003542126999946049,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.999999999999986,0.0,0.0053845422352278155
12,3.0517578125e-05,0.0,3.0514604447180137e-05,2.842170943040401e-14,-18.40344069465184,PASS,PASS,none,Solve_Succeeded,0.003496837000056985,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0013466548867286056
13,7.62939453125e-06,0.0,7.6292077517743935e-06,5.684341886080802e-14,-18.400860272019983,PASS,PASS,none,Solve_Succeeded,0.0034411799997542403,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.000336697087167524
14,1.9073486328125e-06,0.0,1.9073369435168002e-06,2.842170943040401e-14,-18.40021507419684,PASS,PASS,none,Solve_Succeeded,0.0036640870002884185,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,8.417637401857402e-05
15,4.76837158203125e-07,0.0,4.7683642741498747e-07,2.842170943040401e-14,-18.400053768936957,PASS,PASS,none,Solve_Succeeded,0.003424436999921454,1,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,2.1044225176824964e-05
