iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.20186513726554892,0.0,0.20140024847443366,1.7763568394002505e-15,28.250000032537876,PASS,no_biactive,none,Solve_Succeeded,0.05346001099997011,0,initial,54,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.000941726650532951,0.000941726650532951,-9.996927547917479e-17,-9.996927547917479e-17
2,0.10093256863277446,0.0,0.10093256863277437,1.7763568394002505e-15,28.25000003469865,PASS,no_biactive,none,Solve_Succeeded,0.003799927999807551,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.05046628431638723,0.0,0.050466284316387305,1.7763568394002505e-15,28.250000035784037,PASS,no_biactive,none,Solve_Succeeded,0.003559921000032773,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.025233142158193615,0.0,0.025233142158193493,1.7763568394002505e-15,28.25000003632673,PASS,no_biactive,none,Solve_Succeeded,0.0040980779999699735,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.012616571079096807,0.0,0.012616571079096925,1.7763568394002505e-15,28.250000036598077,PASS,no_biactive,none,Solve_Succeeded,0.003526979999605828,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.006308285539548404,0.0,0.006308285539548305,1.7763568394002505e-15,28.250000036733752,PASS,no_biactive,none,Solve_Succeeded,0.0038604810001743317,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.001577071384887101,0.0,0.0015770713848871091,1.7763568394002505e-15,28.250000036835505,PASS,no_biactive,none,Solve_Succeeded,0.003540268000051583,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0003942678462217752,0.0,0.00039426784622197835,1.7763568394002505e-15,28.250000036860943,PASS,no_biactive,none,Solve_Succeeded,0.0034445649998815497,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,9.85669615554438e-05,0.0,9.856696155535912e-05,1.7763568394002505e-15,28.250000036867306,PASS,no_biactive,none,Solve_Succeeded,0.0033795959998315084,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,2.464174038886095e-05,0.0,2.4641740388872587e-05,1.7763568394002505e-15,28.25000003686889,PASS,no_biactive,none,Solve_Succeeded,0.0033424879998165125,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,6.160435097215238e-06,0.0,6.160435097183644e-06,1.7763568394002505e-15,28.250000036869288,PASS,no_biactive,none,Solve_Succeeded,0.003505379000216635,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,1.5401087743038095e-06,0.0,1.540108774295062e-06,1.7763568394002505e-15,28.250000036869388,PASS,no_biactive,none,Solve_Succeeded,0.003369971999745758,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,3.8502719357595237e-07,0.0,3.850271935392633e-07,1.7763568394002505e-15,28.250000036869416,PASS,no_biactive,none,Solve_Succeeded,0.003952592999667104,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
