iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.17563177850567474,0.0,0.1756317884990507,7.36596432569701e-11,-4.520493673278779,PASS,no_biactive,none,Solve_Succeeded,0.021266109999999117,0,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7413212410109492e-11,8.013354097689747e-11,-1.0737498475241366e-11,3.013056212177575e-11
2,0.08781588925283737,0.0,0.08781589924777834,6.762725905176196e-11,-4.189759753500977,PASS,no_biactive,none,Solve_Succeeded,0.01233398700003363,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.5795861210185705e-11,1.501485504155231e-10,-7.049917722979341e-12,3.22322869504072e-11
3,0.043907944626418685,0.0,0.043907954622238905,2.1580925312136487e-10,-3.982333015890038,PASS,no_biactive,none,Solve_Succeeded,0.01061718800002609,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.779344689787428e-11,2.902336356456946e-10,-3.548818833886298e-11,3.771827311325357e-11
4,0.021953972313209343,0.0,0.021953982309507295,8.324906616798017e-10,-3.861353201583122,PASS,no_biactive,none,Solve_Succeeded,0.012958228999991661,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.282558842761085e-10,5.692432637115975e-10,-1.8417128755712095e-10,5.704592177161609e-11
5,0.010976986156604671,0.0,0.01097699615315386,1.2918845425849753e-10,-3.794873885000761,PASS,no_biactive,none,Solve_Succeeded,0.016371426000034717,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.623406533272964e-10,1.1203317822745919e-09,-1.7275123625030052e-11,3.6941557095732344e-11
6,0.005488493078302336,0.0,0.0054885030749811,1.7295096171182633e-10,-3.759811423296062,PASS,no_biactive,none,Solve_Succeeded,0.013252598999997645,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.191647522980799e-10,2.2267504482006507e-09,-2.8733847335260146e-11,3.902968157548251e-11
7,0.002744246539151168,0.0,0.0027442565358960294,8.888334377977112e-11,-3.741771620820834,PASS,no_biactive,none,Solve_Succeeded,0.010601348000022881,0,fast,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0327906860451218e-09,4.439127918457387e-09,-1.0764612908772076e-11,3.7320923204110826e-11
8,0.001372123269575584,0.0,0.0013721332663532845,9.63678182363481e-10,-3.732616935655393,PASS,no_biactive,none,Solve_Succeeded,0.01292122099999915,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.059348777001839e-09,8.86393251311639e-09,-1.7843598628273158e-10,6.429719822964273e-11
9,0.000686061634787792,0.0,0.0006860716315819463,2.4449256963605948e-11,-3.728004865691096,PASS,no_biactive,none,Solve_Succeeded,0.016000133999966692,0,fast,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.113086996586376e-09,1.7712761009544458e-08,2.9517307802468794e-12,3.6018352729643224e-11
10,0.000343030817393896,0.0,0.00034304081419645784,4.8456513521764544e-11,-3.7256900147306857,PASS,no_biactive,none,Solve_Succeeded,0.014476204999994025,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.219877669186203e-09,3.5409839823418955e-08,-2.6312066197608926e-12,3.674184554473483e-11
11,0.000171515408696948,0.0,0.00017152540550376778,3.3663057076784285e-11,-3.7245303681486432,PASS,no_biactive,none,Solve_Succeeded,0.014537669999981517,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.643299286187394e-08,7.080054157366138e-08,7.029511962779254e-13,3.636015635275708e-11
12,8.5757704348474e-05,0.0,8.576770115734564e-05,7.261219844865425e-10,-3.723949987421965,PASS,no_biactive,none,Solve_Succeeded,0.012955808000015168,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.285434405925092e-08,1.4154814121541856e-07,-1.6782422381010487e-10,5.263186955008024e-11
13,4.2878852174237e-05,0.0,4.288884897926379e-05,3.578448648511312e-11,-3.723659657428205,PASS,no_biactive,none,Solve_Succeeded,0.012640723999993497,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.556773449442659e-08,2.810407690993251e-07,-2.0018269606479417e-11,2.8348246923686837e-11
14,2.14394260871185e-05,0.0,2.1449422777154872e-05,3.18233883689345e-10,-3.7235144574823154,PASS,no_biactive,none,Solve_Succeeded,0.01224921200002882,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2610983767943006e-07,1.664569660415156e-07,-2.148519785650055e-10,-3.362716444195966e-11
15,1.071971304355925e-05,0.0,1.072970985448744e-05,9.533366996157034e-12,-3.723441848781024,PASS,no_biactive,none,Solve_Succeeded,0.013527046999968206,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.62541174811123e-07,1.1304111567830206e-06,5.917593738783249e-12,3.572301417707944e-11
16,5.359856521779625e-06,0.0,5.369853332580225e-06,6.381311680576238e-12,-3.7234055422411467,PASS,no_biactive,none,Solve_Succeeded,0.01348725299999387,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.244501099939555e-07,2.25616915287744e-06,6.6732553789908015e-12,3.564677330073156e-11
17,2.6799282608898123e-06,0.0,2.6899250718219674e-06,3.861115203207736e-12,-3.7233873884247775,PASS,no_biactive,none,Solve_Succeeded,0.013558993999993163,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0463982041699632e-06,4.493885800814747e-06,7.250576916847143e-12,3.5582389991478287e-11
18,1.3399641304449062e-06,0.0,1.349960941537901e-06,2.1252393515848683e-12,-3.7233783113799808,PASS,no_biactive,none,Solve_Succeeded,0.014878275999990365,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0828782800336484e-06,8.91477176333245e-06,7.685704059340195e-12,3.554270862521649e-11
19,6.699820652224531e-07,0.0,6.79978806315633e-07,7.650080569021611e-11,-3.7233737728134497,PASS,no_biactive,none,Solve_Succeeded,0.013202185000011468,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3386539798824343e-06,4.21339727230378e-06,-3.5570765516491066e-11,2.1461771511748124e-11
