iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09588310114083952,0.0,0.09588310114083985,28.038188591479397,-26.28557946675107,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.020746266000060132,1,initial,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.0190942957397,0.0,0.10610418172066034
2,0.04794155057041976,0.0,0.04794155057095672,28.00870433412934,-26.13497382818589,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.008290926999961812,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00435216706467,0.0,0.04747822867034632
3,0.02397077528520988,0.0,0.023970775285211326,28.002078653582828,-26.065663822316868,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.0073906600000555045,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.001039326791414,0.0,0.022481841795953278
4,0.01198538764260494,0.0,0.011985387642605289,28.000507960355762,-26.03239152327003,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.007824135000191745,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00025398017788,0.0,0.010942305953559495
5,0.00599269382130247,0.0,0.005992693821302558,28.00012555626921,-26.016087528853582,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.007873138999912044,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000062778134605,0.0,0.00539838283763226
6,0.002996346910651235,0.0,0.0029963469106512636,28.000031211634393,-26.008016935639716,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.007172374000219861,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000015605817197,0.0,0.0026812294897310164
7,0.0007490867276628087,0.0,0.000749086727663064,28.00000194245873,-26.00199922839417,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.007248084999901039,1,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000971229365,0.0,0.0006669644529280662
8,0.00018727168191570219,0.0,0.00018727168193592166,28.00000012127488,-26.000499495083346,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.0055868940003165335,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000006063744,0.0,0.00016653301108160147
9,4.6817920478925546e-05,0.0,4.681792047909557e-05,28.000000007577675,-26.000124854282802,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.00616565400014224,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000003788838,0.0,4.162025931546543e-05
10,1.1704480119731387e-05,0.0,1.1704480119831196e-05,28.000000000473577,-26.000031212352905,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.006598472999939986,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000000023679,0.0,1.040425294017206e-05
11,2.9261200299328466e-06,0.0,2.926120030051331e-06,28.000000000029594,-26.000007803012117,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.005755304999638611,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000000014797,0.0,2.601012495283004e-06
12,7.315300074832117e-07,0.0,7.315300074397251e-07,28.000000000001847,-26.000001950748278,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.005998156999794446,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000000000924,0.0,6.502499523979708e-07
