iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.06416098646440588,2.4797941478027496e-12,1.966993112732384e-24,PASS,PASS,none,Solve_Succeeded,0.02538744899993617,1,initial,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.06416098646440588,2.4797941478027496e-12,1.966993112732384e-24,PASS,no_biactive,none,Solve_Succeeded,0.0016563310000492493,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.06416098646440588,2.4797941478027496e-12,1.966993112732384e-24,PASS,no_biactive,none,Solve_Succeeded,0.0014576720004697563,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.06416098646440588,2.4797941478027496e-12,1.966993112732384e-24,PASS,no_biactive,none,Solve_Succeeded,0.0017617330004213727,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.060991141121268785,4.4924064468432334e-12,1.6188998763780173e-23,PASS,no_biactive,none,Solve_Succeeded,0.011621741999988444,0,post_stagnation_fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.015625,0.0,0.011174186520066581,4.970790001834757e-09,6.946217270398222e-18,PASS,no_biactive,none,Solve_Succeeded,0.011740078999537218,0,adaptive_jump,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0078125,0.0,0.007253345850051963,1.533328131131384e-09,5.905322085779971e-19,PASS,no_biactive,none,Solve_Succeeded,0.015317289000449819,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.00390625,0.0,0.0031558239636871772,1.340829669516097e-10,9.098649970207422e-21,PASS,PASS,none,Solve_Succeeded,0.013148219999493449,1,fast,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.001953125,0.0,0.0019531247396558616,1.9076296104270562e-10,9.452908697272394e-21,PASS,PASS,none,Solve_Succeeded,0.012315734999901906,1,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.0009765625,0.0,8.315020615769603e-05,4.778399897986674e-13,6.715572886146473e-26,PASS,PASS,none,Solve_Succeeded,0.014251495000280556,1,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.000244140625,0.0,8.315020615769603e-05,4.778399897986674e-13,6.715572886146473e-26,PASS,PASS,none,Solve_Succeeded,0.0015330140004152781,1,superlinear,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,0.0001220703125,0.0,8.315020615769603e-05,4.778399897986674e-13,6.715572886146473e-26,PASS,PASS,none,Solve_Succeeded,0.0015659700002288446,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,6.103515625e-05,0.0,6.1035156210615136e-05,1.0636467243289381e-10,2.8409586201052638e-21,PASS,PASS,none,Solve_Succeeded,0.012759231999552867,1,post_stagnation_fast,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.1201655122977462e-17,0.0,0.0
14,3.0517578125e-05,0.0,3.0512209513287424e-05,1.5333512237702962e-11,1.2148695860852596e-22,PASS,PASS,none,Solve_Succeeded,0.010157015999538999,1,fast,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,7.62939453125e-06,0.0,7.6293945086088085e-06,1.404032445861958e-11,4.928464987809085e-23,PASS,PASS,none,Solve_Succeeded,0.009173581999675662,1,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,1.9073486328125e-06,0.0,1.9073486311553647e-06,2.0681945045451336e-10,1.3443041329315746e-20,PASS,PASS,none,Solve_Succeeded,0.0085397289994944,1,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,4.76837158203125e-07,0.0,4.768371577870045e-07,1.3116974173498906e-10,7.657735456641033e-21,PASS,PASS,none,Solve_Succeeded,0.011313521999909426,1,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
