iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000002,1.383684278266628e-10,19.752884685230033,PASS,no_biactive,none,Solve_Succeeded,0.01405695299990839,0,initial,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.984708774843481,0.0,0.0
2,0.5,0.0,0.5,2.524354059119105e-10,19.875726748603935,PASS,no_biactive,none,Solve_Succeeded,0.009246335000170802,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9922719353480931,0.0,0.0
3,0.25,0.0,0.24999999999995487,5.39310862635034e-09,19.937682393273874,PASS,no_biactive,none,Solve_Succeeded,0.01136339599997882,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.996114984867382,0.0,0.0
4,0.125,0.0,0.12499999999999999,9.62458912567854e-09,19.968795687151914,PASS,no_biactive,none,Solve_Succeeded,0.020165331999578484,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9980521996005824,0.0,0.0
5,0.0625,0.0,0.06250000000000001,9.952683122094186e-09,19.98438643292791,PASS,no_biactive,none,Solve_Succeeded,0.06270514500010904,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9990247706452672,0.0,0.0
6,0.03125,0.0,0.031249999999999944,9.369922171487133e-09,19.99219035962671,PASS,no_biactive,none,Solve_Succeeded,0.03924056300002121,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.999512052286262,0.0,0.0
7,0.0078125,0.0,0.0078124999999999905,7.269740365245525e-13,19.998047053792106,PASS,no_biactive,none,Solve_Succeeded,0.008660728999984713,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9998779505452154,0.0,0.0
8,0.001953125,0.0,0.0019531249885364336,7.48638262493273e-09,19.99951172992839,PASS,no_biactive,none,Solve_Succeeded,0.006638693999775569,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999694837258615,0.0,0.0
9,0.00048828125,0.0,0.0004882812499999188,3.468780818138839e-12,19.99987793038599,PASS,no_biactive,none,Solve_Succeeded,0.007733691000339604,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999923706869573,0.0,0.0
10,0.0001220703125,0.0,0.00012207031249998717,3.597122599785507e-13,19.999969482465527,PASS,no_biactive,none,Solve_Succeeded,0.005962057000033383,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999980926564602,0.0,0.0
11,3.0517578125e-05,0.0,3.051757812503345e-05,5.5067062021407764e-14,19.999992370608197,PASS,no_biactive,none,Solve_Succeeded,0.005773420999958034,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999995231631601,0.0,0.0
12,7.62939453125e-06,0.0,7.629394531274769e-06,5.773159728050814e-15,19.999998092651538,PASS,no_biactive,none,Solve_Succeeded,0.0057771150000007765,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999998807907303,0.0,0.0
13,1.9073486328125e-06,0.0,1.917308624241987e-06,5.5068226268193765e-14,19.999999510682837,PASS,no_biactive,none,Solve_Succeeded,0.012879732999863336,0,superlinear,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.499899955305742e-12,1.000068060250044,7.141857168873964e-13,2.043143017166902e-05
14,4.76837158203125e-07,0.0,4.7683715747364096e-07,1.3696599410195631e-11,19.999999880790703,PASS,no_biactive,none,Solve_Succeeded,0.004556039999897621,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9999999925494193,0.0,0.0
