iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000098910382,4.252957130355565e-15,-130.15412660691936,PASS,no_biactive,none,Solve_Succeeded,0.03355104100000972,0,initial,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.222719800643022e-14,3.503657501187427e-13,7.734030119549267e-10,7.09793462729715
2,0.5,0.0,0.5000000000000143,4.484783433511552e-09,-130.03301470039673,PASS,no_biactive,none,Solve_Succeeded,0.010849292999864701,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.0965081742294585
3,0.25,0.0,0.2500000000000001,1.5652612539440725e-10,-129.9724665477981,PASS,no_biactive,none,Solve_Succeeded,0.0125453219998235,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095795917064317
4,0.125,0.0,0.12500000000000003,4.735780656517363e-10,-129.9421943911085,PASS,no_biactive,none,Solve_Succeeded,0.012185313999907521,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095440030243407
5,0.0625,0.0,0.06250000000000001,1.1390421938983764e-10,-129.92705879251832,PASS,no_biactive,none,Solve_Succeeded,0.008506757999839465,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095262147343859
6,0.03125,0.0,0.03125000000000002,9.298328773610365e-11,-129.9194911131433,PASS,no_biactive,none,Solve_Succeeded,0.008607703000052425,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095173221073922
7,0.015625,0.0,0.015625000000000003,3.9941494556217094e-11,-129.91570730343375,PASS,no_biactive,none,Solve_Succeeded,0.008651827999983652,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095128761713483
8,0.00390625,0.0,0.003906250000000006,3.650257873744067e-11,-129.91286945926606,PASS,no_biactive,none,Solve_Succeeded,0.008756148999964353,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095095418861655
9,0.0009765625,0.0,0.0009765625000000015,2.4312402091553054e-09,-129.91215999998047,PASS,no_biactive,none,Solve_Succeeded,0.00739312699988659,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095087083513877
10,0.000244140625,0.0,0.0002441406250000004,2.6420199361609775e-11,-129.911982635269,PASS,no_biactive,none,Solve_Succeeded,0.009798897000109719,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095084999509843
11,6.103515625e-05,0.0,6.103515625000003e-05,3.289786221216673e-10,-129.91193829409787,PASS,no_biactive,none,Solve_Succeeded,0.007681402999878628,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095084478524551
12,1.52587890625e-05,0.0,1.5258789062500034e-05,4.494878691474469e-09,-129.9119272088056,PASS,no_biactive,none,Solve_Succeeded,0.007299881999642821,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.095084348575556
13,3.814697265625e-06,0.0,3.8146972656246442e-06,1.8142078950234009e-09,-129.91192443748253,PASS,no_biactive,none,Solve_Succeeded,0.008577306000006502,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.09508431563416
14,9.5367431640625e-07,0.0,9.536743276533155e-07,1.5088350568959186e-09,-129.91192374465174,PASS,no_biactive,none,Solve_Succeeded,0.008336502000020118,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,7.0950843076942
