iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000124,8.183648321502535e-09,-0.18479415787786202,PASS,no_biactive,none,Solve_Succeeded,0.011956750000535976,0,initial,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.5000000000000037,5.1580309468057806e-11,-0.18190817662218883,PASS,no_biactive,none,Solve_Succeeded,0.00965743100096006,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.2500000000000031,6.546000894114279e-11,-0.18047422994760076,PASS,no_biactive,none,Solve_Succeeded,0.009450778999962495,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.1249999999999274,1.1557671382445012e-09,-0.17975951639317955,PASS,no_biactive,none,Solve_Succeeded,0.01041877300121996,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000000233,2.472293203492626e-13,-0.17940272441038374,PASS,no_biactive,none,Solve_Succeeded,0.009073864999663783,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.03125,0.0,0.031249999999999546,8.115938039676696e-09,-0.1792244695989833,PASS,no_biactive,none,Solve_Succeeded,0.00623885999993945,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0078125,0.0,0.007812500000003246,3.962496442078134e-10,-0.1790908402515381,PASS,no_biactive,none,Solve_Succeeded,0.008405907999986084,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.001953125,0.0,0.0019531250000021268,1.2531129606196956e-10,-0.17905744118609945,PASS,no_biactive,none,Solve_Succeeded,0.006283020000410033,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.00048828125,0.0,0.00048828124999978896,6.491661375118696e-12,-0.1790490919366885,PASS,no_biactive,none,Solve_Succeeded,0.006975526001042454,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.0001220703125,0.0,0.00012207031250245743,1.4810375148499588e-12,-0.17904700465664725,PASS,no_biactive,none,Solve_Succeeded,0.006186923999848659,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,3.0517578125e-05,0.0,3.051757812647109e-05,2.2416096756572301e-13,-0.17904648283865576,PASS,no_biactive,none,Solve_Succeeded,0.006770706000679638,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,7.62939453125e-06,0.0,7.62939453133567e-06,5.467759724153698e-09,-0.17904635238428313,PASS,no_biactive,none,Solve_Succeeded,0.004992796999431448,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,1.9073486328125e-06,0.0,1.907347158717037e-06,1.989858361417518e-09,-0.17904631977115493,PASS,no_biactive,none,Solve_Succeeded,0.006479605999629712,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,4.76837158203125e-07,0.0,4.768368889210198e-07,1.410217262409752e-09,-0.17904631161753137,PASS,no_biactive,none,Solve_Succeeded,0.006575591000000713,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
