iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000000000053,1.7561557763556834e-10,-25.229063331962692,PASS,no_biactive,none,Solve_Succeeded,0.03756052199997839,0,initial,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.5000000000000017,2.4912522045283936e-09,-24.801744531567483,PASS,no_biactive,none,Solve_Succeeded,0.011575905999961833,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.250000000003597,5.033462535664057e-10,-24.58520595929496,PASS,no_biactive,none,Solve_Succeeded,0.009352424999974573,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.12500000000000464,1.105208702334437e-10,-24.476238722204034,PASS,no_biactive,none,Solve_Succeeded,0.009243383000011818,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000000419,1.1244727371462204e-11,-24.42158334008816,PASS,no_biactive,none,Solve_Succeeded,0.009664140000040788,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.03125,0.0,0.031250000149933274,1.154148776549846e-09,-24.3942130481847,PASS,no_biactive,none,Solve_Succeeded,0.010271719000002122,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.015625,0.0,0.015625000088749744,3.9102019400161225e-09,-24.380517294469005,PASS,no_biactive,none,Solve_Succeeded,0.00842961699999023,0,fast,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0078125,0.0,0.007812500003648287,9.673328804638004e-11,-24.37366677098707,PASS,no_biactive,none,Solve_Succeeded,0.008343892000027608,0,fast,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.001953125,0.0,0.0019531250001675565,3.436484430352493e-11,-24.36852772171917,PASS,no_biactive,none,Solve_Succeeded,0.009727660000010019,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.00048828125,0.0,0.000488281250035663,9.626518249206129e-09,-24.367242804578797,PASS,no_biactive,none,Solve_Succeeded,0.006609445000037795,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.0001220703125,0.0,0.00012207031250639923,6.589573331439169e-11,-24.36692156561998,PASS,no_biactive,none,Solve_Succeeded,0.00716803099999197,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,3.0517578125e-05,0.0,3.051757812888718e-05,8.031098008842719e-11,-24.366841255275713,PASS,no_biactive,none,Solve_Succeeded,0.00831168100000923,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,7.62939453125e-06,0.0,7.629394536820995e-06,4.263256414560601e-14,-24.366821177651854,PASS,no_biactive,none,Solve_Succeeded,0.006609980999996878,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,1.9073486328125e-06,0.0,1.907350748465382e-06,2.7915713629589334e-09,-24.366816158243374,PASS,no_biactive,none,Solve_Succeeded,0.0075611500000150045,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,4.76837158203125e-07,0.0,4.768395870095216e-07,2.750368821580196e-10,-24.36681490339129,PASS,no_biactive,none,Solve_Succeeded,0.0072334760000103415,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
