iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.000000009996544,2.0304225757092145e-11,8.930666555494497,PASS,PASS,none,Solve_Succeeded,0.024815991000195936,1,initial,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.616993307923893e-12,2.5564000983787993,4.441336011724717e-12,13.054556423069753
2,0.5,0.0,0.5,4.293656514037855,11.914115382170705,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.016328950000115583,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.348625077503347,0.0,17.411659833803636
3,0.25,0.0,0.2500000000001084,3.9376028973907835,13.576671172274098,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011419966999710596,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.7386843143304234,0.0,22.891367775215194
4,0.125,0.0,0.12500000000000003,4.042193748317149,14.52931110036495,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.01192981400026838,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.7583056132954603,0.0,30.909155302275547
5,0.0625,0.0,0.06250000999777122,0.00017824400420165046,15.042281663335219,PASS,no_biactive,none,Solve_Succeeded,0.022483518999706575,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6442364856705726e-12,0.23160050766802198,3.3935838404693546e-12,37.0255634951634
6,0.03125,0.0,0.03125,4.132959042584413,15.30687213185453,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012113125000269065,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.3289546348565455,0.0,18.40121542053707
7,0.0078125,0.0,0.007812509998258882,3.5542879750748304e-10,15.538865669311125,PASS,no_biactive,none,Solve_Succeeded,0.01646271900017382,0,superlinear,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6736159847634436e-10,4.633959524671273,-1.9696431372572082e-11,8.602421182406774
8,0.001953125,0.0,0.0019531349982461047,5.296380083625206e-11,15.598005447443166,PASS,no_biactive,none,Solve_Succeeded,0.01908147599988297,0,superlinear,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.046844727739877e-11,4.6351792146375015,3.3408829349671482e-12,8.750078180878043
9,0.00048828125,0.0,0.00048828125,5.5626530003232455,15.612825733351084,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.015566067000236217,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635462868219791,0.0,8.78748620269005
10,0.0001220703125,0.0,0.00012207031250000415,5.562663336573908,15.616532950378883,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.059603653000067425,0,superlinear,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.90907291189363e-22,4.635532470521984,0.0,8.796869450863712
11,3.0517578125e-05,0.0,3.051757812500007e-05,5.562665839544607,15.617459894898603,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012063615999977628,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635549789716837,0.0,8.79921723134807
12,7.62939453125e-06,0.0,7.629394531353667e-06,5.5626664602236495,15.617691639805967,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011221172999739792,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635554114434522,-8.505930267751699e-32,8.799804299624498
13,1.9073486328125e-06,0.0,1.907348632813775e-06,5.562666615077004,15.61774957658157,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012304766999932326,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.556508983674774e-23,4.635555195296461,-5.555164887470874e-29,8.799951074392812
14,4.76837158203125e-07,0.0,4.768371582033304e-07,5.5626666537705685,15.617764060809773,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.013920929000050819,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.6355554654921045,0.0,8.799987768566123
