iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0010387597972742137,0.0,0.00010387597972742137,2.0333271958522525e-09,0.9820589811707159,PASS,PASS,none,Solve_Succeeded,0.001701223000054597,1,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.559348242614643,1.559348242614643,0.0,0.0
2,0.0005193798986371068,0.0,0.00010387597972742137,1.131898486397831e-09,0.9820589811707159,PASS,PASS,none,Solve_Succeeded,0.0015080309995028074,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5593482449263631,1.5593482449263631,0.0,0.0
3,0.0002596899493185534,0.0,0.00010387597972742137,6.811843537152251e-10,0.9820589811707159,PASS,PASS,none,Solve_Succeeded,0.00135282199971698,1,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.559348246082223,1.559348246082223,0.0,0.0
4,0.0001298449746592767,0.0,0.00010387597972742137,4.5582684328471235e-10,0.9820589811707159,PASS,no_biactive,none,Solve_Succeeded,0.0016540209999220679,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5593482466601534,1.5593482466601534,0.0,0.0
5,3.246124366481918e-05,0.0,3.246124366487237e-05,2.972855295269028e-11,0.4999350817275996,PASS,no_biactive,none,Solve_Succeeded,0.013705782999750227,0,adaptive_jump,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,1.623062183240959e-05,0.0,1.6230621832383242e-05,5.94657101338214e-10,0.4999675398100676,PASS,no_biactive,none,Solve_Succeeded,0.00870035200023267,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,8.115310916204794e-06,0.0,8.125305827211809e-06,3.5504932327512506e-13,0.499983749652428,PASS,no_biactive,none,Solve_Succeeded,0.008397978000175499,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.040582506768478e-07,6.040582506768478e-07,1.9999899591611732e-11,1.9999899591611732e-11
8,4.057655458102397e-06,0.0,4.057655457819743e-06,3.709388352035603e-11,0.4999918847549426,PASS,no_biactive,none,Solve_Succeeded,0.020179944000119576,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,1.0144138645255993e-06,0.0,1.0144138645864027e-06,1.1255418819189345e-10,0.499997971176387,PASS,no_biactive,none,Solve_Succeeded,0.007855565000681963,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,2.536034661313998e-07,0.0,2.536034661263137e-07,2.6010016362931765e-10,0.499999492793325,PASS,no_biactive,none,Solve_Succeeded,0.008235009000600257,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
