iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9999999997762085,2.2206767316280185e-10,2.529501351958477e-20,PASS,no_biactive,none,Solve_Succeeded,0.01699699100026919,0,initial,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.5000000098323759,9.736217387867896e-11,0.10721243145326095,PASS,no_biactive,none,Solve_Succeeded,0.008331553000061831,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0328169974720348e-11,1.0328169974720348e-11,-1.3673437936303936e-11,-1.3673437936303936e-11
3,0.25,0.0,0.25000000998766053,1.1102230246251565e-16,0.27063795155000836,PASS,no_biactive,none,Solve_Succeeded,0.008101783000256546,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1291489090485747e-11,1.1291489090485747e-11,3.542449393053522e-11,3.542449393053522e-11
4,0.125,0.0,0.12500000000000153,9.807275852535824e-09,0.3794609434892761,PASS,no_biactive,none,Solve_Succeeded,0.030176863999713532,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000000001,9.786520219212669e-09,0.43854158833238943,PASS,no_biactive,none,Solve_Succeeded,0.022101930000189896,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.03125,0.0,0.03125,8.644997238904661e-09,0.4690020139977401,PASS,no_biactive,none,Solve_Succeeded,0.015638497000054485,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0078125,0.0,0.00781249999999828,7.314930063583025e-09,0.492202878935129,PASS,no_biactive,none,Solve_Succeeded,0.012175046000265866,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.001953125,0.0,0.0019531250000000004,2.0874464917025604e-11,0.4980478305406049,PASS,no_biactive,none,Solve_Succeeded,0.013035355000283744,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.00048828125,0.0,0.0004882812500000002,1.762143637387345e-11,0.4995117783837628,PASS,no_biactive,none,Solve_Succeeded,0.009945523999704164,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.0001220703125,0.0,0.00012207031249999989,8.757091392633774e-12,0.49987793341324505,PASS,no_biactive,none,Solve_Succeeded,0.009676044999650912,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,3.0517578125e-05,0.0,3.0517578048566305e-05,3.4689648843580013e-09,0.49996948265478913,PASS,no_biactive,none,Solve_Succeeded,0.008031777999804035,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,7.62939453125e-06,0.0,7.629394531249993e-06,8.62894543463344e-09,0.49999237062002083,PASS,no_biactive,none,Solve_Succeeded,0.012015626999982487,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,1.9073486328125e-06,0.0,-0.0,2.2672335120432763e-09,0.5,PASS,no_biactive,none,Solve_Succeeded,0.007740323000234639,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0004718443718395027,0.0004718443718395027
