iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.3441451439952492,0.0,1.2561593591679757e-06,2.6819102494357594e-12,0.016984306802790602,PASS,PASS,none,Solve_Succeeded,1.6124911750002866,4,initial,97,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012657069395,9.094581229272185,7.94945273707872e-14,1.0905722790659867e-10
2,0.1720725719976246,0.0,1.256221359691355e-06,1.6928680679484387e-11,0.01698430599857975,PASS,PASS,none,Solve_Succeeded,0.3204891850000422,3,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012215598352,9.094574449322984,7.965217174176628e-14,1.0933752613400506e-10
3,0.0860362859988123,0.0,1.256170160193957e-06,2.1096191460401315e-10,0.016984307427028653,PASS,PASS,none,Solve_Succeeded,0.32158024299997123,3,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012997861062,9.094584727491732,8.039461278586286e-14,1.1061921478698289e-10
4,0.04301814299940615,0.0,1.2562164991544719e-06,1.0801670669025043e-10,0.01698430610188824,PASS,PASS,none,Solve_Succeeded,0.34222193799996603,1,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012273660804,9.094575192082754,7.973928296742326e-14,1.0949745680791988e-10
5,0.021509071499703075,0.0,1.2562209667811496e-06,1.3728040926253016e-10,0.016984305998622613,PASS,PASS,none,Solve_Succeeded,0.33473549999962415,1,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901221931467,9.09457449029448,7.96606586177462e-14,1.0935633939533093e-10
6,0.005377267874925769,0.0,1.2562294024635012e-06,3.4861002973229915e-14,0.01698430582773028,PASS,no_biactive,none,Solve_Succeeded,0.3333010189999186,0,adaptive_jump,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012138707386,9.094573456596182,7.949442881167011e-14,1.0905701685236307e-10
7,0.0026886339374628844,0.0,1.2562294130443545e-06,2.7533531010703882e-14,0.016984305827691476,PASS,no_biactive,none,Solve_Succeeded,0.31824934099995517,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012155732132,9.094573685236288,7.949442830328418e-14,1.0905701590547791e-10
8,0.0013443169687314422,0.0,1.2562294130457095e-06,2.6423307986078726e-14,0.016984305827691143,PASS,no_biactive,none,Solve_Succeeded,0.3211209549999694,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012189823783,9.094574142795823,7.949442830391594e-14,1.0905701590669447e-10
9,0.0006721584843657211,0.0,1.2562294131003823e-06,2.8144153674247718e-14,0.016984305827693322,PASS,no_biactive,none,Solve_Succeeded,0.318002326000169,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012258007859,9.094575056662634,7.949442831409972e-14,1.090570159231948e-10
10,0.00016803962109143027,0.0,1.2562293282259859e-06,1.0231815394945443e-10,0.01698430582930674,PASS,no_biactive,none,Solve_Succeeded,0.3209912920001443,0,adaptive_jump,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901266795116,9.09458051534512,7.949546723252608e-14,1.0905876686200053e-10
