iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.5010829807000728,7.674849602154444e-10,-37.53003726196833,PASS,no_biactive,none,Solve_Succeeded,0.25298134199965716,0,initial,45,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7172744848351272e-14,44.975329877106674,6.309434177388493e-13,149.98311893083644
2,0.5,0.0,0.5,299.94905121379196,-37.530024019216455,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.41455706899978395,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-1.3242917180772286e-15,69.90644062682786
3,0.25,0.0,0.24999999999999317,299.9490512137921,-37.5300240192164,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.4301696830007131,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-1.76844507907186e-27,69.90644062682786
4,0.125,0.0,0.06251652196276822,4.0054991686754016e-10,-37.530037691166655,PASS,no_biactive,none,Solve_Succeeded,0.13373197199962306,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.8776869201217653e-14,44.975330025192044,9.22496724636136e-12,150.24167387876165
5,0.0625,0.0,0.0625,299.9490512137921,-37.530024019216455,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.4326983260007182,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-8.830857117349898e-14,69.90644062682784
6,0.03125,0.0,0.03124999999996362,299.94905121379196,-37.53002401921583,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.41972955700020975,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-7.105427357601018e-15,69.90644062682786
7,0.015625,0.0,0.00781423284598691,5.820766091346741e-11,-37.530037254545896,PASS,no_biactive,none,Solve_Succeeded,0.14411554599973897,0,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6499992906499644e-15,44.97532990462988,2.2235581357108952e-13,149.97548349007153
8,0.00390625,0.0,0.0029077906036599644,3.637978807091713e-11,-37.53003726751329,PASS,no_biactive,none,Solve_Succeeded,0.12459907799984649,0,superlinear,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.45245879388463e-16,44.97533017863441,5.845464174129224e-13,149.9792777488251
9,0.0009765625,0.0,0.001132076845378595,3.3303854292399127e-10,-37.530037254546414,PASS,no_biactive,none,Solve_Succeeded,0.8833377880000626,0,superlinear,137,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.2142032056422258e-14,44.97533033617784,2.2224411768166786e-13,149.7928330112498
10,0.000244140625,0.0,0.00024414062501916056,299.94905121379196,-37.53002401921549,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.34592253700066067,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-9.574413077380973e-23,69.90644062682786
11,6.103515625e-05,0.0,6.103515625001751e-05,299.949051213792,-37.530024019216285,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.3492111499999737,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595418,-2.537666364306742e-22,69.90644062682787
12,1.52587890625e-05,0.0,1.5258789125919586e-05,299.94905121379196,-37.53002401921549,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.31387996600005863,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.975329955954166,0.0,69.90644062682789
13,3.814697265625e-06,0.0,1.041954941610478e-05,6.010036912584837e-11,-37.530029510115455,PASS,no_biactive,none,Solve_Succeeded,0.18099913399964862,0,superlinear,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.8307532678666253e-14,44.979178158113115,8.127410104449128e-12,69.91209234014121
14,1.9073486328125e-06,0.0,1.9073486496288687e-06,299.94905121379196,-37.530024019216,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.3691865370001324,0,fast,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,44.97532995595419,-4.304542350953456e-15,69.90644062682784
15,4.76837158203125e-07,0.0,6.983563589635993e-07,8.731149137020111e-11,-37.5300294763019,PASS,no_biactive,none,Solve_Succeeded,0.14023885299957328,0,superlinear,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.648170941604028e-15,45.00937336026648,1.5744527820338286e-11,69.9482240072076
