iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.5537029994007631,1.3611700485723425e-10,-827.859491492626,PASS,no_biactive,none,Solve_Succeeded,0.32465030000003026,0,initial,57,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.668055937422711e-15,18.011527330147974,1.0179413517430032e-12,147.04178317521146
2,0.5,0.0,0.2769459518840229,3.2171842967443354e-10,-827.8594914745926,PASS,no_biactive,none,Solve_Succeeded,0.13790465999954904,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.959065347643514e-15,18.011527354504633,1.9370693211661847e-11,147.10652476255834
3,0.25,0.0,0.13848963482668217,1.1641532182693481e-10,-827.8594914933426,PASS,no_biactive,none,Solve_Succeeded,0.16883890999997675,0,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.570382421770886e-17,18.01152733021124,2.788999990023185e-13,147.03916403826665
4,0.125,0.0,0.06922642129254178,5.820766091346741e-11,-827.8594914933424,PASS,no_biactive,none,Solve_Succeeded,0.16020255600051314,0,slow,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0912934245218947e-14,18.011527330931717,2.7889994879516355e-13,147.0391639798461
5,0.0625,0.0,0.034626387177307025,1.1641532182693481e-10,-827.8594914933227,PASS,no_biactive,none,Solve_Succeeded,0.12121696699978202,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.344332315485031e-17,18.01152733263297,3.040958614674396e-13,147.03925221658875
6,0.03125,0.0,0.01731354593617513,1.1641532182693481e-10,-827.8594914927634,PASS,no_biactive,none,Solve_Succeeded,0.2712257379998846,0,slow,47,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.743533604946622e-12,18.011527451915182,5.9241119170000804e-12,146.9811184133662
7,0.015625,0.0,0.008656836236115097,2.9103830456733704e-11,-827.8594914933421,PASS,no_biactive,none,Solve_Succeeded,0.19032742800027336,0,fast,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.561105739640026e-17,18.01152734101801,2.788999990023184e-13,147.03914237175172
8,0.0078125,0.0,0.004326069007293196,4.266033332442188e-11,-827.8594914761716,PASS,no_biactive,none,Solve_Succeeded,0.14523782399919583,0,fast,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3487856351977611e-11,18.011528752782464,1.7211733946459672e-11,147.09115714542665
9,0.001953125,0.0,0.0019499663282785062,1.1641532182693481e-10,-827.8594914163596,PASS,no_biactive,none,Solve_Succeeded,0.12132081799973093,0,superlinear,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.968382541988853e-14,18.01152848655335,3.4996723634692678e-12,144.25358997240738
10,0.00048828125,0.0,0.00165804529886234,1.921982573094283e-10,-827.8594908497957,PASS,no_biactive,none,Solve_Succeeded,0.7661200350003128,0,superlinear,118,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0193243800830353e-13,18.011527698223336,2.7889999973186474e-13,78.00000122550598
11,0.000244140625,0.0,0.0005502262712830336,1.6337896815455824e-10,-827.8594896948335,PASS,no_biactive,none,Solve_Succeeded,0.15883062500051892,0,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.6096979432046426e-10,18.011528066674714,2.7889999854767885e-13,78.00000244853636
