iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.4657438520248815,9.9333874459262e-12,6.115939241147492e-23,PASS,PASS,none,Solve_Succeeded,0.020831572999668424,2,initial,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.4657438520248815,9.9333874459262e-12,6.115939241147492e-23,PASS,PASS,none,Solve_Succeeded,0.0016486240001540864,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.1584227208860041,3.5150549138052156e-11,6.306270926358354e-22,PASS,PASS,none,Solve_Succeeded,0.015297296000426286,1,post_stagnation_fast,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.0002633022019417121,9.546991641684599e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.016817100999105605,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.0002633022019417121,2.7128321520648218e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.0014328650013339939,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.90279354200861e-09,0.0,0.0
6,0.03125,0.0,0.0002633022019417121,1.8536273747324513e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.0015102529996511294,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.630114577447141e-09,0.0,0.0
7,0.015625,0.0,0.0002633022019417121,1.7663572371439807e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.0014279879997047829,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.493775095166407e-09,0.0,0.0
8,0.0078125,0.0,0.0002633022019417121,1.812823514012892e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.0013696539990633028,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.425605354026038e-09,0.0,0.0
9,0.001953125,0.0,0.0002633022019417121,1.8476732216645752e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.001557924000735511,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.3744780481707637e-09,0.0,0.0
10,0.0009765625,0.0,0.0002633022019417121,1.853481506273189e-09,4.8480243035085443e-17,PASS,no_biactive,none,Solve_Succeeded,0.0014963310004532104,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.365956830528216e-09,0.0,0.0
