iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.6880478386372562,0.0,0.3157594141583588,5.194806362851523e-09,1.492756062009957e-17,PASS,PASS,none,Solve_Succeeded,0.023354863000349724,1,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.3440239193186281,0.0,0.3157594141583588,3.5793242192404834e-09,1.492756062009957e-17,PASS,PASS,none,Solve_Succeeded,0.0014679180003440706,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.6154821436110395e-09,0.0,0.0
3,0.17201195965931404,0.0,0.14735124751471274,9.379830245848098e-09,4.4349761310021926e-17,PASS,PASS,none,Solve_Succeeded,0.021408780001365812,1,post_stagnation_fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.08600597982965702,0.0,0.0021435979333746516,2.3169173246628816e-09,2.950438803959958e-18,PASS,PASS,none,Solve_Succeeded,0.019639842999822577,1,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.04300298991482851,0.0,0.0021435979333746516,7.829430924809353e-10,2.950438803959958e-18,PASS,PASS,none,Solve_Succeeded,0.0014682269993500086,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.136696139831577e-10,1.8588869869297277e-09,0.0,0.0
6,0.021501494957414255,0.0,0.0021435979333746516,7.829430924809356e-10,2.950438803959958e-18,PASS,PASS,none,Solve_Succeeded,0.0015597490000800462,1,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.136696139831599e-10,1.858886986929728e-09,0.0,0.0
7,0.010750747478707127,0.0,0.0021435979333746516,7.829430924809354e-10,2.950438803959958e-18,PASS,no_biactive,none,Solve_Succeeded,0.0014517409999825759,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.136696139831582e-10,1.8588869869297279e-09,0.0,0.0
8,0.005375373739353564,0.0,0.0021435979333746516,7.829430924809356e-10,2.950438803959958e-18,PASS,no_biactive,none,Solve_Succeeded,0.0014441049988818122,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.136696139831602e-10,1.8588869869297285e-09,0.0,0.0
9,0.001343843434838391,0.0,0.001314232076495998,9.97430106173744e-10,3.366312448991493e-07,PASS,no_biactive,none,Solve_Succeeded,0.004138903001148719,0,adaptive_jump,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.000580199502665949,0.0,0.0
10,0.0006719217174191955,0.0,0.00023115648679518063,7.753297082178038e-09,5.047661701263444e-17,PASS,no_biactive,none,Solve_Succeeded,0.015090502000020933,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.00016798042935479887,0.0,0.00015666987466104123,9.815634570493024e-09,9.339083034768411e-17,PASS,no_biactive,none,Solve_Succeeded,0.02402896500097995,0,superlinear,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,8.399021467739943e-05,0.0,8.366355252380418e-05,7.454694598164197e-11,2.01482707081231e-08,PASS,no_biactive,none,Solve_Succeeded,0.005417921000116621,0,fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0001419446062824683,0.0,0.0
13,4.199510733869972e-05,0.0,2.6793826138956926e-05,4.500367379333802e-09,1.4064164222288574e-17,PASS,no_biactive,none,Solve_Succeeded,0.02003822900041996,0,fast,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,1.049877683467493e-05,0.0,6.060533864402362e-06,6.787042927669518e-09,4.2391893835720524e-17,PASS,no_biactive,none,Solve_Succeeded,0.007656249999854481,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,2.6246942086687323e-06,0.0,2.6248386295070277e-06,1.4442083829537165e-10,1.0084559818369236e-12,PASS,no_biactive,none,Solve_Succeeded,0.006908433000717196,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.004219363885103e-06,0.0,0.0
16,6.561735521671831e-07,0.0,7.541959018834875e-10,7.503330401448238e-09,3.9375821571773626e-17,PASS,no_biactive,none,Solve_Succeeded,0.011742533999495208,0,superlinear,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.057636587530231e-17,0.0,0.0
