iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.34404235897345875,0.0,0.33108618333512563,1.4908963522727275e-11,1.1116383526709106e-22,PASS,PASS,none,Solve_Succeeded,0.02339309399985723,1,initial,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.17202117948672938,0.0,0.002904701238668671,4.1174175180458406e-11,9.374356516583115e-22,PASS,no_biactive,none,Solve_Succeeded,0.01640832099974432,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.08601058974336469,0.0,0.002904701238668671,2.3608166457799864e-11,9.374356516583115e-22,PASS,no_biactive,none,Solve_Succeeded,0.0017059779997907754,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.245496131653088e-11,0.0,0.0
4,0.043005294871682344,0.0,0.002904701238668671,2.3608166457801247e-11,9.374356516583115e-22,PASS,no_biactive,none,Solve_Succeeded,0.0016207260000555834,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.2454961316527684e-11,0.0,0.0
5,0.021502647435841172,0.0,0.002904701238668671,2.360816645780057e-11,9.374356516583115e-22,PASS,no_biactive,none,Solve_Succeeded,0.0016771840000728844,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.2454961316529245e-11,0.0,0.0
6,0.010751323717920586,0.0,0.002904701238668671,2.3608166457800894e-11,9.374356516583115e-22,PASS,no_biactive,none,Solve_Succeeded,0.001572071000282449,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.24549613165285e-11,0.0,0.0
7,0.0026878309294801465,0.0,0.0026843027165832055,8.124365512104458e-10,5.498405607653325e-19,PASS,no_biactive,none,Solve_Succeeded,0.016886410999632062,0,adaptive_jump,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0013439154647400732,0.0,0.0012158736472787201,3.168756812499396e-09,9.193365460186193e-18,PASS,no_biactive,none,Solve_Succeeded,0.014803887000198301,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.0006719577323700366,0.0,0.000671957732267023,8.667644380011552e-10,4.2570187696266015e-19,PASS,no_biactive,none,Solve_Succeeded,0.011320689000058337,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.0003359788661850183,0.0,8.000330274118047e-06,6.597415946885121e-10,3.9226744271408307e-19,PASS,no_biactive,none,Solve_Succeeded,0.013508011999874725,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,8.399471654625458e-05,0.0,8.000330274118047e-06,3.247618447834823e-10,3.9226744271408307e-19,PASS,no_biactive,none,Solve_Succeeded,0.0016360920003535284,0,superlinear,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,4.199735827312729e-05,0.0,8.000330274118047e-06,3.251171309922271e-10,3.9226744271408307e-19,PASS,no_biactive,none,Solve_Succeeded,0.0016925770000852935,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,2.0998679136563644e-05,0.0,8.000330274118047e-06,3.2529477409671856e-10,3.9226744271408307e-19,PASS,no_biactive,none,Solve_Succeeded,0.0016684000001987442,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,1.0499339568281822e-05,0.0,8.000330274118047e-06,3.2538359564890396e-10,3.9226744271408307e-19,PASS,no_biactive,none,Solve_Succeeded,0.0016400600002270949,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,2.6248348920704556e-06,0.0,2.625670181876757e-06,8.760648467134649e-10,1.0103002814000501e-11,PASS,no_biactive,none,Solve_Succeeded,0.00545818299997336,0,adaptive_jump,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.1785167452458913e-06,0.0,0.0
16,1.3124174460352278e-06,0.0,1.3126077181143725e-06,1.14883083095131e-09,2.0078946840278987e-13,PASS,no_biactive,none,Solve_Succeeded,0.005799579999802518,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.480717088751141e-07,0.0,0.0
17,3.2810436150880694e-07,0.0,3.28194712425987e-07,9.035091718008191e-11,1.578496212248393e-13,PASS,no_biactive,none,Solve_Succeeded,0.007267004000368615,0,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,3.973022846205652e-07,0.0,0.0
