iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.16028586471502687,2.629834128242692e-09,5.420610031329498e-18,PASS,PASS,none,Solve_Succeeded,0.021665891999873566,2,initial,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.16028586471502687,2.629834128242692e-09,5.420610031329498e-18,PASS,no_biactive,none,Solve_Succeeded,0.0015382909996333183,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.16028586471502687,2.629834128242692e-09,5.420610031329498e-18,PASS,no_biactive,none,Solve_Succeeded,0.0015369909997389186,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.12465747328989447,5.106322178265206e-11,1.4125430790452954e-21,PASS,no_biactive,none,Solve_Succeeded,0.015905885999927705,0,post_stagnation_fast,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.03856179573917117,2.6110752950049913e-11,4.9260293008781247e-23,PASS,no_biactive,none,Solve_Succeeded,0.009791301999939606,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.897628153183342e-12,1.0780618321592747e-11,3.087058724934291e-10,3.095831352130905e-10
6,0.03125,0.0,0.0312438314247533,2.0368773334666912e-10,2.0764714192744343e-20,PASS,no_biactive,none,Solve_Succeeded,0.009374692999699619,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.015625,0.0,0.014542755835827714,3.905701854026525e-09,7.791565387754509e-18,PASS,no_biactive,none,Solve_Succeeded,0.013073451000309433,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0078125,0.0,0.004498796431697984,7.443611060864441e-09,4.2739850593378025e-17,PASS,no_biactive,none,Solve_Succeeded,0.016414170000643935,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.001953125,0.0,0.0008281490135063443,8.884713703523684e-10,5.48497511433211e-19,PASS,no_biactive,none,Solve_Succeeded,0.0145963210006812,0,superlinear,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.00048828125,0.0,0.00048813441382806035,9.729279604187013e-09,6.675099747475839e-17,PASS,no_biactive,none,Solve_Succeeded,0.027349757999218127,0,superlinear,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.000244140625,0.0,0.00023654878915948084,3.8204137811101925e-09,7.705815878324679e-18,PASS,no_biactive,none,Solve_Succeeded,0.011910073000763077,0,fast,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,6.103515625e-05,0.0,6.103512502363853e-05,4.416043530852676e-09,1.0095696105859426e-17,PASS,no_biactive,none,Solve_Succeeded,0.011242282000239356,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,2.2715434040987478e-17
13,1.52587890625e-05,0.0,1.5258788932318715e-05,1.3192309467058178e-09,9.240251749426145e-19,PASS,no_biactive,none,Solve_Succeeded,0.011213382999812893,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,3.814697265625e-06,0.0,3.814697262618117e-06,2.0265567002295673e-11,2.0534705892391307e-22,PASS,no_biactive,none,Solve_Succeeded,0.013133364000168513,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,4.1363488287198094e-19
15,9.5367431640625e-07,0.0,9.536743163471679e-07,1.37667655275204e-13,1.1194330675538768e-26,PASS,no_biactive,none,Solve_Succeeded,0.011988472000666661,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
