iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.2833152617265442,8.393249650850976e-09,3.522824852063209e-17,PASS,PASS,none,Solve_Succeeded,0.018416946999877837,2,initial,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.5,0.0,0.2833152617265442,7.895617662332386e-09,3.522824852063209e-17,PASS,PASS,none,Solve_Succeeded,0.0016376629996557313,2,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.976319885185898e-10,0.0,0.0
3,0.25,0.0,0.06358285241283226,4.472731518490036e-09,1.0828651217559936e-17,PASS,no_biactive,none,Solve_Succeeded,0.01961851399983061,0,post_stagnation_fast,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.06358285241283226,4.472731518490036e-09,1.0828651217559936e-17,PASS,no_biactive,none,Solve_Succeeded,0.001554657000269799,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,2.121947758099844e-09
5,0.0625,0.0,0.04327162725183261,5.739764219470089e-11,1.6625536544695805e-21,PASS,no_biactive,none,Solve_Succeeded,0.017159531000288553,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.03125,0.0,0.031249384018931965,1.8401280499347195e-11,2.4599470070369294e-22,PASS,no_biactive,none,Solve_Succeeded,0.01375280299998849,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.015625,0.0,0.015375904742206816,6.741280566083858e-12,2.2732612988793402e-23,PASS,no_biactive,none,Solve_Succeeded,0.01235983100013982,0,fast,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.00390625,0.0,0.003803847432600454,1.843503468537158e-11,1.8455386520377096e-22,PASS,no_biactive,none,Solve_Succeeded,0.012357206999695336,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.0009765625,0.0,0.0006372982440903151,7.521968581773824e-09,3.4015694565593325e-17,PASS,no_biactive,none,Solve_Succeeded,0.01377704900005483,0,superlinear,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.000244140625,0.0,0.00024404706202865828,3.874411902415886e-11,1.0689989337409086e-21,PASS,no_biactive,none,Solve_Succeeded,0.015179190999788261,0,superlinear,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,6.103515625e-05,0.0,6.094766733584966e-05,3.6793681880622854e-11,7.764403869037679e-22,PASS,no_biactive,none,Solve_Succeeded,0.011231651000343845,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,-7.206992929964418e-19,0.0
12,1.52587890625e-05,0.0,1.5258788580509676e-05,9.598317491241482e-09,8.277632821384734e-17,PASS,no_biactive,none,Solve_Succeeded,0.00916126499987513,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,3.814697265625e-06,0.0,3.7899624002819007e-06,5.5816685258291056e-11,1.6766478788534788e-21,PASS,no_biactive,none,Solve_Succeeded,0.010745291999683104,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,9.5367431640625e-07,0.0,9.53674316464374e-07,3.865352482534945e-12,7.96524846687415e-24,PASS,no_biactive,none,Solve_Succeeded,0.010107878999860986,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,-9.845175869875375e-20,0.0
