iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9999999999999999,9.998813332856571e-09,3.96617055130151,PASS,PASS,none,Solve_Succeeded,0.07176404199890385,2,initial,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.879717699075124,0.0,1.0544336780754842
2,0.5,0.0,0.5000000000000003,6.3758229806865074e-09,4.267264557610213,PASS,PASS,none,Solve_Succeeded,0.06442377700113866,2,slow,47,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9515286390812829,0.0,1.124290306253104
3,0.25,0.0,0.24999999999999956,8.498599157746867e-09,4.430885910754486,PASS,PASS,none,Solve_Succeeded,0.07845687400003953,2,slow,61,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.9920552831983291,0.0,1.1639850673433554
4,0.125,0.0,0.12500000000000006,9.841294890122754e-09,4.516299941943733,PASS,no_biactive,none,Solve_Succeeded,0.13157035400035966,0,slow,93,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.013655537202956,0.0,1.1852201303357954
5,0.0625,0.0,0.06250000000000053,9.336248218971832e-09,4.559952729445411,PASS,no_biactive,none,Solve_Succeeded,0.11687899699973059,0,slow,78,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0248119422791506,0.0,1.1962081871526402
6,0.03125,0.0,0.03124999999999989,6.056304346913066e-09,4.582021337934904,PASS,no_biactive,none,Solve_Succeeded,0.11079737299951375,0,slow,87,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0304818458277025,0.0,1.201797649601662
7,0.015625,0.0,0.015625000000000125,7.262785928219273e-09,4.593116925372399,PASS,no_biactive,none,Solve_Succeeded,0.026778094999826862,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0333400419039007,0.0,1.2046165780346931
8,0.0078125,0.0,0.007812509981279425,1.1591616555506334e-11,4.598680097551962,PASS,no_biactive,none,Solve_Succeeded,0.010358876999816857,0,fast,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.084634413431386e-11,1.0347749869170855,3.585768318686295e-12,1.2060321297780223
9,0.00390625,0.0,0.0039062500000001865,8.737730539110089e-09,4.601465599181279,PASS,no_biactive,none,Solve_Succeeded,0.09095513600004779,0,fast,73,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0354939325265482,0.0,1.2067414392332527
10,0.0009765625,0.0,0.000976572485989792,6.661338147750939e-15,4.6035563593499,PASS,no_biactive,none,Solve_Succeeded,0.00938067200149817,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.074031375075992e-11,1.0360338047769988,3.58507363529971e-12,1.2072740876657426
11,0.000244140625,0.0,0.0002441406250000945,9.703067238575613e-09,4.604079318914011,PASS,no_biactive,none,Solve_Succeeded,0.0542238299985911,0,superlinear,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0361688286035122,0.0,1.2074073379617072
12,6.103515625e-05,0.0,6.104463351978128e-05,2.5758062349723332e-11,4.604210032006973,PASS,no_biactive,none,Solve_Succeeded,0.009072931001355755,0,superlinear,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.756714781517969e-10,1.0362163761904908,1.340850886722665e-10,1.2074435163639337
13,1.52587890625e-05,0.0,1.5258789062853314e-05,9.048973570457974e-09,4.6042427517722375,PASS,no_biactive,none,Solve_Succeeded,0.05740296000112721,0,superlinear,45,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0362110383765861,0.0,1.2074489865877078
14,3.814697265625e-06,0.0,3.814697265537412e-06,9.969368441886672e-09,4.604250923648021,PASS,no_biactive,none,Solve_Succeeded,0.11313492200133624,0,superlinear,81,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0362131488782704,0.0,1.2074510690319087
15,9.5367431640625e-07,0.0,9.536743160783925e-07,3.966657224907522e-09,4.604252966620433,PASS,no_biactive,none,Solve_Succeeded,0.0783734540000296,0,superlinear,63,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.0362136776258741,0.0,1.2074515908213257
