iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.7423238055627646,0.0,0.0003545354333391923,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1659236659997987,49,initial,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.977866138920896e-23,0.0,4.7050033242016214e-21
2,0.3711619027813823,0.0,0.0003545354301119261,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10158533300000272,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.4608149908709853e-24,0.0,5.8335380416879975e-24
3,0.18558095139069114,0.0,0.0003545354300672991,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1018959050002195,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.4592828257778198e-24,0.0,5.8888423187398744e-24
4,0.09279047569534557,0.0,0.00035453258365293155,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10131841199972769,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.757543185007976e-24,0.0,3.297827295034877e-23
5,0.046395237847672785,0.0,0.00035453258282590794,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.0979764769999747,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.727727694057082e-24,0.0,3.2966455025127654e-23
6,0.011598809461918196,0.0,0.00035453256663338736,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09532803400043122,49,adaptive_jump,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,8.758684370914991e-24,0.0,3.3045587240252184e-23
7,0.005799404730959098,0.0,0.00035452818011486807,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10431921099961983,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.3526494995476558e-23,0.0,5.08571553457971e-23
8,0.002899702365479549,0.0,0.00035452584703523737,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09635318200025722,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.16769017295785e-24,0.0,2.7040814120096256e-23
9,0.0014498511827397745,0.0,0.0003545258433471594,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09688061699989703,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.147433210987906e-24,0.0,2.701878182665911e-23
10,0.00036246279568494363,0.0,0.00035452028442317386,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10151231099962388,45,adaptive_jump,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.7171844115469105e-23,0.0,6.455578767940194e-23
