iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.7423238055627646,0.0,0.00035453454952904086,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.15718174499943416,49,initial,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.1797663486537557e-22,0.0,4.863822001811803e-21
2,0.3711619027813823,0.0,0.0003545345279603116,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09202612999979465,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.250656764661301e-26,2.125844061064476e-25,0.0,5.654341976179803e-25
3,0.18558095139069114,0.0,0.00035453449929077804,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09740703900024528,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.0719431675629875e-26,3.822356490919206e-25,0.0,8.877753852657693e-25
4,0.09279047569534557,0.0,0.00035452971247660367,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10628298400024505,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.4829764405598366e-23,0.0,5.560468356762453e-23
5,0.046395237847672785,0.0,0.0003545297075349961,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10161641400009103,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,1.4831067012168112e-23,0.0,5.562339692601818e-23
6,0.011598809461918196,0.0,0.0003545264906977004,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09876459699989937,49,adaptive_jump,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.86910667477898e-24,0.0,3.7336886435015e-23
7,0.005799404730959098,0.0,0.00035452649026214574,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10484318999988318,49,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.927768048020639e-24,0.0,3.7315521320688446e-23
8,0.002899702365479549,0.0,0.00035452395384001856,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.09891691099983291,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.794115644501059e-24,0.0,2.9423914202608035e-23
9,0.0014498511827397745,0.0,0.0003545239251768365,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10181883199948061,49,post_stagnation_fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.784504754877525e-24,0.0,2.948934429823933e-23
10,0.00036246279568494363,0.0,0.00035452391780419254,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.10068967000006523,45,adaptive_jump,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,7.784961406734035e-24,0.0,2.951285195878446e-23
11,0.00018123139784247182,0.0,0.00018123139784271687,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.18861411200032308,41,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.887968291980781e-25,0.0,-5.534906984904094e-25,0.0
12,9.061569892123591e-05,0.0,9.061569892143975e-05,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1951625920000879,31,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,-2.5898582017505426e-25,0.0
13,4.5307849460617954e-05,0.0,4.5307849460719835e-05,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.19864007100022718,18,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,-1.4486299257208673e-25,0.0
14,2.2653924730308977e-05,0.0,2.2653924730359633e-05,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.19532488500044565,14,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.1429596093316986e-25,0.0,-9.671999785114587e-26,0.0
15,1.1326962365154489e-05,0.0,1.1326962365179827e-05,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.19254990199988242,9,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.2241209807722536e-25,0.0,-1.117200775118411e-25,0.0
16,5.663481182577244e-06,0.0,5.663481182589999e-06,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.1954170899998644,9,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.986415356043565e-25,0.0,-1.240814730557992e-25,0.0
17,2.831740591288622e-06,0.0,2.8317405912948872e-06,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.19127406299958238,6,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.759969193192279e-25,0.0,-1.1759479029908483e-25,0.0
18,1.415870295644311e-06,0.0,1.4158702956473924e-06,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.18511268200018094,5,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.595201006143472e-25,0.0,-9.25666262147473e-26,0.0
19,7.079351478221555e-07,0.0,7.079351478236478e-07,0.125,0.6,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.17755549299999984,4,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.7336201909698254e-25,2.620493335263476e-26,-8.194538618311283e-26,0.0
