iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.8720586747914469,0.0,0.0006102604961727005,5.570282013422911e-10,0.5976570277019277,PASS,PASS,none,Solve_Succeeded,0.12249289300007149,49,initial,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.1966793578080168e-07,15625.000044354023,4.5133567321367956e-07,0.0020808007558033434
2,0.43602933739572347,0.0,0.0005863651617398094,1.0895462310145376e-10,0.5976566538076895,PASS,PASS,none,Solve_Succeeded,0.13009880599997814,49,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.347954798078327e-07,15625.000106687461,1.094784999906629e-06,0.005005271231893264
3,0.21801466869786174,0.0,0.000586638089789219,3.046475915967779e-11,0.5976566964529297,PASS,PASS,none,Solve_Succeeded,0.15679882800009182,49,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.357752655802779e-07,15625.000105899762,1.0934636156321892e-06,0.004968515597204169
4,0.10900733434893087,0.0,0.0005569252250148997,6.044543962580029e-10,0.5976537132418684,PASS,PASS,none,Solve_Succeeded,0.15979932799996277,49,post_stagnation_fast,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.699466708979491e-07,15625.000161610067,1.6068949443742936e-06,0.007577594873012226
5,0.054503667174465434,0.0,0.0005806764968332978,3.541632051013046e-11,0.5976566917255468,PASS,PASS,none,Solve_Succeeded,0.16345128399984787,49,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.373241244680943e-07,15625.000105843501,1.0994183800871101e-06,0.004965875743066031
6,0.027251833587232717,0.0,0.0005708086122995213,3.1419948240407614e-10,0.5976567221360369,PASS,PASS,none,Solve_Succeeded,0.15264007500013577,49,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.381493433482186e-07,15625.000106573827,1.1120125366369574e-06,0.004999881286428462
7,0.013625916793616358,0.0,0.0005477742827101467,1.90066678906059e-08,0.5976589375242156,PASS,PASS,none,Solve_Succeeded,0.10454968099998041,49,post_stagnation_fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.423682037429125e-07,15625.000105796236,1.1266482977324727e-06,0.004963483984806611
8,0.006812958396808179,0.0,0.0005221261372342969,1.994746870286057e-09,0.59765800588508,PASS,PASS,none,Solve_Succeeded,0.0793962709999505,49,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.491915002901119e-07,15625.000106049118,1.1666851533815678e-06,0.004975110669722345
9,0.0017032395992020448,0.0,0.00035129508318771394,6.378002162868435e-11,0.5976566513782586,PASS,PASS,none,Solve_Succeeded,0.08797493499992015,49,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.944097689559231e-07,15625.000104826351,1.3739231261697817e-06,0.004916835518190093
10,0.0008516197996010224,0.0,0.0002471543363351768,1.5437251477123937e-10,0.5976571480385928,PASS,PASS,none,Solve_Succeeded,0.08538346299997102,48,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.513778710363511e-07,15625.00010457455,1.6062187374423654e-06,0.004903435983172421
11,0.0004258098998005112,0.0,0.0001523549263016433,1.3561573618946475e-10,0.5976579522886709,PASS,PASS,none,Solve_Succeeded,0.07480675800002246,47,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.439634765083045e-07,15625.000102775486,1.9536948861166406e-06,0.00481541778984207
