iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09901200381311807,0.0,0.0990119996200642,4.277395784998972e-06,1.1286900849974728,PASS,PASS,none,Solve_Succeeded,54.83727358200031,812,initial,98,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3381195425135692e-09,369.6889479507786,1.6809695221789844e-10,227.54686976123054
2,0.04950600190655904,0.0,0.04950594160246652,1.5624543763276266e-05,1.1300725346254197,PASS,PASS,none,Solve_Succeeded,70.77256033599951,811,slow,128,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.8265163131309474e-08,369.68809090301653,2.160948396062498e-09,227.54662925223042
3,0.02475300095327952,0.0,0.024753004671006922,5.7252808062964455e-06,1.133223538808961,PASS,PASS,none,Solve_Succeeded,55.752826661000654,810,slow,102,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.614134865898684e-09,369.6884113984535,1.5965605641987075e-09,227.54671302005318
4,0.01237650047663976,0.0,0.01237650289241396,6.204540763360411e-06,1.1363391630267046,PASS,PASS,none,Solve_Succeeded,48.16739680200044,812,slow,88,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6241794604933733e-08,369.60854141311444,4.5363522273089426e-09,227.36513875070636
5,0.00618825023831988,0.0,0.0004101572749352331,5.710485629159198e-06,1.1351103548123191,PASS,PASS,none,Solve_Succeeded,38.88871960100005,814,slow,71,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.711294279369439e-08,369.60855661733297,4.72452199179111e-08,227.36514359295714
6,0.00309412511915994,0.0,0.0004182780452388672,4.284215102012823e-06,1.1351111848489417,PASS,PASS,none,Solve_Succeeded,41.514948989000004,802,slow,80,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.029755724252053e-08,369.6084362053578,8.422901056112681e-08,227.36514954698902
7,0.00154706255957997,0.0,0.00032340920301352324,5.860516091786387e-07,1.1351097265089507,PASS,PASS,none,Solve_Succeeded,42.70065967499977,759,slow,78,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.4273464492383336e-09,369.608687538437,6.08311106043649e-09,227.36513876834465
8,0.000773531279789985,0.0,0.0002573153118652442,3.632997199612756e-06,1.1351103220747998,PASS,PASS,none,Solve_Succeeded,38.62605863399949,710,slow,72,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6309834927832368e-08,369.60857771314494,6.068610320245543e-08,227.36514323093488
9,0.0003867656398949925,0.0,0.00016428894514473167,1.8747705691320106e-06,1.1351100369446332,PASS,PASS,none,Solve_Succeeded,33.765801665000254,660,slow,65,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.167865447568119e-08,369.6086214248459,5.663041278034989e-08,227.3651411398371
10,0.00019338281994749624,0.0,9.449482172166747e-05,5.727180002894664e-07,1.1351097840324957,PASS,PASS,none,Solve_Succeeded,33.56541212299999,589,slow,61,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.467514374340954e-09,369.6087040235989,5.007962845671775e-08,227.3651392387676
11,9.669140997374812e-05,0.0,5.065054793261642e-05,5.81076764150551e-07,1.1351096133118705,PASS,PASS,none,Solve_Succeeded,31.68925199000023,534,slow,61,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.719181644249085e-09,369.60887456362445,4.433940423372809e-08,227.36513799813378
12,4.834570498687406e-05,0.0,2.724863388773979e-05,3.3368228215207945e-07,1.135109666609246,PASS,PASS,none,Solve_Succeeded,35.655663490000734,495,slow,67,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.605888633278746e-09,369.608815894105,7.336712242464398e-08,227.36513839964667
13,2.417285249343703e-05,0.0,1.4253987459197237e-05,3.891537418866896e-07,1.1351096419500593,PASS,PASS,none,Solve_Succeeded,35.315186872000595,461,slow,64,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.2090738228244336e-09,369.60883619778207,9.147355961823565e-08,227.36513822224012
14,1.2086426246718515e-05,0.0,7.191454766501573e-06,2.7338711797113806e-07,1.135109370706413,PASS,PASS,none,Solve_Succeeded,34.43136934299946,443,slow,64,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.67406865542104e-10,369.61042247089534,1.7809446226019e-08,227.36513621428662
15,6.0432131233592575e-06,0.0,3.751528480067695e-06,7.998127548627148e-08,1.135109366803448,PASS,PASS,none,Solve_Succeeded,32.20441044200015,427,slow,60,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.043203487603315e-10,369.6106192828832,1.9933171844339216e-08,227.36513618668414
16,3.0216065616796287e-06,0.0,1.9552764161903988e-06,2.10840696879426e-08,1.1351093667885035,PASS,PASS,none,Solve_Succeeded,28.726106689000517,388,slow,52,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.043203500728568e-10,369.6109270373217,2.218947813428746e-08,227.36513618852948
17,1.5108032808398144e-06,0.0,1.0025886456950786e-06,1.8534549584986767e-08,1.1351093666806946,PASS,PASS,none,Solve_Succeeded,26.023672762999922,265,slow,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.043203500802532e-10,369.6109270369106,2.5485842952755136e-08,227.3651361921705
18,7.554016404199072e-07,0.0,5.090411421257799e-07,1.9383356612229012e-10,1.1351093665937473,PASS,PASS,none,Solve_Succeeded,26.205957209999724,123,slow,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.043203500888499e-10,369.61092703845503,2.8434031155097333e-08,227.36513619969446
