iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09889557657527953,0.0,0.00045412372356719847,2.1723399136793967e-11,0.7879128665472352,PASS,PASS,none,Solve_Succeeded,0.08659842399993067,47,initial,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5786417117222916e-10,65.77686534842942,3.008944323837801e-10,6.1061192165361735
2,0.049447788287639766,0.0,0.0004544500324857107,1.7953219567767232e-10,0.7879128782228535,PASS,PASS,none,Solve_Succeeded,0.07903881600032037,47,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.72011716399624e-09,65.77686542062301,5.068184532674677e-09,6.106119323105224
3,0.024723894143819883,0.0,0.0004512874179300563,7.2452243293342e-11,0.787912874457431,PASS,PASS,none,Solve_Succeeded,0.08313868499999444,47,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.37126533751175e-09,65.77686539425473,3.5370174100026942e-09,6.106119289833264
4,0.012361947071909941,0.0,0.0004483107887685033,2.3687905643346982e-11,0.7879128665440782,PASS,PASS,none,Solve_Succeeded,0.08483474200011187,47,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5787319593876403e-10,65.77686533801773,3.0234006912691553e-10,6.106119216088484
5,0.006180973535954971,0.0,0.0004446983109856504,4.317050203172756e-12,0.7879128665341342,PASS,PASS,none,Solve_Succeeded,0.08199087399998461,47,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5784333093353855e-10,65.77686553664675,3.0368165540703734e-10,6.106119215544684
6,0.0015452433839887427,0.0,0.0003962826192509509,6.192396819118041e-11,0.7879128665489371,PASS,PASS,none,Solve_Succeeded,0.0785526579998077,47,adaptive_jump,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5778064776792947e-10,65.77686546375945,3.2005306853535407e-10,6.106119216154039
7,0.0007726216919943713,0.0,0.00032108270511263916,3.3285419145334516e-12,0.7879128665513968,PASS,PASS,none,Solve_Succeeded,0.08248607699988497,42,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.577250640371912e-10,65.77686632699725,3.4977181413131854e-10,6.106119216595557
8,0.00038631084599718567,0.0,0.00020628621378966406,6.188771062553178e-11,0.7879128665514679,PASS,PASS,none,Solve_Succeeded,0.08082977100002608,35,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5772437132810483e-10,65.77686637757162,4.13403000372474e-10,6.106119216673379
9,0.00019315542299859283,0.0,0.0001146343488425217,1.614861337834277e-10,0.7879128665517371,PASS,PASS,none,Solve_Succeeded,0.07974717800016151,30,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5771608160776186e-10,65.77686654375857,4.723915354745967e-10,6.106119216689516
10,9.657771149929642e-05,0.0,5.974155802421017e-05,1.0534449955707017e-10,0.7879128665518792,PASS,PASS,none,Solve_Succeeded,0.08080229699999109,17,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.577160230569237e-10,65.77686733422718,5.544432882818371e-10,6.106119216804898
11,4.828885574964821e-05,0.0,3.077103159350028e-05,1.6541289803474204e-09,0.7879128665518792,PASS,PASS,none,Solve_Succeeded,0.08741964799992274,9,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5771600646875486e-10,65.7769566231635,6.340719167865952e-10,6.1061192168785325
12,2.4144427874824104e-05,0.0,1.568449154205064e-05,2.576472679214519e-09,0.7879128665518792,PASS,PASS,none,Solve_Succeeded,0.0874994539999534,9,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.577160064661871e-10,65.7770680064354,7.012685219950631e-10,6.106119217014379
13,1.2072213937412052e-05,0.0,7.938075299936089e-06,2.5923167733813346e-08,0.7879128665518792,PASS,PASS,none,Solve_Succeeded,0.08821133999981612,7,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.577160064615455e-10,65.77715505318704,7.500112293707378e-10,6.106119217498749
14,6.036106968706026e-06,0.0,4.022184909384865e-06,5.804878678103832e-10,0.7879128665518862,PASS,PASS,none,Solve_Succeeded,0.08874355199986894,7,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5771602185650214e-10,65.77689765938204,7.753750189865305e-10,6.106119218077906
15,3.018053484353013e-06,0.0,2.022444314031552e-06,6.69705624289918e-10,0.7879128665644988,PASS,PASS,none,Solve_Succeeded,0.08234744999981558,5,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.580375332618128e-10,65.77686547314227,7.87229386388931e-10,6.106119218442525
16,1.5090267421765065e-06,0.0,1.0093586467074721e-06,4.772304496025725e-10,0.787912866566455,PASS,PASS,none,Solve_Succeeded,0.08650402799958101,4,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.579321511389952e-10,65.77686561489872,7.934783173344609e-10,6.10611921934392
17,7.545133710882533e-07,0.0,5.09304463384274e-07,3.0805456517359125e-10,0.7879128665520354,PASS,PASS,none,Solve_Succeeded,0.09340414600001168,4,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.577169033763302e-10,65.77687138046436,7.96689981057205e-10,6.106119219248679
