iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09889557657527953,0.0,0.001245849729758535,1.286436121220439e-10,0.7804038756302659,PASS,PASS,none,Solve_Succeeded,0.05013214999962656,30,initial,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5913624402195293e-10,0.22000249502650926,1.4165280546375696e-10,5.555178035543242
2,0.049447788287639766,0.0,0.0012658875255488877,2.2322170101229943e-06,0.7804038756514325,PASS,PASS,none,Solve_Succeeded,0.044762621999780094,30,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.588672801850039e-10,0.22000249540510586,1.4122318858613528e-10,5.555178034681222
3,0.024723894143819883,0.0,0.0011763974255254933,6.765133972612292e-11,0.7804038756325512,PASS,PASS,none,Solve_Succeeded,0.04278501299995696,30,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.590737926011833e-10,0.2200024947776773,1.440528512239682e-10,5.555178035066451
4,0.012361947071909941,0.0,0.0011705913928387,7.658817156863673e-11,0.7804038756360521,PASS,PASS,none,Solve_Succeeded,0.04081484400012414,30,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5904115617899774e-10,0.2200024955179178,1.4444566703455895e-10,5.555178035115855
5,0.006180973535954971,0.0,0.0011455212532721162,2.326929765085646e-06,0.7804038756514324,PASS,PASS,none,Solve_Succeeded,0.04430364299969369,30,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5886728018518406e-10,0.2200024959607271,1.4837935911819243e-10,5.555178034664907
6,0.0030904867679774854,0.0,0.0010107418776176302,9.130844705767026e-11,0.7804038756377518,PASS,PASS,none,Solve_Succeeded,0.041500283000004856,29,post_stagnation_fast,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.590182877366306e-10,0.22000249654995616,1.6026315823414272e-10,5.555178035041181
7,0.0015452433839887427,0.0,0.0007238451079590227,4.438974099321008e-10,0.780403875650737,PASS,PASS,none,Solve_Succeeded,0.041265454000040336,27,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.588740734708723e-10,0.2200024974776179,1.8908650764554307e-10,5.555178034642556
8,0.0007726216919943713,0.0,0.000443007772915728,1.5532795058850746e-10,0.7804038756508167,PASS,PASS,none,Solve_Succeeded,0.041804143999797816,23,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.588755883465696e-10,0.22000249786995446,2.4055668171051846e-10,5.555178034670376
9,0.00038631084599718567,0.0,0.0002351066582733309,1.0151003910135797e-08,0.7804038756514302,PASS,PASS,none,Solve_Succeeded,0.0446455189999142,21,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5886730425113834e-10,0.22000249839884192,3.088891979805435e-10,5.555178034676495
10,0.00019315542299859283,0.0,0.00012741563111897682,5.909776545693015e-10,0.7804038756513988,PASS,PASS,none,Solve_Succeeded,0.04543948199989245,16,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.588674166923823e-10,0.22000249987504117,3.6180925469641697e-10,5.5551780347405595
