iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09898768323075625,0.0,0.0006260237466346347,3.852459579004042e-05,0.8185982204506902,PASS,PASS,none,Solve_Succeeded,0.34014083900001424,151,initial,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9743512531492256e-09,17.18818917478391,4.3785391188533795e-09,16.238028607675478
2,0.04949384161537813,0.0,0.0006789865516025309,2.460398434503408e-05,0.8185982319813102,PASS,PASS,none,Solve_Succeeded,0.350390291999247,151,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.25112602819909e-09,17.188192027378935,6.005647253989386e-09,16.23803105181821
3,0.024746920807689064,0.0,0.0006742885047042753,2.6385305999850756e-05,0.8185982324142168,PASS,PASS,none,Solve_Succeeded,0.345813593999992,151,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.298525351111937e-09,17.18819213463805,6.09184035120229e-09,16.238031143645994
4,0.012373460403844532,0.0,0.0006609565887735462,2.3068995372649975e-05,0.8185982316814905,PASS,PASS,none,Solve_Succeeded,0.35255570400022407,151,post_stagnation_fast,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.21701061529675e-09,17.188191954150543,6.085976961134301e-09,16.238030989077565
5,0.006186730201922266,0.0,0.000682491347348379,0.00016237525529493816,0.8185982528077722,PASS,PASS,none,Solve_Succeeded,0.32527903499976674,151,post_stagnation_fast,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.599781586855641e-09,17.188197128245395,4.983014361968052e-09,16.2380354208176
6,0.0015466825504805665,0.0,0.0004586380707615617,2.782919780044144e-05,0.8185981994987528,PASS,PASS,none,Solve_Succeeded,0.3528107820002333,143,adaptive_jump,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.356746102908231e-10,17.18818402335512,9.238874184263421e-10,16.23802419586605
7,0.0007733412752402832,0.0,0.0003100417919376049,5.552445410350669e-06,0.8185981965189629,PASS,PASS,none,Solve_Succeeded,0.3764109180001469,135,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.913913711249139e-10,17.18818329591999,4.405435961871363e-10,16.238023571535855
8,0.0003866706376201416,0.0,0.00019108993371220272,7.604297101265441e-06,0.8185981986569482,PASS,PASS,none,Solve_Succeeded,0.38393822699981683,121,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.400815007872722e-10,17.188183817050287,1.5221190652758759e-09,16.2380240188447
9,0.0001933353188100708,0.0,0.00010673211417223131,1.160755284084015e-05,0.8185981979504326,PASS,PASS,none,Solve_Succeeded,0.3649442409996482,102,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6195310942952066e-10,17.188183643098697,1.6928276957630113e-09,16.238023869832084
10,9.66676594050354e-05,0.0,5.6401220748437234e-05,1.6558476546577928e-06,0.8185981954797633,PASS,PASS,none,Solve_Succeeded,0.37283602699972107,89,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7943460842489158e-10,17.188183038288606,8.544614254576522e-10,16.238023351072325
11,4.83338297025177e-05,0.0,2.963387947932438e-05,1.0320342561547023e-06,0.8185981954845909,PASS,PASS,none,Solve_Succeeded,0.3623588769996786,62,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.794346082648545e-10,17.188183040678872,1.0570414476623354e-09,16.238023353142204
12,2.416691485125885e-05,0.0,1.533673157009001e-05,9.039530322955993e-08,0.818598195495385,PASS,PASS,none,Solve_Succeeded,0.3943601890005084,50,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7943460844363836e-10,17.18818304579976,1.2018526927881164e-09,16.238023357553153
13,1.2083457425629426e-05,0.0,7.869157303212377e-06,1.855522023709746e-07,0.8185981955011428,PASS,PASS,none,Solve_Succeeded,0.37570800999947096,40,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7943460847413987e-10,17.188183050887513,1.388506496944084e-09,16.23802336202832
14,6.041728712814713e-06,0.0,3.997454623785372e-06,5.9348792281663413e-08,0.8185981954853973,PASS,PASS,none,Solve_Succeeded,0.41744389300038165,27,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7943460849605493e-10,17.18818305130419,1.5254198345625876e-09,16.23802336250777
15,3.0208643564073564e-06,0.0,2.014735943762093e-06,1.7817263970890454e-08,0.818598195480889,PASS,PASS,none,Solve_Succeeded,0.33259143699979177,21,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7943460814799868e-10,17.18818305742211,1.672581067451146e-09,16.238023366831154
16,1.5104321782036782e-06,0.0,1.0131921365392129e-06,1.008259368012593e-09,0.8185981954742142,PASS,PASS,none,Solve_Succeeded,0.3431385199992292,11,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.79434608495133e-10,17.188183066281333,1.7895120663882233e-09,16.23802337126181
17,7.552160891018391e-07,0.0,5.102125412032595e-07,1.1817971165882305e-08,0.8185981954702015,PASS,PASS,none,Solve_Succeeded,0.3345609369998783,8,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7948516316758938e-10,17.188183083529903,1.8682693975145043e-09,16.238023378722385
