iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.08728832994279527,0.0,0.07883254832062357,4.599549907613465e-11,3.4998453538460944e-09,PASS,PASS,none,Solve_Succeeded,0.039503381999566045,11,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.833114961821127e-11,5.073924648539527e-11,2.5000448196961305e-11,3.5870925755101796e-05
2,0.043644164971397635,0.0,0.039361307655297696,1.1230575497345185e-10,2.2581957756037928e-08,PASS,PASS,none,Solve_Succeeded,0.03230548999999883,10,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.239731144038313e-11,1.0161921711646685e-10,2.5000714275659945e-11,5.219659535177779e-05
3,0.021822082485698818,0.0,0.01962725309153938,3.8706506749752734e-11,8.45141236809445e-09,PASS,PASS,none,Solve_Succeeded,0.02906643099959183,9,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6980109428428894e-10,2.0379425355211932e-10,2.5000373298247928e-11,3.0498554710199617e-05
4,0.010911041242849409,0.0,0.0097629675715534,4.416932618267477e-11,1.2161953525041546e-08,PASS,PASS,none,Solve_Succeeded,0.02916820800055575,9,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.921415288592421e-10,4.09701408147821e-10,2.5000498250096647e-11,3.845722612306329e-05
5,0.005455520621424704,0.0,0.004834520873932983,9.551997907919496e-11,1.500303872808826e-08,PASS,PASS,none,Solve_Succeeded,0.029723482999543194,8,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5650512399927225e-10,8.273584731573743e-10,2.5000614286948874e-11,4.645162336355517e-05
6,0.002727760310712352,0.0,0.0023742088400476547,1.3813205288794317e-10,1.5849019458887347e-08,PASS,PASS,none,Solve_Succeeded,0.029122440000719507,7,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.348908576388497e-10,1.6847174869877473e-09,2.50006604071722e-11,5.0199041199741384e-05
7,0.001363880155356176,0.0,0.001145921062812566,1.1444309269779268e-10,7.597678170676126e-09,PASS,PASS,none,Solve_Succeeded,0.029496503000700613,7,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.883342033013087e-10,3.4905521280263126e-09,2.5000388424734115e-11,3.179666859969668e-05
8,0.000681940077678088,0.0,0.0005227965288877179,5.128832437689603e-10,1.4582510058950983e-08,PASS,PASS,none,Solve_Succeeded,0.03073503899940988,7,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.986243536592818e-10,7.63931823530328e-09,2.500056743971182e-11,4.311058177797752e-05
9,0.000340970038839044,0.0,0.00032004112750051234,6.275425054006346e-11,1.1555244289490177e-08,PASS,PASS,none,Solve_Succeeded,0.031025117999888607,6,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.91063690031702e-10,3.689904703249076e-08,2.5000483558595667e-11,3.749696865245412e-05
10,0.000170485019419522,0.0,0.00017049424176265578,9.540071881889052e-11,9.87643216022182e-07,PASS,PASS,none,Solve_Succeeded,0.03138127700003679,6,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6377333006679886e-09,0.0031123919865873578,3.8230229952109936e-11,0.0004619552744337957
11,8.5242509709761e-05,0.0,8.525222944388971e-05,6.577888090448201e-11,3.3286873090183993e-06,PASS,PASS,none,Solve_Succeeded,0.03466765400025906,6,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.108218808504374e-09,0.005099622024393474,2.498693485252015e-11,0.0008460983883996107
12,4.26212548548805e-05,0.0,4.263102696583782e-05,4.493327524022605e-11,5.024235814068639e-06,PASS,PASS,none,Solve_Succeeded,0.031187947999569587,5,fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1317599908607042e-09,0.006085032407144018,2.4983539156641546e-11,0.0010395894121553357
13,2.131062742744025e-05,0.0,2.1320539635280027e-05,3.1427755103202726e-10,7.348732253956844e-06,PASS,PASS,none,Solve_Succeeded,0.03313223900022422,4,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1498458162367066e-09,0.013029966289215838,2.497893164913979e-11,0.0013347025763734864
14,1.0655313713720126e-05,0.0,1.0665255999648541e-05,1.5143582915433385e-10,1.0097352918318488e-05,PASS,PASS,none,Solve_Succeeded,0.031325449000178196,4,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1568852245014616e-09,0.018247455127326333,2.497510629641364e-11,0.0015265702238690451
15,5.327656856860063e-06,0.0,5.337607688944399e-06,1.2940271423844685e-10,1.1872296756245803e-05,PASS,PASS,none,Solve_Succeeded,0.031561554000290926,2,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1602982252540053e-09,0.020901147467074617,2.497322189973815e-11,0.00162394801338799
16,2.6638284284300314e-06,0.0,2.6737826672674312e-06,5.096428765116734e-10,1.2861145022386494e-05,PASS,no_biactive,none,Solve_Succeeded,0.03142681899953459,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1621773867743426e-09,0.022266713559659597,2.49721859074761e-11,0.0016727733044177334
17,1.3319142142150157e-06,0.0,1.3418700003283015e-06,6.232031416527478e-11,1.3380660030624054e-05,PASS,no_biactive,none,Solve_Succeeded,0.03470249400015746,0,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1628603050442528e-09,0.022915062569058932,2.4971824078374728e-11,0.0016976669722082653
18,6.659571071075079e-07,0.0,6.759137165686066e-07,3.1258589910179724e-10,1.3684628899982428e-05,PASS,no_biactive,none,Solve_Succeeded,0.032800148999740486,0,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1660485664041786e-09,0.02361243850932171,2.496935424216972e-11,0.001674765842200166
