iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000099824047,7.541467450522532e-10,-38.23615847853708,PASS,PASS,none,Solve_Succeeded,3.8650341540001136,67,initial,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.675309484530432e-12,2.802416660056503,1.0045161595402442e-12,0.8858630041423637
2,0.5,0.0,0.5000000099879633,3.9544458456879745e-13,-32.598814589762,PASS,PASS,none,Solve_Succeeded,2.1277645959999063,46,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5641099159430917e-12,2.8114289671670853,9.56952774930803e-13,0.8697655414886345
3,0.25,0.0,0.2500000000000053,9.818044405252024e-09,-29.003592646475184,PASS,PASS,none,Solve_Succeeded,26.974110333000226,28,slow,92,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.8370432810926034,0.0,0.8671472347293877
4,0.125,0.0,0.12500000000001138,9.951024115828488e-09,-26.84024540305939,PASS,PASS,none,Solve_Succeeded,24.237719769999785,19,slow,98,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.846161909948109,0.0,0.8655561077508999
5,0.0625,0.0,0.06250000999249687,1.6056930091101762e-11,-25.596344701805624,PASS,PASS,none,Solve_Succeeded,1.6651517249997596,9,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5541937720071913e-12,2.8448704249785757,9.243133596832457e-13,0.8638749200571028
6,0.03125,0.0,0.03125000999192128,3.791284737650509e-09,-24.901779765219477,PASS,PASS,none,Solve_Succeeded,1.8065046700003222,9,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5572103882681563e-12,2.844461256053631,9.211453166974619e-13,0.8623420127673405
7,0.015625,0.0,0.01562500000002521,9.743491173608287e-09,-24.52575175291867,PASS,PASS,none,Solve_Succeeded,15.507702806999987,6,slow,59,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.8444939031754175,0.0,0.8611288200207536
8,0.0078125,0.0,0.007812500000011966,9.98484417369383e-09,-24.327224189126106,PASS,PASS,none,Solve_Succeeded,17.421827897000185,6,slow,78,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.845998690956178,0.0,0.8609827231026376
9,0.00390625,0.0,0.003906250000004796,8.783388495692268e-09,-24.223908430221105,PASS,PASS,none,Solve_Succeeded,12.27605186899973,6,slow,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.8479542609624544,0.0,0.8615544096900967
10,0.001953125,0.0,0.001953125000003388,9.99713937327451e-09,-24.1708212327804,PASS,PASS,none,Solve_Succeeded,11.327670839999882,6,slow,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.8492344101642266,0.0,0.8621141618790652
