iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.00000000999,3.566637762252839e-16,10.943237766547387,PASS,no_biactive,none,Solve_Succeeded,0.015243764999468112,0,initial,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.999899849996229e-12,1.7548676279930975e-11,5.698302708602235e-12,9.999899849996525e-12
2,0.5,0.0,0.5000000000000002,9.771048192774856e-09,19.128796074314288,PASS,no_biactive,none,Solve_Succeeded,0.12527895699986402,0,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.25,0.0,0.2500000000000003,6.067333746528902e-09,26.033946352893263,PASS,no_biactive,none,Solve_Succeeded,0.15746940200006065,0,slow,40,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.125,0.0,0.1250000000000003,1.0692788876554005e-09,31.326575013635743,PASS,no_biactive,none,Solve_Succeeded,0.14895490200069617,0,slow,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0625,0.0,0.06250000000000057,6.684118813993223e-10,35.22158824114763,PASS,no_biactive,none,Solve_Succeeded,0.14275313799953437,0,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.03125,0.0,0.03125000000000037,6.651682205038867e-09,38.03644348235653,PASS,PASS,none,Solve_Succeeded,0.1288484589995278,10,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.015625,0.0,0.015625000000000357,3.292788930409074e-09,40.05292337601931,PASS,no_biactive,none,Solve_Succeeded,0.1365159480001239,0,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0078125,0.0,0.007812500000000873,8.159325992629363e-09,41.49071825849485,PASS,PASS,none,Solve_Succeeded,0.13972556599946984,10,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.00390625,0.0,0.003906250000000095,8.343267188237746e-10,42.51307351874219,PASS,no_biactive,none,Solve_Succeeded,0.1465498409997963,0,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.001953125,0.0,0.001953125000000193,9.063404915465867e-09,43.238756642678645,PASS,no_biactive,none,Solve_Succeeded,0.15726045299925318,0,slow,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.0009765625,0.0,0.0009765625000003359,1.0318537135844963e-09,43.75325850403151,PASS,no_biactive,none,Solve_Succeeded,0.14019251899935625,0,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,0.00048828125,0.0,0.0004882812500003718,9.95791449298622e-09,44.11774495172724,PASS,PASS,none,Solve_Succeeded,0.27075193600012426,10,fast,73,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,0.000244140625,0.0,0.000244140625000277,3.483418664629312e-09,44.375814008109174,PASS,no_biactive,none,Solve_Succeeded,0.14372429299965006,0,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,0.0001220703125,0.0,0.00012207031250024457,5.076010389792884e-09,44.55846521430839,PASS,no_biactive,none,Solve_Succeeded,0.1421445539999695,0,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,6.103515625e-05,0.0,6.10351562502601e-05,7.624382458715218e-09,44.68770346339815,PASS,no_biactive,none,Solve_Succeeded,0.15779712100083998,0,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,3.0517578125e-05,0.0,3.051757812522111e-05,5.21151111154694e-09,44.77913085935897,PASS,no_biactive,none,Solve_Succeeded,0.13539425199996913,0,fast,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,1.52587890625e-05,0.0,1.525878906308092e-05,2.7246960243587637e-09,44.84380086343505,PASS,no_biactive,none,Solve_Succeeded,0.1464976460001708,0,fast,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
18,7.62939453125e-06,0.0,7.629394531821176e-06,3.8088132647828843e-10,44.889539996955904,PASS,no_biactive,none,Solve_Succeeded,0.13268306000009034,0,fast,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
