iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.000000009995,4.440892098500626e-16,-2.00000001999,PASS,no_biactive,none,Solve_Succeeded,0.007865577999837114,0,initial,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.999692043738126e-12,9.999692043738126e-12,9.999763211904612e-12,9.999763211904612e-12
2,0.5,0.0,0.500000009995,2.220446049250313e-16,-1.00000001999,PASS,no_biactive,none,Solve_Succeeded,0.006627826000112691,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.4141974240181175e-11,1.4141974240181175e-11,1.4141974240180348e-11,1.4141974240180348e-11
3,0.25,0.0,0.25000000999499994,2.220446049250313e-16,-0.5000000199899999,PASS,no_biactive,none,Solve_Succeeded,0.006504427999971085,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.9999849016453597e-11,1.9999849016453597e-11,1.9999849016453597e-11,1.9999849016453597e-11
4,0.125,0.0,0.125000009995,6.661338147750939e-16,-0.25000001999,PASS,no_biactive,none,Solve_Succeeded,0.006057174000034138,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8283843892259467e-11,2.8283843892259467e-11,2.8283843892261122e-11,2.8283843892261122e-11
5,0.0625,0.0,0.06250000999499154,3.1519231669108194e-13,-0.12500001998998309,PASS,no_biactive,none,Solve_Succeeded,0.006723814999986644,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.014511928652724e-11,4.014511928652724e-11,4.014511928652724e-11,4.014511928652724e-11
6,0.03125,0.0,0.03125000999498832,7.853162564686045e-13,-0.06250001998997665,PASS,no_biactive,none,Solve_Succeeded,0.006412641000224539,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.68970619655774e-11,5.68970619655774e-11,5.68970619655774e-11,5.68970619655774e-11
7,0.015625,0.0,0.01562500999508908,5.587585949484719e-12,-0.03125001999017816,PASS,no_biactive,none,Solve_Succeeded,0.006102299000303901,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.31337696845662e-11,8.31337696845662e-11,8.31337696845662e-11,8.31337696845662e-11
8,0.0078125,0.0,0.007812509995081384,2.5393576130738893e-13,-0.015625019990162768,PASS,no_biactive,none,Solve_Succeeded,0.006408558999737579,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.143011906283682e-10,1.143011906283682e-10,1.143011906283682e-10,1.143011906283682e-10
9,0.00390625,0.0,0.003906259995042744,3.035488527203256e-12,-0.007812519990085488,PASS,no_biactive,none,Solve_Succeeded,0.006732792000093468,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.619470682557592e-10,1.619470682557592e-10,1.619470682557592e-10,1.619470682557592e-10
10,0.001953125,0.0,0.0019531349951952917,3.5444175372489894e-11,-0.003906269990390583,PASS,no_biactive,none,Solve_Succeeded,0.006812201000229834,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.4021489153435387e-10,2.4021489153435387e-10,2.4021489153435387e-10,2.4021489153435387e-10
