iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9994800288509128,0.0031350016839256645,-683.0330216675745,PASS,PASS,none,Solve_Succeeded,1.7500509629999215,16,initial,88,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.497037764416696e-10,1.532731538630934e-06,6.786033644884766e-12,5.1768820101160914e-05
2,0.5,0.0,0.4999758960672497,2.8252162132536007e-05,-683.0330210365487,PASS,PASS,none,Solve_Succeeded,0.6857719399999951,14,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.728152531901205e-14,1.506074862152285e-06,5.716255640299271e-13,6.0151420995909745e-05
3,0.25,0.0,0.2499778645850786,3.309830700487515e-08,-683.0330206644555,PASS,PASS,none,Solve_Succeeded,1.4752865999998903,12,slow,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.7109478343751393e-12,1.51660862898031e-06,2.971221542310366e-14,6.0633576031596534e-05
4,0.125,0.0,0.12379900796461035,4.382815168083032e-06,-683.0330204269594,PASS,PASS,none,Solve_Succeeded,0.7204641280000033,7,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.6228058934233562e-12,1.532308551694593e-06,3.589676588129142e-11,6.712922573732768e-05
5,0.0625,0.0,0.062183060555581704,1.1592073498496724e-06,-683.0330203202687,PASS,PASS,none,Solve_Succeeded,0.7108305950000613,4,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.073370000819866e-13,1.5388209828763126e-06,9.831461579451275e-12,6.864396670143551e-05
6,0.03125,0.0,0.029757231198232818,2.44404060080472e-07,-683.0330202421098,PASS,PASS,none,Solve_Succeeded,0.685313325000152,5,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.097321558941631e-12,1.5881558207765318e-06,4.6539430085746236e-11,6.851248875132108e-05
7,0.015625,0.0,0.015607359408105549,1.281133496337794e-08,-683.0330202308937,PASS,PASS,none,Solve_Succeeded,0.6205289350000385,4,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.078589989094406e-14,1.5647244442387167e-06,5.743517271588689e-13,7.112167034298712e-05
8,0.0078125,0.0,0.007793410341941648,1.2533379039632048e-05,-683.0330202115086,PASS,PASS,none,Solve_Succeeded,0.7613051479997921,3,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.135325212238057e-11,1.583533519726917e-06,-3.1171329570548576e-12,7.224193342661735e-05
9,0.00390625,0.0,0.0038890747525482006,5.021227426102275e-07,-683.0330202049953,PASS,PASS,none,Solve_Succeeded,0.4608696880000025,3,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1449349119044791e-10,1.5794980250714602e-06,-7.955887777870134e-12,7.264874410404207e-05
10,0.001953125,0.0,0.0019352569851778258,7.440606647024332e-08,-683.0330202018697,PASS,PASS,none,Solve_Succeeded,0.6547491789997366,1,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.215999955032671e-12,1.5755265885941958e-06,6.12530779020463e-13,7.008671733855197e-05
11,0.0009765625,0.0,0.0009585221067500059,6.09101401200852e-08,-683.0330201999507,PASS,PASS,none,Solve_Succeeded,0.5048350739998568,1,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.236152193976178e-10,1.5788497611056235e-06,-3.2727579323509823e-13,6.982342721236937e-05
