iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.025091976230527502,0.0,0.02509198623042725,2.220446049250313e-15,94.98160275391454,PASS,no_biactive,none,Solve_Succeeded,0.02385476400013431,0,initial,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.784864935015115e-10,7.784864935015115e-10,2.0580033825009307e-11,2.0580033825009307e-11
2,0.012545988115263751,0.0,0.012545998115166325,2.220446049250313e-16,97.49080037696673,PASS,no_biactive,none,Solve_Succeeded,0.007913073000054283,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5333391854030297e-09,1.5333391854030297e-09,1.9735489311286865e-11,1.9735489311286865e-11
3,0.0062729940576318755,0.0,0.006272994057631876,6.593420254219495e-09,98.74540118847362,PASS,no_biactive,none,Solve_Succeeded,0.014273017000050459,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0031364970288159377,0.0,0.0031364970288159364,1.6059682472757686e-09,99.37270059423682,PASS,no_biactive,none,Solve_Succeeded,0.014679627000077744,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0015682485144079689,0.0,0.0015682485144079689,4.182944490782603e-09,99.68635029711841,PASS,no_biactive,none,Solve_Succeeded,0.010524592000365374,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.0007841242572039844,0.0,0.0007841242572039842,6.921846984475621e-10,99.84317514855921,PASS,no_biactive,none,Solve_Succeeded,0.011478519999400305,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0001960310643009961,0.0,0.00019603106430099586,9.113788890235952e-11,99.96079378713979,PASS,no_biactive,none,Solve_Succeeded,0.009899967999444925,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,4.900776607524903e-05,0.0,4.9017765975268634e-05,3.847616669716558e-15,99.99019644680494,PASS,no_biactive,none,Solve_Succeeded,0.006870328999866615,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.0783214096136805e-07,4.0783214096136805e-07,1.9996858708574265e-11,1.9996858708574265e-11
9,1.2251941518812257e-05,0.0,1.2251941518812257e-05,4.459156568298317e-12,99.99754961169623,PASS,no_biactive,none,Solve_Succeeded,0.008145971999510948,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,3.062985379703064e-06,0.0,3.062985379703067e-06,9.590407894916053e-14,99.99938740292407,PASS,no_biactive,none,Solve_Succeeded,0.008525547000317601,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,7.65746344925766e-07,0.0,7.657463449237378e-07,4.986193684504425e-10,99.99984685073102,PASS,no_biactive,none,Solve_Succeeded,0.005674463999639556,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
